epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.338024898675772,1.3639,30.39,0.667,0.225,1.3422,33.93,0.672,0.291
1,1.570311194199782,1.3346,34.18,0.701,0.27,1.3463,31.68,0.668,0.263
2,1.3441649950467622,1.4888,31.04,0.679,0.22,1.5063,30.29,0.687,0.242
3,1.3167586399958684,1.2621,42.64,0.678,0.402,1.2653,45.43,0.715,0.446
4,1.2812427080594577,1.4107,30.93,0.656,0.217,1.3475,33.61,0.69,0.266
5,1.2548476219177247,1.2016,43.29,0.722,0.431,1.2626,46.93,0.712,0.469
6,1.2427090718195988,1.3088,34.07,0.721,0.284,1.374,38.25,0.68,0.363
7,1.216919209406926,1.4869,36.0,0.7,0.293,1.5652,34.64,0.654,0.278
8,1.2099493613609902,1.4852,38.5,0.732,0.296,1.5595,33.54,0.666,0.27
9,1.1871258845696082,1.3328,38.86,0.703,0.348,1.3983,39.36,0.703,0.357
10,1.1670354531361506,1.1271,53.0,0.782,0.53,1.2082,50.82,0.753,0.498
11,1.1498879744456365,1.294,41.36,0.741,0.366,1.3775,37.89,0.685,0.337
12,1.1132453936796922,1.0841,54.57,0.8,0.54,1.1933,49.07,0.744,0.481
13,1.093621250299307,1.0517,53.54,0.802,0.526,1.2484,48.79,0.744,0.484
14,1.0378729233374961,1.4587,46.04,0.773,0.392,1.5564,45.32,0.729,0.408
15,0.9909243904627286,1.7673,41.86,0.768,0.387,1.9247,41.64,0.702,0.379
16,0.935983304794018,1.2892,46.57,0.781,0.434,1.3477,46.68,0.752,0.447
17,0.9108898034462563,1.7127,50.89,0.808,0.461,1.8486,50.29,0.78,0.463
18,0.8493592271438012,1.0625,56.82,0.812,0.566,1.1343,53.68,0.79,0.533
19,0.7849142386363103,1.2155,56.14,0.834,0.514,1.2817,52.68,0.81,0.475
20,0.7300699940094582,1.0649,59.04,0.848,0.569,1.2464,53.57,0.814,0.528
21,0.6896583749697759,1.1824,57.5,0.85,0.561,1.2446,51.75,0.844,0.49
22,0.670967999788431,0.7623,69.43,0.905,0.69,0.9442,64.43,0.859,0.64
23,0.6222118804088006,1.0654,58.86,0.858,0.586,1.3244,55.46,0.823,0.541
24,0.5887789258590111,2.2364,49.29,0.806,0.464,2.3151,49.04,0.778,0.481
25,0.5713039003885709,0.8548,68.64,0.903,0.686,1.1193,60.04,0.853,0.599
26,0.5328312763800988,0.9542,67.36,0.891,0.663,1.1325,62.32,0.855,0.615
27,0.49390967442439154,1.1575,63.29,0.899,0.607,1.4927,57.07,0.844,0.543
28,0.4871034924800579,1.1042,60.79,0.894,0.606,1.4264,53.18,0.835,0.523
29,0.4638814343855931,0.7548,71.93,0.919,0.72,0.9786,66.11,0.876,0.663
30,0.4222163741405194,1.209,62.68,0.879,0.617,1.4143,58.46,0.845,0.568
31,0.4031002604044401,0.7098,74.18,0.937,0.74,1.1499,63.75,0.875,0.637
32,0.36746015755029826,1.0363,66.89,0.908,0.655,1.254,62.64,0.876,0.615
33,0.36070971466027774,0.9241,67.0,0.908,0.66,1.1075,64.5,0.88,0.645
34,0.33240623153173005,1.3085,63.86,0.903,0.619,1.4653,60.96,0.874,0.597
35,0.3051490526932936,0.7495,75.0,0.929,0.751,1.1765,65.07,0.878,0.653
36,0.28936011424431435,1.0907,69.07,0.912,0.687,1.2897,66.5,0.887,0.661
37,0.2732224187025657,0.7506,77.04,0.939,0.77,1.1468,69.96,0.895,0.699
38,0.2522861212491989,0.6951,76.96,0.944,0.769,1.0616,69.82,0.903,0.698
39,0.22304197824918306,0.8943,73.64,0.928,0.734,1.1067,67.93,0.904,0.674
40,0.22148014582120457,0.6356,79.64,0.952,0.796,1.0266,72.64,0.913,0.726
41,0.19856106845232158,0.7341,76.07,0.938,0.761,1.0932,69.57,0.901,0.696
42,0.1871179114167507,0.8187,76.68,0.942,0.766,1.0818,71.0,0.912,0.71
43,0.17661202870882475,0.659,79.43,0.948,0.794,1.0295,71.21,0.908,0.713
44,0.1588173645047041,0.6768,78.11,0.951,0.781,1.0456,72.04,0.912,0.721
45,0.15683598197423496,0.7287,77.86,0.947,0.779,1.0486,71.68,0.914,0.718
46,0.15376000759693292,0.7382,77.14,0.945,0.772,1.0502,72.18,0.913,0.723
47,0.15340835876189746,0.6909,78.07,0.948,0.781,1.0128,73.18,0.916,0.732
48,0.14492008204643542,0.7089,77.82,0.947,0.779,1.0167,72.57,0.915,0.727
49,0.1424904765991064,0.6875,78.29,0.949,0.783,1.0108,73.04,0.916,0.731
