epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.346694828913762,1.2777,39.39,0.676,0.326,1.2652,39.39,0.694,0.332
1,1.6422546735176673,1.2946,38.21,0.695,0.257,1.3068,37.14,0.713,0.251
2,1.427415684553293,1.3788,34.5,0.696,0.238,1.3646,31.5,0.72,0.226
3,1.4025903298304632,1.2498,39.61,0.754,0.353,1.2415,44.86,0.748,0.387
4,1.3139318246107834,1.2173,39.71,0.739,0.32,1.2135,40.46,0.749,0.34
5,1.276790164067195,1.1627,50.96,0.78,0.491,1.2109,45.46,0.741,0.432
6,1.2572018549992487,1.318,41.5,0.762,0.34,1.3291,36.64,0.729,0.333
7,1.2354535212883582,1.1342,53.14,0.779,0.519,1.2095,44.14,0.743,0.412
8,1.2169885653715866,1.0824,53.82,0.801,0.52,1.1906,48.43,0.76,0.452
9,1.1908799684964693,1.6138,30.96,0.71,0.22,1.6737,30.61,0.69,0.226
10,1.1899531364440918,1.1503,50.32,0.762,0.462,1.2157,42.64,0.726,0.399
11,1.152199569115272,1.2364,46.07,0.761,0.441,1.3148,39.57,0.72,0.349
12,1.133277208988483,0.9848,59.89,0.845,0.581,1.0864,52.82,0.8,0.504
13,1.1306540782635028,1.0715,53.25,0.808,0.532,1.2264,43.96,0.752,0.428
14,1.0943701184712924,1.079,53.82,0.792,0.542,1.1596,51.25,0.779,0.512
15,1.0598705713565533,1.0411,59.25,0.825,0.59,1.1153,52.07,0.802,0.518
16,1.0523804050225478,1.3955,45.61,0.773,0.399,1.3799,45.82,0.75,0.391
17,1.0269677510628334,1.2904,53.86,0.78,0.512,1.3693,45.71,0.738,0.408
18,0.9923270298884466,1.3514,54.43,0.813,0.505,1.4597,51.36,0.788,0.466
19,0.9727251988190871,1.5136,45.64,0.726,0.426,1.5782,44.93,0.73,0.419
20,0.9324952923334562,1.0636,55.75,0.828,0.552,1.2773,46.86,0.794,0.45
21,0.911609253516564,1.0358,58.0,0.854,0.578,1.1988,48.0,0.809,0.457
22,0.8969656825065613,1.028,60.07,0.838,0.598,1.0989,51.89,0.806,0.511
23,0.8521240078485929,1.0257,59.46,0.843,0.59,1.1139,54.68,0.813,0.538
24,0.8264468981669499,0.8803,64.79,0.873,0.641,0.9721,59.36,0.84,0.587
25,0.805414368556096,0.9069,65.32,0.867,0.654,1.1039,53.86,0.8,0.544
26,0.7884038650072538,0.7897,68.11,0.901,0.682,1.1025,52.71,0.821,0.525
27,0.7464236846336951,0.8112,69.89,0.903,0.699,1.108,57.21,0.843,0.567
28,0.7268709421157837,0.9587,61.61,0.877,0.61,1.1619,55.25,0.838,0.547
29,0.6840006947517395,0.8763,65.14,0.886,0.648,1.1141,56.93,0.834,0.564
30,0.6678928054296054,0.7365,72.64,0.912,0.725,1.0211,63.29,0.858,0.633
31,0.641674064214413,0.7152,70.93,0.913,0.709,0.8962,63.32,0.868,0.634
32,0.6019455478741572,0.9169,69.82,0.91,0.697,1.2713,60.29,0.853,0.598
33,0.5937367255871112,1.2856,55.57,0.843,0.535,1.5935,51.29,0.796,0.496
34,0.56084278684396,0.7401,72.75,0.931,0.723,1.0257,64.07,0.883,0.635
35,0.5380072813767653,0.6952,74.04,0.925,0.736,1.0307,63.64,0.857,0.631
36,0.5162513081844037,0.6611,73.39,0.932,0.731,0.9346,64.68,0.882,0.646
37,0.4719034529649294,0.7013,74.68,0.935,0.747,0.9485,67.93,0.899,0.677
38,0.4606733230444101,0.7866,70.29,0.919,0.701,0.9021,66.79,0.895,0.667
39,0.4152633300194373,0.5507,80.39,0.956,0.805,0.7813,72.75,0.924,0.729
40,0.410778613273914,0.731,75.04,0.944,0.753,1.0013,65.07,0.901,0.657
41,0.3916171096838438,0.6804,76.07,0.942,0.761,0.9522,68.14,0.902,0.681
42,0.356910839676857,0.6999,76.36,0.944,0.763,0.939,68.89,0.909,0.688
43,0.35292897247351135,0.6722,76.96,0.945,0.77,0.9332,69.32,0.906,0.695
44,0.33220581526939685,0.6244,78.14,0.948,0.782,0.8482,73.07,0.917,0.732
45,0.32113506014530474,0.7518,76.0,0.943,0.759,0.9235,69.25,0.915,0.693
46,0.3230124776179974,0.6399,77.68,0.949,0.777,0.829,72.61,0.922,0.727
47,0.30509148813211,0.5649,79.18,0.955,0.792,0.7989,73.32,0.924,0.734
48,0.2963944675830694,0.5754,78.96,0.954,0.79,0.7966,73.75,0.924,0.739
49,0.30708926297151123,0.5678,79.21,0.955,0.792,0.7851,74.04,0.925,0.742
