epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.373138926579402,1.3663,30.64,0.589,0.254,1.3422,30.79,0.644,0.252
1,1.873856731561514,1.4027,25.21,0.516,0.152,1.3916,26.46,0.578,0.163
2,1.4371957522172194,1.4515,24.54,0.518,0.129,1.4351,22.75,0.575,0.116
3,1.3850086578956018,1.412,33.29,0.611,0.229,1.3419,34.39,0.673,0.238
4,1.353513526916504,1.3404,34.18,0.619,0.253,1.3287,32.14,0.656,0.238
5,1.3221445523775541,1.3575,35.89,0.621,0.344,1.3133,38.11,0.676,0.363
6,1.313273444542518,1.4003,30.43,0.627,0.241,1.3399,33.21,0.68,0.278
7,1.3053404881403996,1.3017,35.07,0.641,0.352,1.2717,38.79,0.691,0.389
8,1.2953044891357421,1.3951,29.54,0.612,0.271,1.3601,32.93,0.663,0.31
9,1.287324435894306,1.3363,36.25,0.645,0.312,1.2828,39.64,0.669,0.348
10,1.27056821676401,1.3119,35.07,0.648,0.345,1.2773,38.39,0.7,0.377
11,1.2622203093308668,1.3139,36.64,0.641,0.357,1.273,39.0,0.693,0.379
12,1.248604759803185,1.3751,34.96,0.627,0.303,1.3277,34.0,0.643,0.302
13,1.2449554149921125,1.461,26.82,0.589,0.189,1.3832,29.82,0.643,0.213
14,1.2164208852327787,1.3082,40.14,0.69,0.346,1.3034,40.36,0.7,0.348
15,1.1901373019585242,1.3223,40.11,0.693,0.376,1.3551,39.25,0.694,0.347
16,1.1718532745654766,1.4964,33.54,0.648,0.244,1.5827,29.04,0.583,0.232
17,1.1273424992194543,1.155,47.39,0.754,0.46,1.2124,43.21,0.719,0.424
18,1.095231124987969,1.3287,32.93,0.7,0.283,1.3307,37.96,0.714,0.346
19,1.0602750338040865,2.3782,29.32,0.61,0.187,2.4271,29.89,0.567,0.202
20,1.0520720215944144,1.3367,40.32,0.723,0.354,1.2943,42.68,0.741,0.388
21,1.0161633152228136,1.2409,46.36,0.75,0.446,1.3065,43.43,0.726,0.415
22,1.0240495956861055,1.3831,37.68,0.72,0.342,1.4445,36.75,0.715,0.326
23,1.0020704947985135,1.4985,39.61,0.714,0.369,1.5078,39.57,0.717,0.37
24,0.9636975554319528,1.17,49.43,0.77,0.478,1.1609,48.5,0.763,0.468
25,0.9372509222764235,1.1757,46.86,0.775,0.467,1.2066,52.54,0.786,0.52
26,0.920953879906581,1.06,54.14,0.799,0.543,1.1491,47.14,0.758,0.475
27,0.9032152340962336,1.4522,43.96,0.725,0.409,1.3995,39.57,0.721,0.359
28,0.875853468821599,1.1768,51.07,0.786,0.503,1.1869,47.29,0.759,0.465
29,0.8346369037261376,1.6171,38.79,0.738,0.34,1.6777,41.04,0.724,0.365
30,0.8263092270264258,1.2687,50.89,0.782,0.453,1.1638,50.14,0.802,0.454
31,0.7833447254621065,0.9756,61.96,0.846,0.61,1.0783,57.5,0.807,0.568
32,0.7495418227635897,0.8888,65.29,0.868,0.65,1.0497,56.5,0.823,0.563
33,0.7381514998582693,1.0806,62.68,0.847,0.623,1.2492,54.86,0.802,0.541
34,0.722095251083374,1.0224,57.25,0.866,0.53,1.1263,52.32,0.828,0.492
35,0.672922420501709,1.1356,60.43,0.847,0.605,1.3161,50.89,0.802,0.505
36,0.6633092100803669,0.7849,69.5,0.9,0.69,0.9336,61.39,0.855,0.61
37,0.6346426775822273,0.7965,70.54,0.902,0.707,0.9692,60.82,0.851,0.611
38,0.6027697058824393,1.3167,58.43,0.841,0.569,1.2209,57.14,0.834,0.56
39,0.5931421889708592,0.7629,70.93,0.907,0.708,0.9616,62.43,0.858,0.62
40,0.5596009359909938,1.0371,65.82,0.891,0.657,1.1892,56.82,0.846,0.568
41,0.5270331575320317,0.8938,66.14,0.885,0.657,0.9972,61.32,0.856,0.609
42,0.5137778846117166,0.8884,69.39,0.91,0.691,1.0874,62.14,0.871,0.617
43,0.4848718959551591,0.7315,72.82,0.917,0.727,0.8656,65.32,0.887,0.647
44,0.47338409607227033,0.7024,73.64,0.925,0.737,0.8689,67.18,0.89,0.671
45,0.46164057713288525,0.7158,73.14,0.921,0.732,0.8077,68.86,0.899,0.688
46,0.4561131582810329,0.7532,71.29,0.916,0.713,0.8713,67.18,0.888,0.67
47,0.4406023066777449,0.702,73.75,0.925,0.737,0.8248,68.54,0.897,0.682
48,0.41527926050699676,0.7196,73.32,0.922,0.733,0.8299,67.89,0.896,0.677
49,0.41987320001308737,0.7117,73.64,0.924,0.736,0.8297,68.71,0.896,0.684
