epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.359387940626878,1.3301,35.75,0.665,0.298,1.3745,31.36,0.593,0.231
1,1.55512981231396,1.5747,26.11,0.587,0.129,1.5681,21.86,0.601,0.093
2,1.342058621920072,1.4169,31.96,0.583,0.238,1.4503,30.36,0.523,0.235
3,1.2890288774783796,1.3829,40.11,0.7,0.324,1.3987,35.57,0.659,0.31
4,1.2184930324554444,1.2269,44.07,0.721,0.432,1.2663,37.25,0.684,0.359
5,1.1747173474385189,1.4107,42.11,0.752,0.379,1.4675,37.18,0.705,0.314
6,1.1307890855349028,1.7289,34.43,0.721,0.245,1.8521,30.36,0.651,0.215
7,1.1116605887046227,1.6225,37.39,0.645,0.334,1.7877,33.25,0.625,0.271
8,1.0747340156481817,1.1068,53.14,0.783,0.52,1.4736,37.39,0.682,0.347
9,1.0168195146780747,1.6123,38.71,0.699,0.366,1.4588,41.29,0.661,0.414
10,1.0126627591940074,1.3897,43.21,0.776,0.369,1.6685,34.11,0.648,0.297
11,0.9404833940359262,1.1839,48.89,0.789,0.467,1.517,34.89,0.675,0.326
12,0.9126125757510846,1.1378,56.64,0.803,0.566,1.3611,45.25,0.73,0.445
13,0.8761983247903677,0.9855,57.04,0.834,0.565,1.3407,45.07,0.727,0.435
14,0.8203744842455938,1.3578,46.5,0.782,0.44,1.6033,41.79,0.71,0.398
15,0.7721929495151226,1.0275,59.57,0.877,0.586,1.2823,43.79,0.801,0.4
16,0.7406311099345867,1.0787,57.71,0.834,0.577,1.4278,47.39,0.757,0.464
17,0.6693529587525587,1.4074,53.43,0.823,0.525,1.7271,45.11,0.735,0.436
18,0.6168550858130821,1.0674,62.32,0.856,0.619,1.5906,50.64,0.749,0.504
19,0.5660471806159386,1.2925,62.46,0.859,0.615,1.7014,51.61,0.785,0.495
20,0.5413471290698418,1.4965,55.21,0.824,0.538,2.2453,40.46,0.72,0.373
21,0.49090242569263165,0.7699,71.46,0.912,0.713,1.1553,57.82,0.835,0.575
22,0.4603082409271827,1.0169,68.0,0.903,0.684,1.7605,49.39,0.822,0.464
23,0.4200610137902773,1.7353,59.89,0.859,0.547,1.5679,53.11,0.833,0.499
24,0.39165399555976577,1.1126,64.25,0.878,0.629,1.1044,60.61,0.847,0.6
25,0.38938605877069327,1.0383,66.79,0.886,0.667,1.4678,54.32,0.807,0.543
26,0.3548425172383969,1.1873,64.25,0.874,0.627,1.4488,55.43,0.819,0.556
27,0.3230179357987184,1.1142,69.36,0.901,0.684,1.8581,54.68,0.797,0.546
28,0.30629927699382486,1.4503,64.82,0.895,0.627,1.7624,54.89,0.833,0.537
29,0.27272363350941586,0.9204,72.07,0.921,0.714,1.5819,54.25,0.815,0.541
30,0.25313851833343504,0.7897,75.71,0.932,0.755,1.3813,59.86,0.845,0.597
31,0.24277419264499958,0.8795,72.93,0.931,0.719,1.501,58.68,0.847,0.579
32,0.22157046691729473,0.8293,75.25,0.936,0.754,1.7647,55.75,0.851,0.557
33,0.20421042430859346,0.9236,73.46,0.926,0.735,1.7411,57.29,0.834,0.574
34,0.20084467965822952,0.8689,75.07,0.936,0.751,1.7141,57.64,0.84,0.575
35,0.1780826773781043,1.0476,73.79,0.924,0.734,1.849,58.07,0.83,0.58
36,0.16991550223185467,1.5905,65.68,0.892,0.657,2.3712,55.82,0.805,0.549
37,0.16109052460927228,0.963,77.29,0.933,0.774,1.6752,60.71,0.855,0.604
38,0.13863967141279807,0.9897,74.5,0.937,0.732,1.7812,59.29,0.847,0.583
39,0.13118899716780735,0.8774,77.14,0.938,0.773,1.712,59.93,0.859,0.599
40,0.12188041049700517,0.9134,76.82,0.94,0.768,2.0137,58.79,0.852,0.581
41,0.10766932780926045,0.8508,78.32,0.944,0.783,1.8765,61.29,0.863,0.609
42,0.11070041037522829,0.9607,77.07,0.942,0.77,1.9337,60.39,0.862,0.595
43,0.10017342200646033,0.8555,79.04,0.947,0.79,1.7899,61.71,0.87,0.616
44,0.09008154616906093,0.7979,80.04,0.95,0.8,1.7973,61.43,0.861,0.612
45,0.08401655795482489,0.8669,78.32,0.946,0.783,1.8265,61.86,0.863,0.616
46,0.0867204011632846,0.8328,79.79,0.948,0.798,1.8246,61.25,0.862,0.611
47,0.08543667231614772,0.8589,78.61,0.946,0.786,1.7867,62.25,0.862,0.621
48,0.0803238714257112,0.8671,78.68,0.945,0.787,1.7969,61.75,0.861,0.616
49,0.08193117655240573,0.8615,78.61,0.946,0.786,1.7799,61.79,0.862,0.616
