epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3798334561861478,1.3639,29.96,0.573,0.208,1.3561,29.56,0.616,0.214
1,1.886504708803617,1.3966,26.36,0.625,0.133,1.3938,27.5,0.677,0.146
2,1.3766597160926233,1.3477,32.75,0.593,0.304,1.3125,36.63,0.639,0.328
3,1.3311514340914212,1.5081,28.57,0.586,0.218,1.4489,28.82,0.591,0.25
4,1.3100512137779823,1.4942,30.39,0.585,0.238,1.4225,31.03,0.581,0.268
5,1.2977475569798396,1.3235,35.0,0.654,0.298,1.292,36.41,0.675,0.302
6,1.282094221848708,1.3119,37.86,0.689,0.35,1.2593,40.16,0.711,0.357
7,1.2334837693434495,1.2295,40.07,0.73,0.356,1.2003,41.19,0.731,0.349
8,1.2029595925257757,1.1934,49.5,0.754,0.45,1.2059,42.8,0.719,0.379
9,1.1815498425410345,1.1705,46.96,0.749,0.45,1.2085,44.54,0.729,0.426
10,1.1299897670745849,1.4182,35.82,0.671,0.323,1.4121,36.63,0.667,0.348
11,1.1063654899597168,1.6318,38.71,0.729,0.325,1.7002,34.31,0.665,0.269
12,1.058701006265787,1.0804,52.82,0.811,0.508,1.2089,45.76,0.756,0.444
13,0.9800658024274386,1.4746,40.57,0.794,0.362,1.4857,37.91,0.79,0.312
14,0.9311531048554641,1.665,47.32,0.754,0.421,1.5887,46.18,0.759,0.403
15,0.8909109720816979,1.1952,53.14,0.809,0.495,1.1227,53.42,0.838,0.496
16,0.8084718814262977,1.083,53.54,0.834,0.534,1.1754,50.36,0.803,0.507
17,0.7616348284941453,1.5421,43.57,0.778,0.403,1.5839,40.09,0.758,0.372
18,0.7300461438985971,2.0428,43.79,0.759,0.382,1.8411,41.87,0.781,0.367
19,0.6740197218381442,1.2061,55.86,0.845,0.546,1.1865,54.17,0.831,0.537
20,0.6303726961979499,1.1529,57.39,0.855,0.562,1.2548,54.14,0.818,0.533
21,0.6200690562908466,0.9273,65.25,0.885,0.646,0.9742,60.52,0.867,0.603
22,0.5530578764585349,1.1638,58.43,0.861,0.563,1.018,62.05,0.884,0.604
23,0.5077150069750272,1.1427,58.93,0.851,0.581,1.0425,62.2,0.873,0.616
24,0.47455906822131233,1.1378,65.86,0.883,0.637,1.1301,61.8,0.874,0.599
25,0.4410265514483819,0.8902,66.32,0.906,0.66,0.9691,63.8,0.894,0.632
26,0.41255586055608895,1.2988,62.5,0.875,0.627,1.3323,62.09,0.863,0.629
27,0.3823586931595436,1.2874,58.89,0.86,0.575,1.4514,56.24,0.825,0.557
28,0.35425900175021247,0.9525,70.36,0.904,0.694,0.9923,67.48,0.891,0.668
29,0.33352718765919026,1.0249,68.82,0.908,0.682,1.03,66.41,0.908,0.659
30,0.3084470829138389,0.8169,72.71,0.922,0.724,1.0734,68.9,0.888,0.687
31,0.2769944289555916,0.9879,69.5,0.903,0.687,0.9543,67.69,0.897,0.674
32,0.27443578151556164,0.998,71.36,0.911,0.708,1.0374,69.44,0.902,0.687
33,0.2340835621723762,0.8107,75.64,0.938,0.753,1.0327,69.94,0.909,0.694
34,0.22877252331146827,1.0867,69.75,0.921,0.699,1.2384,66.62,0.911,0.667
35,0.19487281487538263,0.798,75.86,0.936,0.758,0.9238,74.0,0.921,0.74
36,0.1745353863789485,1.082,68.75,0.919,0.688,1.2496,65.8,0.913,0.658
37,0.1734854655770155,1.2616,70.0,0.914,0.685,1.3547,67.76,0.912,0.668
38,0.1614530426951555,0.737,78.68,0.947,0.787,0.8914,74.96,0.929,0.749
39,0.13783020423008846,0.9896,74.0,0.942,0.745,1.162,70.44,0.924,0.707
40,0.13319731526649914,0.8275,76.86,0.937,0.767,0.9571,73.25,0.925,0.731
41,0.12228173567698553,0.9722,75.43,0.938,0.757,1.1702,70.04,0.911,0.704
42,0.11394446950692397,0.887,77.11,0.938,0.773,1.0944,72.29,0.917,0.725
43,0.10569845294723144,0.8299,77.32,0.939,0.774,1.0175,73.64,0.927,0.737
44,0.09790195782597248,0.7734,79.14,0.948,0.793,0.957,75.0,0.931,0.751
45,0.09258996483225089,0.8474,77.18,0.94,0.772,1.0557,73.0,0.926,0.731
46,0.09186388334402672,0.7929,77.79,0.943,0.778,0.9891,74.29,0.93,0.744
47,0.08775171391092813,0.8024,77.86,0.944,0.779,0.9924,74.29,0.929,0.744
48,0.08653649246463409,0.7949,78.0,0.944,0.781,0.9779,74.61,0.93,0.747
49,0.08729660253112133,0.8046,78.29,0.944,0.783,0.9866,74.68,0.929,0.747
