epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3651413110586312,1.3231,30.93,0.668,0.216,1.3407,30.29,0.654,0.211
1,1.7540000493709857,1.334,37.07,0.683,0.276,1.3969,34.32,0.642,0.255
2,1.3838980748103216,1.2684,40.64,0.705,0.329,1.3804,34.68,0.73,0.284
3,1.328936111010038,1.2477,48.04,0.711,0.463,1.2717,42.82,0.728,0.387
4,1.2839646302736722,1.305,38.68,0.703,0.327,1.3096,37.68,0.734,0.32
5,1.2341324989612286,1.2168,47.04,0.727,0.426,1.1946,50.21,0.777,0.449
6,1.2071866970795853,1.4258,32.93,0.713,0.264,1.3,37.0,0.757,0.321
7,1.184503907423753,1.3022,40.11,0.722,0.359,1.2614,41.39,0.735,0.367
8,1.164789550121014,1.1346,47.5,0.767,0.452,1.2514,43.79,0.742,0.405
9,1.135972732764024,1.1079,53.32,0.801,0.514,1.2363,47.11,0.751,0.463
10,1.0989544685070332,1.0447,58.39,0.829,0.557,1.0656,52.5,0.819,0.494
11,1.0660258256472075,1.2124,52.11,0.814,0.492,1.2032,46.46,0.799,0.43
12,1.052763673892388,1.0711,55.11,0.834,0.518,1.0391,53.25,0.827,0.498
13,1.0146388448201693,0.9807,57.43,0.842,0.572,1.0396,55.46,0.838,0.544
14,0.9613253767673786,1.0846,56.43,0.824,0.548,1.0601,54.89,0.833,0.527
15,0.9122378679422232,1.1145,53.57,0.837,0.508,1.1685,51.54,0.837,0.481
16,0.8886905550956726,1.2723,53.61,0.792,0.489,1.2497,52.25,0.791,0.473
17,0.839915144443512,1.3101,50.68,0.799,0.489,1.3815,49.86,0.786,0.468
18,0.7974548523242657,1.2958,51.68,0.819,0.459,1.1682,53.29,0.84,0.475
19,0.7483659019837012,0.8634,66.36,0.883,0.664,1.0065,57.5,0.833,0.577
20,0.7132104745277992,0.8961,62.5,0.88,0.59,0.9957,59.0,0.845,0.555
21,0.6433278083801269,0.9178,65.64,0.895,0.653,1.0033,62.71,0.889,0.616
22,0.6327633688083062,0.7963,68.04,0.906,0.674,0.9494,63.46,0.872,0.631
23,0.5742076965478751,0.8561,68.75,0.917,0.669,0.8789,65.54,0.909,0.638
24,0.5409724716956799,0.7518,69.18,0.909,0.691,0.6992,70.07,0.919,0.701
25,0.5087153072540577,0.9381,65.07,0.908,0.65,1.1184,62.54,0.891,0.62
26,0.47843187543062066,1.0426,64.61,0.896,0.615,1.0755,62.18,0.876,0.599
27,0.45455816754928,1.1896,66.21,0.905,0.617,1.2523,65.43,0.89,0.611
28,0.41100419484652007,0.8681,70.5,0.904,0.703,0.9155,69.39,0.897,0.694
29,0.4049994312799894,0.9751,66.04,0.89,0.654,1.0073,61.57,0.867,0.609
30,0.3709040577595051,0.9474,66.25,0.905,0.659,0.8424,69.07,0.911,0.69
31,0.35380006111585177,1.085,69.25,0.904,0.69,1.0205,66.21,0.899,0.66
32,0.325497816159175,0.7883,74.18,0.936,0.734,0.8433,71.79,0.919,0.714
33,0.3227859405370859,1.1324,67.57,0.91,0.656,1.0981,66.36,0.898,0.654
34,0.2911097627419692,0.7545,75.43,0.933,0.755,0.8221,72.82,0.926,0.729
35,0.26395810682039994,0.6743,78.64,0.949,0.781,0.6728,75.25,0.944,0.747
36,0.2505148419967064,0.9224,73.82,0.926,0.736,1.0274,69.5,0.911,0.689
37,0.2458991947082373,0.9574,74.32,0.931,0.746,0.8762,74.32,0.94,0.741
38,0.2166605532169342,0.7919,76.0,0.937,0.761,0.7474,74.36,0.936,0.745
39,0.21675864389309515,0.7372,78.75,0.946,0.789,0.8032,73.18,0.932,0.735
40,0.20849472742814285,0.8175,77.32,0.943,0.772,0.7823,74.64,0.944,0.744
41,0.19442905909740008,0.6446,79.21,0.951,0.792,0.6839,77.43,0.947,0.772
42,0.1788988383916708,0.7212,77.32,0.946,0.771,0.7029,76.96,0.95,0.765
43,0.16764552535919042,0.6844,78.25,0.948,0.782,0.6644,77.61,0.95,0.776
44,0.1601084149800814,0.6938,78.11,0.949,0.781,0.6658,77.86,0.953,0.777
45,0.15431052721463717,0.6712,79.32,0.951,0.794,0.6328,78.5,0.954,0.785
46,0.15233590109990194,0.7165,78.11,0.947,0.782,0.6576,78.64,0.953,0.786
47,0.15683594712844262,0.688,78.68,0.949,0.787,0.646,78.61,0.954,0.785
48,0.1439708894261947,0.6886,78.71,0.949,0.787,0.6361,78.68,0.955,0.786
49,0.14692098441032264,0.683,78.86,0.949,0.789,0.6295,78.29,0.955,0.782
