epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3630484507634089,1.2969,37.07,0.669,0.302,1.2911,38.57,0.69,0.326
1,1.7212432329471294,1.4425,27.64,0.628,0.156,1.4263,27.82,0.619,0.155
2,1.3692991550152118,1.2935,40.25,0.69,0.345,1.2922,43.43,0.712,0.375
3,1.3402082149799053,1.3223,39.61,0.674,0.361,1.3062,39.61,0.696,0.358
4,1.3271907366239108,1.2615,43.79,0.717,0.395,1.255,43.04,0.726,0.386
5,1.2963502003596379,1.3131,40.21,0.7,0.376,1.3444,39.18,0.668,0.374
6,1.2831371454092173,1.3765,33.07,0.706,0.262,1.3748,34.04,0.701,0.268
7,1.2725754811213568,1.3108,37.29,0.666,0.355,1.2788,43.75,0.688,0.429
8,1.260649094214806,1.2583,43.11,0.712,0.396,1.2579,45.11,0.756,0.419
9,1.2319061059218186,1.1348,49.68,0.77,0.465,1.1408,47.07,0.764,0.45
10,1.2165103105398325,1.2421,42.36,0.707,0.396,1.2511,41.32,0.705,0.385
11,1.1898529786330003,1.1888,49.18,0.75,0.486,1.1724,48.79,0.75,0.482
12,1.1590859706585224,1.1111,53.21,0.797,0.486,1.1259,48.21,0.79,0.446
13,1.1175033954473643,1.5311,35.32,0.681,0.318,1.5352,29.82,0.653,0.269
14,1.0662666742618268,1.2823,47.71,0.784,0.442,1.3056,44.18,0.77,0.414
15,1.026985882795774,1.0886,48.61,0.821,0.469,1.1528,45.21,0.812,0.42
16,1.0086218916452847,1.0413,52.14,0.828,0.473,1.027,53.07,0.827,0.485
17,0.9550179664905255,1.3504,46.46,0.801,0.426,1.3571,45.71,0.78,0.42
18,0.9168412712904123,1.3637,48.96,0.804,0.446,1.3914,48.71,0.783,0.443
19,0.8766172968424284,1.509,41.61,0.759,0.377,1.5115,39.43,0.747,0.343
20,0.8456878414520851,1.4226,50.11,0.796,0.444,1.4117,48.64,0.785,0.426
21,0.7804052297885601,1.3427,52.82,0.831,0.496,1.4397,50.25,0.796,0.48
22,0.7668849211472731,1.103,59.61,0.844,0.581,1.0998,58.18,0.826,0.571
23,0.7060646396416884,1.1645,59.61,0.869,0.579,1.4859,55.07,0.83,0.528
24,0.6750127122952387,1.0591,54.25,0.851,0.538,1.1119,53.36,0.841,0.526
25,0.6311232080826392,0.8168,69.36,0.898,0.698,0.9819,60.71,0.853,0.609
26,0.586689156293869,1.0285,59.89,0.885,0.57,1.046,59.64,0.888,0.578
27,0.5898763674956101,0.791,68.32,0.925,0.676,0.8811,64.43,0.907,0.637
28,0.5477010048352755,1.1516,64.43,0.888,0.642,1.4659,55.79,0.836,0.543
29,0.5264495317752544,1.222,61.0,0.882,0.605,1.3579,58.64,0.857,0.569
30,0.4889848502782675,0.7349,72.57,0.923,0.724,0.8575,68.57,0.894,0.681
31,0.45158245609356806,1.3842,59.21,0.884,0.587,1.5236,56.21,0.867,0.548
32,0.4354958520485805,0.9384,66.96,0.896,0.661,1.0499,64.57,0.877,0.641
33,0.4074798263036288,2.0884,56.39,0.853,0.539,2.3117,56.89,0.826,0.549
34,0.3836338070722727,1.0173,66.64,0.913,0.657,0.9919,68.64,0.913,0.678
35,0.3632265888727628,0.9174,69.43,0.921,0.671,0.9504,69.43,0.918,0.676
36,0.3468770357278677,0.6586,78.21,0.945,0.783,0.8385,71.57,0.914,0.715
37,0.3445764862574064,0.8258,72.75,0.924,0.725,0.8407,73.18,0.921,0.73
38,0.30165562744324026,0.8098,73.36,0.927,0.735,0.9319,70.75,0.912,0.708
39,0.2923821813785113,0.825,74.43,0.936,0.747,1.0352,69.71,0.909,0.7
40,0.28159635135760674,0.8118,73.75,0.931,0.732,0.863,72.14,0.922,0.717
41,0.25724080823934997,0.7663,75.68,0.938,0.761,0.9577,71.61,0.913,0.719
42,0.22820884745854597,0.7634,76.82,0.941,0.771,0.901,71.64,0.922,0.718
43,0.21861180640183964,0.671,77.46,0.947,0.777,0.8128,74.29,0.93,0.745
44,0.2096063093497203,0.6481,78.39,0.948,0.786,0.8291,74.64,0.928,0.748
45,0.2089279857965616,0.701,77.93,0.946,0.782,0.8883,73.11,0.923,0.732
46,0.20275660501076626,0.6664,78.57,0.948,0.788,0.8491,73.86,0.927,0.74
47,0.20605361645038311,0.6592,78.11,0.946,0.782,0.8205,74.36,0.928,0.744
48,0.18971132670457547,0.6772,77.46,0.944,0.776,0.8214,74.11,0.928,0.742
49,0.1953314924469361,0.6751,78.21,0.945,0.784,0.8188,74.18,0.929,0.743
