epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3711746876056379,1.3171,32.89,0.64,0.261,1.2999,36.11,0.683,0.298
1,1.7038667422074538,1.3265,37.39,0.648,0.307,1.3273,35.0,0.665,0.279
2,1.3657078376183143,1.3229,40.46,0.631,0.403,1.3336,35.79,0.617,0.348
3,1.3364827009347768,1.2583,40.57,0.698,0.392,1.2495,43.0,0.706,0.428
4,1.3305828681358924,1.4996,36.57,0.614,0.283,1.5013,31.71,0.586,0.252
5,1.3090157875647912,1.5885,31.64,0.604,0.258,1.5373,32.18,0.595,0.283
6,1.2970365524291991,2.0599,24.68,0.53,0.105,1.9833,26.07,0.573,0.125
7,1.277120252755972,1.2883,34.71,0.682,0.318,1.2514,38.0,0.71,0.358
8,1.2878548548771784,1.2367,39.39,0.734,0.328,1.2463,38.32,0.736,0.326
9,1.247376794081468,1.2382,42.04,0.723,0.38,1.2529,37.79,0.704,0.346
10,1.249117323068472,1.3496,33.04,0.672,0.306,1.3254,30.75,0.671,0.273
11,1.2205136959369367,1.3397,33.5,0.672,0.257,1.3476,32.71,0.654,0.269
12,1.2088589741633489,1.5636,24.89,0.624,0.117,1.5344,26.71,0.644,0.142
13,1.178311250760005,1.1469,50.46,0.759,0.503,1.2084,45.04,0.725,0.444
14,1.1318157562842737,1.1199,52.07,0.788,0.468,1.1161,50.75,0.795,0.45
15,1.0578005799880394,1.2804,40.57,0.795,0.38,1.2945,41.29,0.788,0.389
16,1.0267673795039838,1.3216,45.43,0.753,0.399,1.362,41.43,0.715,0.358
17,0.9808535649226262,1.0037,59.75,0.825,0.589,0.9726,59.82,0.833,0.59
18,0.9238583968235896,0.956,59.14,0.849,0.582,1.1468,53.0,0.791,0.522
19,0.8740477176812979,2.0233,40.14,0.742,0.354,2.2256,38.11,0.699,0.335
20,0.8256681515620306,1.3485,52.21,0.802,0.504,1.3107,53.71,0.811,0.522
21,0.7776500032498286,0.9955,60.32,0.843,0.606,0.9986,60.61,0.85,0.605
22,0.7500142418421232,1.0147,61.21,0.872,0.582,1.0936,58.29,0.849,0.556
23,0.7066926882817195,1.1298,58.32,0.896,0.577,1.432,47.14,0.844,0.437
24,0.6601765944407536,1.6689,53.5,0.819,0.512,1.9624,46.64,0.771,0.42
25,0.6298644817792453,1.0516,60.04,0.842,0.593,1.1131,54.54,0.817,0.54
26,0.5841183983362638,0.8922,63.5,0.888,0.636,1.0155,61.18,0.862,0.616
27,0.5631418154789851,1.061,59.43,0.887,0.582,1.1523,59.75,0.873,0.59
28,0.5361471313696641,1.0406,64.46,0.872,0.644,1.1985,59.57,0.839,0.597
29,0.5230135981853191,0.8762,66.71,0.899,0.665,1.0384,64.79,0.877,0.642
30,0.473307387645428,1.052,67.29,0.904,0.665,1.1258,65.86,0.885,0.649
31,0.44568620461684005,1.3767,59.29,0.847,0.592,1.5631,57.04,0.823,0.572
32,0.4300161123275757,1.1649,64.29,0.863,0.636,1.2088,60.61,0.847,0.597
33,0.40811570653548607,0.8287,71.39,0.922,0.715,1.1284,64.18,0.878,0.645
34,0.3582961756449479,1.2777,60.5,0.899,0.583,1.4547,59.61,0.876,0.58
35,0.3454236262119733,0.97,70.32,0.896,0.7,1.1505,64.54,0.871,0.645
36,0.32782900906526125,0.7426,75.64,0.934,0.758,1.015,69.79,0.901,0.7
37,0.3159449155514057,0.802,73.36,0.925,0.728,0.929,70.18,0.904,0.697
38,0.2827811328264383,1.0269,67.54,0.902,0.662,1.0281,67.79,0.901,0.67
39,0.28118125521219695,0.7948,74.04,0.932,0.74,1.0502,69.46,0.9,0.693
40,0.25361137298437264,0.8432,73.68,0.929,0.731,1.1023,70.21,0.904,0.699
41,0.2406810801762801,0.7592,74.46,0.931,0.743,0.9242,71.43,0.908,0.713
42,0.2185558931185649,0.6973,76.43,0.938,0.765,0.9298,71.21,0.909,0.714
43,0.2022452984864895,0.7504,75.0,0.94,0.752,0.9477,71.43,0.919,0.717
44,0.1961289692383546,0.6643,76.61,0.944,0.767,0.9033,73.11,0.92,0.732
45,0.18963616478901643,0.7224,76.89,0.941,0.77,0.9127,72.71,0.919,0.729
46,0.18618803242078194,0.7449,75.61,0.939,0.757,0.9287,73.21,0.92,0.733
47,0.19178542540623592,0.6895,76.57,0.942,0.767,0.8951,73.36,0.921,0.735
48,0.17874267892195628,0.7111,76.07,0.94,0.762,0.9069,73.61,0.919,0.737
49,0.18159729758134255,0.7064,76.25,0.94,0.763,0.8973,73.71,0.92,0.738
