epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3813826340895432,1.3863,25.0,0.483,0.1,1.3863,25.0,0.465,0.1
1,1.3151272773742675,1.4088,25.0,0.592,0.1,1.4089,25.0,0.533,0.1
2,1.2126683491926926,1.4231,25.0,0.585,0.1,1.4211,25.0,0.638,0.1
3,1.1570948857527512,1.3629,27.21,0.74,0.143,1.3867,25.29,0.719,0.117
4,1.0962740017817572,1.2816,45.11,0.765,0.397,1.3218,39.39,0.71,0.345
5,1.0138103439257695,1.2141,43.11,0.774,0.391,1.3133,39.04,0.719,0.364
6,0.9265959455416752,1.0964,54.86,0.809,0.531,1.2266,49.96,0.757,0.482
7,0.8581187880956209,2.4389,33.29,0.665,0.266,2.5652,32.82,0.61,0.277
8,0.7970977416405312,2.4431,41.25,0.739,0.339,2.4077,43.43,0.722,0.375
9,0.738532056258275,1.5151,44.64,0.747,0.439,1.5933,45.86,0.731,0.443
10,0.6244343473361089,1.7659,49.57,0.753,0.489,2.0482,42.43,0.706,0.42
11,0.59749851501905,2.0938,45.29,0.72,0.434,2.4021,42.5,0.673,0.393
12,0.5204627229617192,1.5291,54.39,0.816,0.52,1.5228,54.32,0.818,0.517
13,0.4775757051431216,2.9453,40.57,0.724,0.39,2.933,42.71,0.737,0.397
14,0.4333238890537849,1.7354,58.39,0.855,0.579,2.13,55.0,0.83,0.545
15,0.39663688425834365,1.4477,60.5,0.855,0.587,1.4501,59.11,0.845,0.576
16,0.38175194561481474,1.1321,64.75,0.867,0.653,1.0108,68.39,0.887,0.685
17,0.340546673307052,1.1915,66.18,0.867,0.662,1.3159,63.79,0.862,0.639
18,0.2947241762509713,1.3966,60.54,0.874,0.602,1.528,58.11,0.873,0.576
19,0.28049348363509546,0.8917,70.61,0.904,0.702,0.8244,71.46,0.909,0.715
20,0.2716285322721188,1.1317,65.68,0.871,0.653,0.9618,67.68,0.901,0.671
21,0.2365177374619704,1.1729,67.04,0.886,0.668,1.334,64.11,0.863,0.641
22,0.22014241883387933,0.9153,70.14,0.91,0.697,1.2753,60.71,0.877,0.599
23,0.19492128628950853,0.9763,75.57,0.924,0.757,1.3399,65.43,0.893,0.655
24,0.19454603447363927,1.1664,68.93,0.913,0.684,1.2756,69.75,0.887,0.694
25,0.1650876618348635,1.1764,70.96,0.894,0.711,1.2273,68.57,0.894,0.684
26,0.16083786539160289,1.4272,64.93,0.865,0.649,1.3776,64.07,0.866,0.642
27,0.13849561111285136,1.1718,71.61,0.919,0.718,1.269,68.29,0.905,0.68
28,0.12395953851250502,1.0781,70.18,0.913,0.702,1.2785,67.43,0.903,0.675
29,0.11303866740602714,1.0035,76.5,0.919,0.766,1.0586,73.0,0.925,0.728
30,0.11985688433051109,0.8743,76.0,0.933,0.759,1.0677,69.82,0.911,0.694
31,0.10732072459963651,1.0093,75.54,0.922,0.758,1.1382,71.21,0.908,0.711
32,0.09378194298881751,0.9062,77.86,0.931,0.778,1.1106,72.5,0.918,0.723
33,0.09125891929635635,0.9599,76.29,0.932,0.765,1.3126,69.43,0.91,0.697
34,0.08673979132794417,0.9947,76.54,0.935,0.767,1.1785,71.64,0.928,0.715
35,0.07434631758011305,0.9286,77.82,0.94,0.779,1.1071,71.71,0.928,0.717
36,0.07524558500601695,0.8716,79.32,0.945,0.794,1.1456,72.71,0.929,0.727
37,0.06429395182774617,1.0066,77.25,0.935,0.772,1.1282,72.68,0.928,0.725
38,0.06045541217407355,1.0038,79.11,0.94,0.791,1.1831,73.79,0.929,0.737
39,0.055692951753735544,0.9783,78.96,0.939,0.789,1.265,71.14,0.924,0.706
40,0.046479723244332354,0.9237,79.54,0.944,0.796,1.1131,73.14,0.929,0.73
41,0.04826185143051239,1.0166,78.71,0.94,0.788,1.2597,73.64,0.925,0.736
42,0.040722046806835215,0.9184,81.11,0.946,0.811,1.2253,72.75,0.928,0.727
43,0.0424318527802825,0.9644,80.21,0.944,0.802,1.1714,72.54,0.932,0.725
44,0.039715220191730904,0.9965,80.07,0.943,0.801,1.1776,73.79,0.933,0.737
45,0.03706172190320033,0.9855,79.46,0.944,0.795,1.2055,73.21,0.932,0.731
46,0.03248496223241091,1.0344,79.29,0.942,0.794,1.2487,72.82,0.93,0.727
47,0.03633087301770082,1.0435,79.0,0.941,0.791,1.2471,72.89,0.93,0.728
48,0.03369298982792176,1.0531,79.18,0.941,0.792,1.2406,73.0,0.931,0.729
49,0.0387774964937797,1.06,79.18,0.94,0.792,1.2446,72.86,0.931,0.728
