epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3823375408466045,1.3863,25.0,0.507,0.1,1.3863,25.0,0.496,0.1
1,1.3403493441068208,1.3994,25.0,0.585,0.1,1.3994,25.0,0.563,0.1
2,1.2930304197164681,1.4019,25.0,0.609,0.1,1.3977,25.0,0.634,0.1
3,1.2682527101956882,1.4209,25.0,0.651,0.1,1.4223,25.0,0.618,0.1
4,1.2239428795300997,1.4387,26.25,0.694,0.125,1.4543,25.14,0.626,0.103
5,1.198910377575801,1.4906,27.75,0.542,0.236,1.5243,27.46,0.527,0.213
6,1.1655627415730403,1.5107,27.68,0.7,0.169,1.4795,29.68,0.675,0.202
7,1.1094699437801654,1.2818,43.25,0.695,0.412,1.3295,39.64,0.661,0.366
8,1.0418769249549278,1.2809,47.82,0.766,0.46,1.2654,47.89,0.759,0.453
9,1.013462509558751,1.3947,43.96,0.721,0.407,1.3686,46.04,0.735,0.423
10,0.9224366499827459,1.6104,48.29,0.771,0.445,1.7623,41.61,0.729,0.369
11,0.8292024080569927,2.3452,44.5,0.731,0.379,2.3458,46.64,0.738,0.404
12,0.7630242026769198,3.3801,38.11,0.68,0.299,3.4846,34.82,0.649,0.255
13,0.705921837916741,1.6403,56.46,0.81,0.55,1.5508,54.39,0.812,0.527
14,0.6364098814817575,2.3399,48.79,0.767,0.458,2.6481,46.36,0.747,0.437
15,0.5944378541066097,1.449,55.07,0.8,0.52,1.5178,54.21,0.8,0.517
16,0.5445798736352186,1.1965,64.07,0.869,0.634,1.1485,62.18,0.864,0.617
17,0.519531942330874,1.8657,49.5,0.758,0.485,1.6743,54.36,0.784,0.538
18,0.4774726528387803,1.2088,64.29,0.879,0.649,1.2611,60.96,0.873,0.602
19,0.4427438511298253,1.205,63.79,0.874,0.627,1.2353,62.14,0.856,0.614
20,0.4149634081583757,1.3202,61.21,0.86,0.606,1.3803,57.96,0.826,0.58
21,0.3959188335216962,0.9517,68.57,0.897,0.686,1.1347,63.89,0.879,0.635
22,0.3595112422337899,0.9913,67.82,0.89,0.665,0.8533,69.64,0.898,0.691
23,0.352294735954358,0.8302,72.32,0.906,0.725,0.7555,72.71,0.916,0.727
24,0.32542698016533483,1.4982,60.57,0.874,0.606,1.7261,52.89,0.838,0.518
25,0.2902851430269388,1.2988,57.64,0.836,0.581,1.2591,59.39,0.843,0.594
26,0.28530986033953154,1.0077,69.21,0.909,0.683,1.1181,68.25,0.905,0.673
27,0.2617532968521118,1.3306,66.68,0.893,0.666,1.1276,65.61,0.905,0.655
28,0.24141103464823502,1.1763,66.68,0.891,0.659,1.0074,67.46,0.899,0.671
29,0.21722247520318397,0.9939,70.39,0.903,0.707,0.9053,69.18,0.911,0.696
30,0.22870318591594696,0.8634,73.18,0.915,0.73,0.8484,72.25,0.915,0.723
31,0.19545401747410113,1.017,71.61,0.908,0.718,1.0918,67.14,0.894,0.673
32,0.19135394807045275,0.8437,74.61,0.92,0.747,0.8056,74.21,0.925,0.74
33,0.18507659630133555,1.3463,67.93,0.901,0.679,1.4838,61.61,0.873,0.617
34,0.15842776585083743,0.8187,75.14,0.926,0.751,0.7323,77.11,0.935,0.772
35,0.1425098948753797,0.915,73.61,0.923,0.739,0.851,73.64,0.924,0.737
36,0.13497557210234495,1.3286,68.07,0.904,0.683,1.2119,67.5,0.903,0.679
37,0.13202726835241685,0.9485,73.25,0.918,0.733,0.8955,74.04,0.918,0.739
38,0.11792528491753798,1.04,73.64,0.919,0.738,0.8935,74.07,0.926,0.742
39,0.1146705445761864,0.8658,75.25,0.93,0.753,0.8074,76.86,0.936,0.768
40,0.10541392048964134,0.894,75.64,0.933,0.756,0.9263,75.32,0.928,0.752
41,0.09738019492763739,0.9802,75.0,0.928,0.752,0.8406,76.86,0.935,0.769
42,0.0912959006543343,0.9765,76.29,0.928,0.762,0.8037,77.29,0.937,0.773
43,0.09075658201025083,0.9574,76.39,0.93,0.766,0.8259,76.96,0.937,0.77
44,0.08200183493586687,0.9511,76.11,0.93,0.762,0.816,77.5,0.938,0.775
45,0.0809904691691582,0.9525,76.32,0.933,0.764,0.85,77.0,0.937,0.77
46,0.07262111925161802,0.9672,76.5,0.932,0.766,0.8606,77.04,0.936,0.771
47,0.07833871772656074,0.9864,76.14,0.931,0.762,0.8582,77.43,0.937,0.775
48,0.07398295703415687,0.9986,75.96,0.93,0.76,0.8666,77.18,0.937,0.772
49,0.07553791948235952,0.999,76.14,0.93,0.762,0.8656,77.18,0.937,0.772
