epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3833995525653546,1.3863,25.0,0.493,0.1,1.3863,25.0,0.488,0.1
1,1.3412633088918833,1.403,25.0,0.599,0.1,1.403,25.0,0.629,0.1
2,1.323716060931866,1.3886,25.0,0.663,0.1,1.3887,25.0,0.615,0.1
3,1.2990570875314567,1.3767,27.21,0.671,0.144,1.3705,29.82,0.678,0.185
4,1.2712497381063608,1.3621,29.86,0.628,0.228,1.3682,33.79,0.624,0.255
5,1.2452092684232272,1.5081,28.39,0.495,0.218,1.4561,36.5,0.584,0.288
6,1.2046683054703933,1.4591,33.86,0.6,0.274,1.4546,33.89,0.604,0.263
7,1.1758749081538273,1.4344,34.64,0.593,0.301,1.448,31.18,0.579,0.265
8,1.1280563592910766,1.417,34.64,0.695,0.29,1.4023,38.61,0.707,0.313
9,1.10068503343142,1.3806,38.86,0.684,0.376,1.2669,42.25,0.72,0.419
10,1.0434208090488728,1.2924,44.89,0.734,0.42,1.1947,49.32,0.761,0.479
11,1.020751414849208,1.6693,36.14,0.649,0.334,1.716,32.14,0.611,0.312
12,0.9570749713824346,2.2843,39.32,0.695,0.345,2.3757,40.0,0.667,0.361
13,0.8813743233680725,1.9898,45.82,0.71,0.402,2.046,42.5,0.691,0.36
14,0.8182240596184364,1.5941,52.75,0.783,0.517,1.4966,55.36,0.809,0.546
15,0.7838818045762869,1.6983,39.79,0.719,0.359,1.6761,36.82,0.709,0.352
16,0.744706301505749,1.3427,54.04,0.808,0.517,1.3103,52.25,0.816,0.498
17,0.6682952954218938,1.3388,53.5,0.81,0.521,1.1802,58.61,0.852,0.579
18,0.6540790076439197,2.2393,41.46,0.702,0.368,1.9914,47.39,0.747,0.435
19,0.5934385492251469,0.9946,62.5,0.862,0.619,1.143,57.36,0.82,0.571
20,0.5659938395023346,1.317,52.61,0.794,0.518,1.3156,53.64,0.788,0.533
21,0.5273968682839321,0.9393,68.07,0.899,0.68,0.9532,64.93,0.88,0.655
22,0.5238867062788743,1.0802,65.54,0.881,0.649,1.1668,60.64,0.855,0.598
23,0.5040977358818054,1.4621,52.75,0.805,0.524,1.3613,52.5,0.825,0.506
24,0.4534606754779816,1.1316,62.54,0.884,0.616,1.1147,62.07,0.873,0.616
25,0.44215362805586594,1.2644,56.82,0.836,0.553,1.2762,55.04,0.816,0.546
26,0.4161998803798969,1.0889,62.14,0.862,0.605,1.0144,63.89,0.866,0.628
27,0.3935953607926002,0.9248,67.36,0.894,0.671,0.8727,70.61,0.903,0.707
28,0.36432900589246014,0.8589,71.18,0.906,0.71,1.0314,64.29,0.869,0.641
29,0.35038726054705105,1.0848,66.14,0.901,0.659,1.2646,62.75,0.873,0.631
30,0.3380280600144313,0.8671,69.5,0.892,0.692,0.8664,68.5,0.889,0.681
31,0.32063908576965333,0.9829,69.96,0.909,0.697,1.0673,63.82,0.88,0.645
32,0.3097238205946409,0.8393,70.5,0.909,0.705,0.8408,69.07,0.906,0.691
33,0.29029384370033556,0.8707,71.25,0.912,0.71,0.8452,70.93,0.911,0.707
34,0.2690894779104453,1.0457,66.96,0.91,0.657,1.2115,66.18,0.887,0.66
35,0.2588041424751282,0.7494,74.32,0.929,0.742,0.8073,73.29,0.92,0.73
36,0.2462835541138282,0.8819,69.82,0.915,0.692,0.8531,71.21,0.911,0.708
37,0.24180296934567966,0.9374,69.68,0.912,0.697,1.1335,66.18,0.893,0.658
38,0.21960926835353559,0.7367,74.79,0.932,0.749,0.8431,71.25,0.914,0.713
39,0.21698804302857472,0.7899,73.96,0.93,0.737,0.7464,74.68,0.933,0.743
40,0.20548347372275133,0.7475,75.75,0.933,0.758,0.8512,72.89,0.916,0.729
41,0.19040440859702917,0.7561,74.71,0.931,0.748,0.8277,73.04,0.923,0.731
42,0.18923352521199446,0.7748,75.18,0.937,0.75,0.8404,73.93,0.93,0.738
43,0.17828408617239733,0.7026,76.96,0.94,0.77,0.7649,75.21,0.932,0.753
44,0.1761212143760461,0.7067,77.39,0.942,0.774,0.8072,74.39,0.93,0.743
45,0.16587955539043134,0.6808,77.75,0.945,0.778,0.7781,75.54,0.933,0.756
46,0.16484947961110336,0.6926,77.86,0.945,0.779,0.7868,76.0,0.935,0.76
47,0.1674942520948557,0.7027,77.96,0.943,0.781,0.7848,75.64,0.934,0.757
48,0.15839249136356207,0.7084,77.25,0.944,0.773,0.7822,75.57,0.935,0.756
49,0.1605039915213218,0.7138,77.5,0.944,0.776,0.7857,75.43,0.936,0.755
