epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3833553607647235,1.3863,25.0,0.508,0.1,1.3863,25.0,0.5,0.1
1,1.339881603534405,1.3993,25.0,0.611,0.1,1.3993,25.0,0.585,0.1
2,1.2777273214780367,1.3919,25.0,0.528,0.1,1.3914,25.0,0.551,0.1
3,1.2640253342114962,1.3583,30.43,0.686,0.212,1.3458,30.68,0.69,0.205
4,1.224350459759052,1.3186,36.64,0.701,0.325,1.2783,44.21,0.736,0.419
5,1.156099297450139,1.293,37.14,0.741,0.321,1.2954,35.93,0.721,0.316
6,1.0891099324593176,1.1338,52.68,0.764,0.527,1.2014,47.29,0.731,0.47
7,1.0159931852267339,2.2571,25.46,0.574,0.174,2.2121,28.21,0.592,0.203
8,0.9609546285409194,1.3835,42.96,0.702,0.399,1.4514,39.11,0.686,0.362
9,0.8692674132493826,1.7077,30.43,0.636,0.261,1.8472,33.68,0.617,0.291
10,0.7948039999374976,1.1003,54.46,0.799,0.534,1.1514,52.96,0.779,0.525
11,0.7537305272542514,1.3133,55.46,0.809,0.549,1.2732,55.07,0.817,0.541
12,0.6860245585441589,2.4873,42.0,0.719,0.361,2.6489,37.46,0.696,0.309
13,0.6637142529854407,1.3622,53.82,0.809,0.53,1.5597,50.57,0.782,0.494
14,0.5975783338913551,1.3459,57.07,0.838,0.558,1.6886,50.0,0.782,0.473
15,0.5416715424794417,1.4715,54.46,0.81,0.514,1.3389,56.07,0.821,0.542
16,0.49587396016487706,1.0991,61.96,0.862,0.613,1.0055,63.21,0.871,0.628
17,0.4732182012154506,1.307,64.14,0.864,0.631,1.577,57.79,0.836,0.565
18,0.4423512137853182,1.4954,55.39,0.846,0.548,1.6802,52.29,0.834,0.494
19,0.4111405780682197,1.5084,59.46,0.84,0.586,1.5884,57.71,0.819,0.573
20,0.394137416436122,1.4528,55.79,0.847,0.548,1.6228,53.43,0.827,0.503
21,0.35889614545381987,0.8975,69.61,0.894,0.696,0.9837,64.54,0.871,0.645
22,0.3675150334835052,1.2066,65.46,0.901,0.622,1.4576,59.32,0.857,0.557
23,0.34036571360551393,1.4999,60.82,0.859,0.602,1.3723,61.93,0.855,0.622
24,0.3076381548092915,0.8928,70.75,0.92,0.711,0.9765,66.93,0.902,0.672
25,0.29598072515084195,0.9801,71.11,0.905,0.712,1.2788,62.71,0.846,0.633
26,0.26928337720724255,1.1018,62.71,0.871,0.619,1.0566,63.57,0.869,0.631
27,0.25278661113518935,1.2419,65.04,0.891,0.649,1.2893,63.14,0.875,0.632
28,0.22805970563338354,0.8043,74.0,0.929,0.741,1.0593,69.07,0.897,0.693
29,0.22222410108034427,1.003,68.39,0.903,0.69,1.2723,61.04,0.868,0.615
30,0.2134442986204074,0.7752,73.89,0.926,0.734,0.8548,73.0,0.916,0.726
31,0.19349133188907916,0.6667,76.25,0.94,0.764,0.7418,74.11,0.93,0.742
32,0.17910408091086608,0.9203,71.11,0.926,0.714,0.9911,69.64,0.91,0.697
33,0.1747726179086245,0.9173,72.43,0.926,0.727,0.8849,72.21,0.927,0.721
34,0.1549439305296311,1.0151,72.07,0.923,0.721,1.0573,68.61,0.911,0.687
35,0.15200021656659934,0.8727,73.11,0.929,0.733,0.8613,72.61,0.922,0.727
36,0.1328995964848078,0.8291,75.79,0.938,0.759,0.8394,75.96,0.927,0.76
37,0.1289073531444256,0.8006,77.57,0.944,0.777,0.9182,74.43,0.925,0.745
38,0.11969630872974028,0.7907,77.39,0.943,0.776,0.8312,74.96,0.934,0.75
39,0.11955316353302736,0.7807,76.64,0.939,0.768,0.8476,74.29,0.925,0.743
40,0.10895722777797626,0.7243,77.96,0.949,0.78,0.78,77.43,0.939,0.774
41,0.10043396193247575,0.8061,76.29,0.938,0.764,0.7946,77.32,0.938,0.772
42,0.09445220787937825,0.8625,76.43,0.939,0.765,0.8355,77.61,0.938,0.775
43,0.08914277714032393,0.805,78.0,0.945,0.781,0.7914,77.89,0.942,0.779
44,0.08436690093233035,0.8129,77.61,0.944,0.777,0.7867,78.46,0.942,0.784
45,0.08927761173019043,0.8341,77.54,0.944,0.777,0.8356,77.25,0.939,0.773
46,0.08297065493579094,0.8232,77.14,0.944,0.772,0.8002,77.86,0.942,0.779
47,0.0806504831291162,0.8203,76.79,0.943,0.769,0.7907,77.57,0.943,0.775
48,0.07549979795630161,0.8286,77.07,0.943,0.772,0.7936,77.79,0.943,0.777
49,0.07972977453699479,0.8326,77.0,0.943,0.771,0.7968,77.79,0.943,0.777
