epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3837024395282451,1.3863,25.0,0.513,0.1,1.3863,25.0,0.519,0.1
1,1.3687719051654523,1.3962,25.0,0.539,0.1,1.3962,25.0,0.502,0.1
2,1.323223143357497,1.3935,25.0,0.6,0.1,1.3935,25.0,0.601,0.1
3,1.2709079779111423,1.4084,28.11,0.676,0.161,1.4136,29.32,0.656,0.177
4,1.2019514707418588,1.4272,27.68,0.601,0.234,1.3872,32.82,0.639,0.31
5,1.1224560444171612,1.6581,35.36,0.64,0.282,1.648,35.14,0.636,0.285
6,1.0414533440883342,1.5818,40.32,0.715,0.348,1.562,41.46,0.735,0.349
7,0.9723146713696993,2.02,35.89,0.632,0.282,2.0079,31.0,0.612,0.233
8,0.9216166899754451,1.4371,43.43,0.768,0.403,1.3948,43.46,0.78,0.412
9,0.8451668473390432,1.4314,49.68,0.774,0.486,1.4003,46.46,0.755,0.464
10,0.7639706978431114,1.6464,49.32,0.758,0.485,1.8505,43.71,0.72,0.428
11,0.7001837537838862,1.2629,52.39,0.799,0.525,1.2863,51.39,0.792,0.513
12,0.6393194932204026,1.7599,43.89,0.714,0.413,1.8529,39.29,0.693,0.359
13,0.5967378964790931,1.6958,51.93,0.791,0.51,1.485,56.86,0.82,0.556
14,0.5507722634535569,1.3266,57.5,0.842,0.563,1.5941,56.07,0.808,0.551
15,0.48965165890180146,1.2201,57.82,0.838,0.574,1.44,52.07,0.807,0.519
16,0.46432095536818874,1.3179,62.71,0.848,0.626,1.4894,58.14,0.827,0.574
17,0.43406020173659693,1.9184,50.75,0.789,0.506,2.1251,49.96,0.773,0.495
18,0.3913453480372062,1.3808,57.39,0.842,0.552,1.3946,57.18,0.843,0.547
19,0.3571786252351908,1.0647,62.57,0.871,0.626,1.204,58.79,0.839,0.588
20,0.3386185116492785,1.2493,62.29,0.857,0.62,1.4371,58.07,0.818,0.583
21,0.313183524287664,1.4287,58.89,0.826,0.586,1.6104,54.21,0.798,0.522
22,0.2847823853676136,1.0878,65.54,0.88,0.652,1.408,58.79,0.827,0.578
23,0.26757760162536914,1.2483,63.14,0.871,0.628,1.2936,63.96,0.871,0.638
24,0.23790435733703466,1.2718,64.61,0.875,0.644,1.6005,61.57,0.842,0.61
25,0.23941923402822934,1.0218,68.96,0.898,0.69,1.4792,58.43,0.835,0.582
26,0.18671849083441955,1.3367,61.86,0.849,0.619,1.3927,61.71,0.848,0.613
27,0.19016269663205512,1.2201,65.68,0.89,0.659,1.4195,65.21,0.878,0.654
28,0.16616993982058306,1.0775,68.64,0.894,0.685,1.3746,62.43,0.861,0.62
29,0.15075175263560736,1.3011,66.75,0.884,0.664,1.4637,64.93,0.874,0.636
30,0.14375768636281674,0.9881,71.11,0.912,0.71,1.241,68.61,0.885,0.685
31,0.11277310664837177,1.0542,71.39,0.906,0.714,1.0991,70.54,0.903,0.702
32,0.11008339799367464,1.079,71.21,0.907,0.711,1.1588,69.57,0.896,0.692
33,0.10980002604998075,1.1043,72.25,0.911,0.722,1.4,66.32,0.883,0.661
34,0.09403615639759944,0.9788,75.04,0.929,0.752,1.2133,71.96,0.905,0.722
35,0.0773913486645772,0.9486,74.32,0.921,0.743,1.1087,71.18,0.902,0.71
36,0.07060461660417226,1.2414,69.32,0.905,0.696,1.3442,69.46,0.893,0.693
37,0.06815150043425652,1.2351,73.21,0.916,0.734,1.3433,71.18,0.907,0.71
38,0.058239949695192854,1.0992,74.39,0.922,0.743,1.315,71.61,0.908,0.712
39,0.05650108909377685,1.0703,75.46,0.93,0.754,1.2356,72.21,0.918,0.72
40,0.04620498539163516,1.0947,74.57,0.925,0.747,1.2732,71.11,0.909,0.71
41,0.04182578220676917,1.0534,74.61,0.927,0.746,1.302,71.57,0.908,0.714
42,0.03627591309352563,1.1327,73.71,0.923,0.738,1.3227,71.82,0.91,0.718
43,0.032238109710697946,1.1692,74.39,0.923,0.744,1.3456,71.68,0.91,0.716
44,0.033335588027078374,1.1699,74.29,0.923,0.743,1.3312,72.57,0.911,0.725
45,0.03243157704575704,1.1272,74.86,0.926,0.749,1.3282,71.5,0.912,0.714
46,0.027588591667322013,1.1549,75.25,0.926,0.753,1.3531,72.07,0.912,0.72
47,0.02847397787353167,1.1844,75.04,0.924,0.751,1.366,71.71,0.912,0.717
48,0.02910634892491194,1.1913,74.96,0.925,0.75,1.377,71.57,0.913,0.715
49,0.027806611029574504,1.199,74.86,0.925,0.749,1.3889,71.68,0.913,0.716
