epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3858697744516226,1.3863,25.0,0.491,0.1,1.3863,25.11,0.506,0.1
1,1.355694814828726,1.3951,25.0,0.586,0.1,1.3948,25.11,0.607,0.1
2,1.3115303443028377,1.3923,25.0,0.635,0.1,1.3919,25.11,0.648,0.1
3,1.2709299142544086,1.4137,25.0,0.656,0.1,1.4141,25.11,0.656,0.1
4,1.2063828560022207,1.418,28.75,0.6,0.199,1.4142,30.63,0.611,0.231
5,1.0956612201837392,1.4458,30.29,0.715,0.218,1.3704,30.35,0.727,0.233
6,0.9778548378210802,2.1908,28.75,0.554,0.175,2.0716,28.6,0.609,0.17
7,0.902171463232774,2.6999,33.96,0.66,0.242,2.6115,34.63,0.681,0.254
8,0.8181099882492653,2.1076,37.5,0.707,0.304,2.0522,33.52,0.712,0.247
9,0.7797083093569829,1.9341,45.07,0.718,0.394,1.7895,45.9,0.752,0.404
10,0.7050765679432796,1.9291,49.54,0.772,0.466,1.8065,50.43,0.779,0.48
11,0.6327727968876179,2.4838,41.64,0.757,0.345,2.2857,43.65,0.782,0.367
12,0.5927620447598971,2.9208,40.79,0.731,0.355,2.8998,36.63,0.723,0.324
13,0.5568062190826123,2.5126,40.11,0.714,0.329,2.4092,41.26,0.73,0.351
14,0.49951525513942424,2.0324,46.75,0.79,0.433,1.575,50.86,0.849,0.495
15,0.46186878497783956,2.408,48.96,0.77,0.454,2.3237,47.57,0.777,0.429
16,0.41832216015228857,1.271,59.04,0.83,0.578,1.1015,60.59,0.859,0.595
17,0.39175318021040695,2.037,50.46,0.791,0.489,1.6284,56.06,0.841,0.547
18,0.387271880874267,1.2235,60.93,0.868,0.598,1.2913,60.77,0.869,0.594
19,0.3335804228599255,1.7774,52.89,0.808,0.526,1.6369,56.81,0.832,0.564
20,0.3145528985903813,1.2652,63.11,0.873,0.626,1.2016,62.02,0.872,0.62
21,0.28013606529969437,1.3754,60.39,0.847,0.61,1.6704,54.46,0.808,0.551
22,0.29137290188899406,1.2893,63.89,0.879,0.604,0.996,68.97,0.911,0.679
23,0.25721227962237136,0.9171,72.14,0.906,0.723,0.914,69.08,0.9,0.695
24,0.22227841913700103,1.3537,60.0,0.85,0.597,1.0434,67.76,0.903,0.671
25,0.21930959683198195,1.2391,65.32,0.868,0.644,1.002,67.8,0.901,0.674
26,0.18630027438585575,1.3061,65.32,0.878,0.657,1.1995,66.76,0.89,0.669
27,0.18250294419435353,1.1978,64.64,0.89,0.642,1.088,68.01,0.912,0.666
28,0.1635096766627752,1.2806,67.93,0.892,0.678,1.1117,69.01,0.904,0.686
29,0.1457993765289967,1.097,72.39,0.907,0.725,0.9113,74.64,0.93,0.746
30,0.14045362684589166,1.1925,67.68,0.886,0.681,1.0813,69.72,0.902,0.701
31,0.14054504197377424,1.0433,71.29,0.914,0.714,0.8691,74.61,0.931,0.747
32,0.12160242354640594,1.2534,67.54,0.885,0.674,1.039,70.61,0.917,0.706
33,0.1068126166669222,1.0419,71.32,0.912,0.712,0.9004,73.86,0.925,0.738
34,0.10739246629751646,1.3165,67.29,0.893,0.675,1.0365,71.75,0.926,0.715
35,0.08600507458815208,0.9949,72.61,0.917,0.727,0.8638,76.03,0.933,0.76
36,0.07769744754410707,1.0579,71.96,0.915,0.718,0.7992,77.64,0.944,0.775
37,0.07897683296066065,1.1278,72.54,0.915,0.728,0.9665,74.5,0.926,0.747
38,0.06250844613577311,1.1052,73.36,0.917,0.734,0.8657,77.75,0.942,0.777
39,0.05777999148345911,1.1615,72.32,0.915,0.722,0.9073,76.43,0.939,0.763
40,0.05355442769538898,1.2269,71.86,0.911,0.715,1.0161,75.53,0.936,0.752
41,0.04650243646823443,1.1759,72.5,0.917,0.724,1.0325,75.43,0.932,0.753
42,0.045149621811623755,1.0946,74.43,0.924,0.744,0.9227,77.57,0.942,0.775
43,0.044316539053733534,1.1215,74.11,0.925,0.743,0.9207,77.85,0.943,0.778
44,0.04199219871885501,1.0761,74.32,0.927,0.744,0.9319,77.96,0.943,0.78
45,0.036583157958319554,1.0689,74.71,0.928,0.748,0.9514,77.71,0.941,0.777
46,0.040240346325131564,1.1127,73.86,0.926,0.739,0.9636,78.0,0.942,0.78
47,0.03344787594217521,1.1156,73.68,0.926,0.737,0.9771,77.75,0.942,0.777
48,0.0343598514652023,1.1183,73.93,0.926,0.739,0.9833,78.0,0.942,0.78
49,0.03433585715695069,1.1275,73.93,0.926,0.74,0.9889,77.92,0.942,0.779
