epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3833255474384014,1.3863,25.0,0.529,0.1,1.3863,25.0,0.53,0.1
1,1.3606031124408429,1.3971,25.0,0.417,0.1,1.3971,25.0,0.396,0.1
2,1.3064297877825224,1.3989,25.0,0.478,0.1,1.3991,25.0,0.449,0.1
3,1.2888028860092162,1.3659,26.54,0.661,0.159,1.3712,26.54,0.635,0.146
4,1.2195448655348557,1.4494,31.07,0.599,0.23,1.4219,29.89,0.606,0.217
5,1.150123515495887,1.3163,40.79,0.689,0.375,1.353,36.46,0.666,0.331
6,1.0871798350260808,1.1918,46.39,0.736,0.458,1.1103,50.0,0.78,0.487
7,1.016882113310007,1.4076,44.29,0.691,0.432,1.4776,40.11,0.672,0.386
8,0.9259306430816651,1.5981,37.54,0.642,0.337,1.4305,44.18,0.707,0.391
9,0.8825363580997173,1.3237,50.32,0.778,0.476,1.3365,51.57,0.766,0.495
10,0.8125734310883742,1.5187,51.11,0.777,0.496,1.54,52.07,0.784,0.478
11,0.7473662092135502,1.1019,57.14,0.844,0.571,1.4139,50.5,0.781,0.504
12,0.6945834104831402,1.542,54.07,0.796,0.535,1.735,49.64,0.769,0.495
13,0.6526525084788982,1.1745,52.04,0.799,0.511,1.2617,48.43,0.786,0.483
14,0.5945915460586548,1.0938,60.64,0.84,0.591,1.1259,58.0,0.825,0.572
15,0.5667674468113826,1.1617,60.46,0.876,0.605,1.1698,59.21,0.881,0.592
16,0.5190767003939702,1.2565,61.82,0.853,0.583,1.3302,57.93,0.846,0.534
17,0.49540860102726864,0.9615,65.0,0.867,0.65,1.0141,60.93,0.852,0.608
18,0.48022006658407357,1.0181,60.07,0.849,0.596,1.2265,55.46,0.807,0.543
19,0.4261236250400543,0.848,66.64,0.888,0.664,1.0375,61.54,0.854,0.611
20,0.40742853902853454,1.0747,62.11,0.873,0.607,1.2127,56.93,0.846,0.555
21,0.36335045603605415,1.7568,58.39,0.812,0.588,2.1345,46.82,0.742,0.478
22,0.376273473409506,1.0509,64.75,0.895,0.621,1.1282,62.54,0.884,0.614
23,0.3366049477687249,0.7543,73.75,0.918,0.737,0.7875,70.32,0.908,0.704
24,0.3084998215620334,0.9713,69.11,0.898,0.695,0.9761,68.54,0.89,0.687
25,0.30770096136973457,1.2145,61.29,0.869,0.6,1.1888,61.32,0.861,0.61
26,0.2896707083170231,1.0373,68.29,0.899,0.686,1.039,64.79,0.899,0.648
27,0.25999306577902576,0.8467,73.64,0.932,0.732,0.823,72.86,0.926,0.726
28,0.24870709639329178,0.9168,74.54,0.916,0.747,0.8359,71.04,0.917,0.714
29,0.21722464699011582,0.7565,75.0,0.931,0.75,0.8556,71.5,0.925,0.715
30,0.2095437181683687,0.7142,77.18,0.939,0.774,0.865,71.75,0.92,0.717
31,0.18802001888935382,0.65,78.96,0.943,0.791,0.6579,76.61,0.939,0.766
32,0.17600022818033512,0.818,74.0,0.927,0.74,1.021,69.54,0.903,0.696
33,0.17916824152836433,1.3422,67.36,0.893,0.678,1.2625,67.0,0.887,0.675
34,0.17917486142653685,0.9965,72.68,0.916,0.729,0.9476,71.07,0.919,0.714
35,0.15098165502915015,0.7596,76.29,0.937,0.763,0.7009,76.96,0.939,0.77
36,0.1354235699543586,0.8431,74.57,0.928,0.745,0.7958,76.71,0.935,0.767
37,0.13441958347192176,0.8606,74.46,0.927,0.747,0.7044,78.07,0.943,0.781
38,0.12419457355370889,0.8032,77.36,0.936,0.776,0.7979,74.18,0.936,0.743
39,0.12240451413851518,0.8151,74.71,0.933,0.745,0.7518,77.93,0.942,0.779
40,0.10516371050706276,0.7228,77.54,0.945,0.774,0.6799,80.21,0.953,0.801
41,0.10224096012803224,0.6949,78.86,0.95,0.789,0.6997,79.68,0.95,0.797
42,0.09127579852938653,0.7588,78.64,0.947,0.787,0.7199,79.18,0.95,0.792
43,0.08647385359956668,0.7011,80.21,0.952,0.803,0.6946,80.14,0.955,0.802
44,0.08706576021818015,0.7772,78.57,0.946,0.787,0.7395,78.54,0.951,0.787
45,0.07979669960645529,0.7795,78.43,0.945,0.785,0.7195,79.54,0.951,0.796
46,0.08126155307086615,0.7368,79.46,0.949,0.796,0.6931,80.5,0.955,0.805
47,0.08191015304854284,0.7477,79.29,0.949,0.794,0.6989,80.07,0.955,0.801
48,0.07367878894393261,0.7496,79.32,0.949,0.794,0.7016,80.36,0.955,0.804
49,0.08194064062375289,0.7518,79.14,0.95,0.793,0.7051,80.43,0.955,0.805
