epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3837867149939904,1.3863,25.0,0.518,0.1,1.3863,25.0,0.529,0.1
1,1.3632548845731296,1.396,25.0,0.499,0.1,1.396,25.0,0.465,0.1
2,1.3158257429416362,1.396,25.0,0.647,0.1,1.3961,25.0,0.63,0.1
3,1.2879931156451885,1.3927,28.32,0.634,0.184,1.3776,27.46,0.639,0.183
4,1.2212646814493033,1.3466,37.93,0.742,0.322,1.3113,35.68,0.773,0.29
5,1.1606501285846418,1.3389,33.79,0.693,0.303,1.3487,33.64,0.691,0.289
6,1.0809930966450618,1.7472,31.82,0.647,0.235,1.8043,30.61,0.634,0.21
7,0.9851541766753563,2.0448,29.93,0.635,0.193,2.1316,29.43,0.619,0.187
8,0.9010386347770691,2.5475,40.71,0.719,0.34,2.5482,42.29,0.724,0.364
9,0.8649188876152039,3.0092,27.82,0.61,0.166,3.1163,25.79,0.556,0.132
10,0.7736635327339172,1.3754,52.43,0.806,0.475,1.3143,52.86,0.809,0.475
11,0.7406992132847126,1.7558,48.11,0.794,0.445,1.7551,47.75,0.775,0.443
12,0.6802473187446594,1.3652,58.64,0.827,0.547,1.273,59.43,0.844,0.567
13,0.626057584469135,1.7082,54.14,0.796,0.504,1.6876,52.54,0.778,0.496
14,0.5748994194544279,1.4704,58.39,0.837,0.571,1.2393,59.07,0.852,0.583
15,0.5352994258587177,1.1879,59.96,0.85,0.56,1.1233,60.25,0.847,0.579
16,0.4907529280735896,0.993,63.46,0.865,0.634,1.1008,59.61,0.843,0.599
17,0.48100509689404414,1.1147,62.68,0.856,0.625,1.0653,61.86,0.871,0.612
18,0.44617755917402413,1.0413,67.43,0.876,0.671,1.2045,60.04,0.842,0.597
19,0.4006705274948707,1.3607,55.29,0.826,0.532,1.1896,57.07,0.852,0.558
20,0.36879898538956274,1.2286,58.46,0.856,0.588,1.14,60.86,0.872,0.607
21,0.3587915104169112,1.0,68.07,0.899,0.682,0.9863,69.57,0.906,0.697
22,0.32701248687047224,1.3604,61.07,0.873,0.583,1.1528,64.64,0.894,0.622
23,0.31346070560125205,0.9695,68.96,0.89,0.693,0.8118,70.79,0.911,0.709
24,0.287655329475036,0.7667,73.29,0.927,0.734,0.8649,70.61,0.916,0.705
25,0.2701345200722034,0.8776,69.68,0.905,0.69,0.7868,72.93,0.92,0.727
26,0.26216775522782254,1.0418,67.93,0.89,0.681,0.9749,68.54,0.899,0.687
27,0.22545952785473602,0.8532,72.75,0.919,0.729,0.8212,73.39,0.921,0.735
28,0.21764944482308168,1.2265,69.14,0.904,0.685,1.2655,66.39,0.892,0.66
29,0.2124922942656737,0.9636,71.25,0.919,0.717,0.953,69.93,0.919,0.703
30,0.19040018423245503,1.1052,68.57,0.898,0.684,1.1755,61.32,0.871,0.613
31,0.16522557322795575,0.8674,70.29,0.921,0.705,0.9426,66.57,0.91,0.669
32,0.16489575791817446,1.0563,71.68,0.914,0.719,1.1421,66.96,0.885,0.675
33,0.15295893320670495,0.8301,76.0,0.937,0.761,0.8185,74.43,0.927,0.746
34,0.13954892846254202,0.9014,74.32,0.933,0.745,1.0539,70.04,0.917,0.702
35,0.12402009557072934,0.731,78.36,0.946,0.785,0.8895,73.29,0.922,0.735
36,0.11123196488389601,0.8023,76.14,0.936,0.76,0.7464,77.86,0.941,0.777
37,0.10599774941802025,0.886,75.21,0.932,0.751,0.877,76.14,0.936,0.76
38,0.10023924553623566,1.0275,73.25,0.923,0.737,0.9992,71.54,0.924,0.715
39,0.0951113042063438,0.8226,77.93,0.938,0.781,0.8251,77.21,0.935,0.772
40,0.0888906980649783,0.7933,78.86,0.942,0.791,0.791,78.39,0.939,0.785
41,0.07896139237743158,0.8394,77.25,0.939,0.775,0.7468,78.0,0.945,0.781
42,0.07006476232065605,0.881,77.14,0.937,0.774,0.8368,78.0,0.941,0.781
43,0.07190327108479463,0.8074,78.57,0.944,0.787,0.7455,79.07,0.948,0.791
44,0.06436809473312818,0.8312,79.43,0.943,0.796,0.7946,79.07,0.945,0.791
45,0.06360786855220794,0.8081,79.79,0.946,0.8,0.7646,79.39,0.948,0.794
46,0.058983199670910834,0.826,79.89,0.947,0.8,0.7923,79.64,0.947,0.797
47,0.05963951985423382,0.8343,79.79,0.946,0.8,0.7936,79.96,0.948,0.8
48,0.05630539869173215,0.8294,79.93,0.946,0.801,0.7907,80.25,0.949,0.803
49,0.05892309609514016,0.83,79.82,0.946,0.8,0.7914,79.93,0.949,0.799
