epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,0.970421509289827,1.1342,65.89,0.913,0.648,3.918,30.18,0.665,0.315
1,0.9085444163357486,0.6183,77.96,0.967,0.77,2.7155,28.86,0.75,0.31
2,0.6705533580113483,0.5329,81.63,0.98,0.815,3.2868,38.24,0.791,0.317
3,0.40811893629664586,0.2684,90.99,0.993,0.909,2.1142,44.95,0.88,0.386
4,0.25783431088037817,0.1884,94.22,0.996,0.942,1.0531,69.51,0.926,0.619
5,0.19373817575634808,0.1583,95.15,0.998,0.951,1.4652,66.18,0.93,0.627
6,0.16537482590551444,0.124,95.96,0.999,0.959,1.2806,67.36,0.932,0.659
7,0.14612916584283542,0.1215,95.69,0.998,0.957,1.2099,72.04,0.93,0.692
8,0.12844995335145024,0.1327,95.8,0.999,0.957,2.0504,52.06,0.914,0.492
9,0.11621345380007365,0.0973,96.81,0.999,0.968,1.7373,69.73,0.924,0.603
10,0.10883618972688165,0.0756,97.44,0.999,0.974,0.9583,77.66,0.953,0.679
11,0.10162486635335458,0.1363,95.54,0.999,0.95,0.6496,81.71,0.972,0.761
12,0.09823400968198387,0.0791,97.6,0.999,0.975,1.2562,71.91,0.944,0.666
13,0.09307199049954666,0.1009,96.71,0.999,0.967,1.985,68.7,0.896,0.596
14,0.0887765667124194,0.0603,97.99,1.0,0.98,0.9778,75.21,0.958,0.711
15,0.08501668618391117,0.0862,97.29,0.999,0.973,0.8832,81.49,0.962,0.785
16,0.07889134466220829,0.1283,95.69,0.999,0.955,1.9721,69.73,0.896,0.61
17,0.07593631187760969,0.0634,98.06,1.0,0.98,1.3251,73.08,0.935,0.638
18,0.07121432967163542,0.0606,98.06,1.0,0.98,0.833,81.75,0.973,0.762
19,0.07052836972071813,0.0535,98.29,1.0,0.983,1.0141,77.61,0.956,0.711
20,0.0669285962441569,0.0708,97.79,1.0,0.977,1.2141,79.6,0.935,0.725
21,0.06286610574144402,0.0779,97.53,0.999,0.975,1.3788,68.14,0.934,0.649
22,0.06101161211989419,0.0469,98.42,1.0,0.984,1.0174,82.11,0.94,0.756
23,0.05663035237847904,0.0629,98.05,1.0,0.98,1.1423,80.26,0.943,0.741
24,0.05321219258884963,0.0516,98.33,1.0,0.983,1.5593,72.24,0.926,0.632
25,0.05181136911761643,0.0506,98.4,1.0,0.984,1.5699,72.68,0.908,0.648
26,0.04908514936457932,0.0591,98.13,1.0,0.981,1.6863,73.74,0.915,0.654
27,0.04611563455900945,0.0591,98.49,0.999,0.984,1.4989,75.29,0.935,0.645
28,0.045834036605719705,0.0411,98.68,1.0,0.987,1.4626,77.85,0.907,0.688
29,0.04211047468506681,0.047,98.41,1.0,0.984,1.1959,81.26,0.943,0.754
30,0.038781917540483365,0.0435,98.65,1.0,0.986,1.2067,77.88,0.943,0.734
31,0.03793618342869224,0.0323,98.93,1.0,0.989,1.3413,79.39,0.912,0.728
32,0.03459610381100233,0.0349,98.9,1.0,0.989,1.0111,79.55,0.953,0.715
33,0.02969135130057946,0.0312,99.06,1.0,0.99,1.1228,77.47,0.947,0.71
34,0.028724793196191818,0.0324,98.94,1.0,0.989,1.1982,78.76,0.934,0.736
35,0.025247108630208452,0.027,99.19,1.0,0.992,1.8165,75.1,0.91,0.651
36,0.02388475896576987,0.0298,99.14,1.0,0.991,1.5816,76.11,0.919,0.699
37,0.02101426956654396,0.0272,99.16,1.0,0.991,1.4098,77.25,0.916,0.724
38,0.020038775764205444,0.028,99.15,1.0,0.992,1.5129,76.44,0.913,0.682
39,0.017509452030596766,0.0209,99.33,1.0,0.993,1.2258,78.81,0.933,0.727
40,0.015569457672469611,0.0191,99.44,1.0,0.994,1.1862,80.25,0.923,0.747
41,0.01419727582364313,0.0177,99.42,1.0,0.994,1.3735,78.05,0.917,0.726
42,0.013563868507916462,0.0178,99.49,1.0,0.995,1.458,77.39,0.916,0.711
43,0.012424392899411553,0.0176,99.49,1.0,0.995,1.5019,74.92,0.912,0.694
44,0.011745097748200846,0.0169,99.49,1.0,0.995,1.5684,75.56,0.91,0.695
45,0.01076371938417462,0.0164,99.5,1.0,0.995,1.5636,75.27,0.91,0.688
46,0.01011478971843491,0.0163,99.49,1.0,0.995,1.5259,75.05,0.911,0.689
47,0.009734774494083017,0.0156,99.52,1.0,0.995,1.4961,76.22,0.913,0.7
48,0.009577567370334727,0.0154,99.52,1.0,0.995,1.4732,76.35,0.911,0.706
49,0.009826729499724924,0.0156,99.54,1.0,0.995,1.5015,76.27,0.912,0.7
