epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.1680512809625236,1.1719,53.82,0.906,0.5,2.8946,17.91,0.701,0.197
1,1.0934754423129516,2.4512,44.64,0.835,0.416,4.061,18.59,0.741,0.221
2,0.6889661651465201,0.5298,81.17,0.98,0.801,1.7854,54.51,0.937,0.553
3,0.5364835369116944,0.3526,87.26,0.989,0.869,0.6738,74.37,0.977,0.701
4,0.33880659553312487,0.353,87.79,0.991,0.879,0.8773,69.07,0.96,0.664
5,0.24510948719143014,0.1807,93.87,0.997,0.938,0.4925,84.68,0.982,0.793
6,0.20137280088225146,0.1639,94.6,0.998,0.946,0.5601,83.53,0.982,0.792
7,0.17551603206970787,0.1382,95.53,0.998,0.956,0.4274,87.67,0.981,0.843
8,0.16096399623006047,0.1577,95.3,0.998,0.953,0.613,80.56,0.975,0.778
9,0.14253330166621875,0.1004,96.8,0.999,0.968,0.4376,86.94,0.984,0.827
10,0.1315904124356192,0.1217,96.19,0.999,0.961,0.4911,86.52,0.98,0.837
11,0.1185118693083952,0.2027,93.23,0.997,0.933,0.7022,79.17,0.978,0.759
12,0.11543106031019948,0.0904,97.09,0.999,0.97,0.3694,87.73,0.988,0.848
13,0.11273049338850924,0.0908,97.2,0.999,0.972,0.4476,86.34,0.985,0.837
14,0.10553782479503729,0.0868,97.25,0.999,0.972,0.5105,85.92,0.981,0.824
15,0.10209804646817694,0.0841,97.24,0.999,0.972,0.3972,91.69,0.984,0.889
16,0.09546419355591032,0.0894,97.07,0.999,0.971,0.531,84.89,0.981,0.797
17,0.09161967213355726,0.1272,95.73,0.999,0.956,0.5817,81.89,0.986,0.787
18,0.08675263690224792,0.0668,97.84,0.999,0.978,0.3273,89.63,0.992,0.859
19,0.08618510531688836,0.0905,97.15,0.999,0.971,0.5582,86.64,0.981,0.82
20,0.08380610771697536,0.0669,97.85,1.0,0.978,0.3904,90.26,0.986,0.884
21,0.07771181677197737,0.0747,97.78,0.999,0.977,0.5486,85.92,0.98,0.831
22,0.07167677147193782,0.0773,97.43,0.999,0.974,0.3222,89.88,0.989,0.873
23,0.06780453910049732,0.0519,98.41,1.0,0.984,0.3473,91.06,0.989,0.883
24,0.06795163237653326,0.0643,97.98,0.999,0.979,0.3662,90.18,0.985,0.866
25,0.06271881178875978,0.0574,98.15,1.0,0.981,0.3142,90.15,0.991,0.865
26,0.06228204846789386,0.0598,98.14,1.0,0.981,0.4842,86.97,0.987,0.828
27,0.05821906605328176,0.0614,98.12,1.0,0.981,0.3888,90.3,0.987,0.867
28,0.055849201151079705,0.0449,98.56,1.0,0.986,0.586,83.53,0.981,0.791
29,0.05206114764235193,0.0724,97.66,0.999,0.976,0.6305,85.33,0.983,0.811
30,0.04905313642288301,0.0412,98.69,1.0,0.987,0.4672,87.48,0.987,0.838
31,0.04749283227755765,0.0475,98.67,1.0,0.987,0.4692,89.48,0.981,0.867
32,0.04411942196015175,0.0357,98.85,1.0,0.988,0.4382,89.69,0.983,0.864
33,0.03900159183909656,0.041,98.82,1.0,0.988,0.4126,89.85,0.989,0.867
34,0.037720688987576724,0.0333,98.95,1.0,0.989,0.345,90.79,0.988,0.874
35,0.03393957427933171,0.0388,98.78,1.0,0.988,0.5327,88.27,0.983,0.848
36,0.03153613996508408,0.0365,98.93,1.0,0.989,0.5651,87.45,0.983,0.834
37,0.028144310223519483,0.0298,99.14,1.0,0.991,0.4981,88.63,0.982,0.851
38,0.02651138179585017,0.0334,98.97,1.0,0.99,0.4558,87.42,0.986,0.844
39,0.024182268777214605,0.0283,99.15,1.0,0.991,0.4948,87.57,0.986,0.846
40,0.02262347359310395,0.0268,99.12,1.0,0.991,0.5161,88.57,0.985,0.851
41,0.021093451281121556,0.0251,99.26,1.0,0.992,0.4409,88.74,0.987,0.853
42,0.01935759718666741,0.0247,99.25,1.0,0.992,0.5234,88.32,0.984,0.843
43,0.01857534081484842,0.0241,99.22,1.0,0.992,0.4979,88.19,0.983,0.846
44,0.017069725458273215,0.0228,99.31,1.0,0.993,0.4982,87.81,0.985,0.842
45,0.01640027503092443,0.0222,99.31,1.0,0.993,0.5545,86.36,0.984,0.829
46,0.015465003645254506,0.0226,99.3,1.0,0.993,0.5493,86.7,0.984,0.833
47,0.014779994040594092,0.0219,99.33,1.0,0.993,0.5282,87.62,0.984,0.841
48,0.014806696714492895,0.0213,99.33,1.0,0.993,0.5243,87.68,0.984,0.843
49,0.013308120337331595,0.0212,99.33,1.0,0.993,0.5366,87.38,0.984,0.839
