epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3261201134932938,0.9916,62.77,0.927,0.583,1.6999,42.16,0.824,0.364
1,1.178920832158844,0.8106,69.8,0.95,0.692,1.2065,56.21,0.89,0.506
2,0.7098374099180262,0.5373,81.33,0.978,0.807,0.6817,74.26,0.964,0.709
3,1.0741335251852604,0.5175,81.06,0.977,0.806,0.6831,74.59,0.961,0.724
4,0.4756020021000643,0.4414,84.56,0.986,0.846,0.5458,79.95,0.978,0.771
5,0.3555791493118023,0.4237,85.51,0.991,0.846,0.8945,73.72,0.969,0.67
6,0.2924638498694666,0.2253,92.57,0.996,0.923,0.503,81.87,0.984,0.78
7,0.26345797697596224,0.2125,92.88,0.996,0.93,0.4633,84.9,0.977,0.825
8,0.2328328761842943,0.2169,92.69,0.996,0.927,0.5449,79.98,0.975,0.795
9,0.21491270312058028,0.1937,93.63,0.996,0.934,0.5778,80.12,0.973,0.787
10,0.19944628973000794,0.1917,93.83,0.997,0.938,0.5938,80.7,0.979,0.769
11,0.18120441457597158,0.1876,93.7,0.997,0.937,0.508,83.2,0.975,0.808
12,0.17544210799652615,0.1585,94.68,0.998,0.947,0.4054,85.58,0.983,0.83
13,0.16810269935530572,0.1402,95.5,0.998,0.954,0.4144,85.52,0.984,0.816
14,0.15974895175426237,0.1603,94.71,0.998,0.947,0.5959,82.38,0.977,0.779
15,0.15473967098954758,0.1219,95.9,0.998,0.958,0.4218,86.18,0.985,0.834
16,0.14402158498283354,0.1,96.78,0.999,0.967,0.2817,89.78,0.99,0.869
17,0.14048912271349875,0.1647,94.41,0.998,0.943,0.4729,82.65,0.982,0.781
18,0.1327092920440019,0.1217,96.06,0.999,0.96,0.3059,88.46,0.989,0.855
19,0.1287222728333486,0.1425,95.17,0.998,0.95,0.4426,85.22,0.985,0.816
20,0.1265854466920151,0.1301,95.65,0.998,0.955,0.499,84.38,0.98,0.801
21,0.11954072547081765,0.103,96.56,0.999,0.966,0.4218,87.84,0.978,0.852
22,0.11519363477465606,0.1513,94.94,0.999,0.949,0.3622,88.43,0.988,0.851
23,0.11020407181460157,0.0975,96.85,0.999,0.968,0.4296,87.84,0.984,0.845
24,0.10367495239809102,0.1116,96.19,0.999,0.962,0.3916,87.81,0.985,0.851
25,0.09831878913092464,0.1034,96.44,0.999,0.964,0.2881,90.32,0.99,0.88
26,0.09637316788369824,0.0932,96.98,0.999,0.969,0.4939,85.44,0.984,0.814
27,0.09305679067755686,0.0778,97.43,0.999,0.974,0.4267,86.47,0.986,0.831
28,0.0863928689177425,0.0715,97.64,0.999,0.976,0.3482,88.93,0.99,0.867
29,0.08168201431244826,0.0768,97.47,0.999,0.975,0.3708,89.93,0.985,0.872
30,0.0766630588486577,0.0675,97.83,0.999,0.978,0.3828,88.08,0.986,0.851
31,0.075377621656237,0.0622,98.03,1.0,0.98,0.3382,90.64,0.986,0.877
32,0.07090164537584963,0.0731,97.71,0.999,0.976,0.5704,84.15,0.981,0.81
33,0.06401183778139692,0.0616,98.12,1.0,0.981,0.3689,87.79,0.989,0.855
34,0.06191093584449167,0.0581,98.12,1.0,0.981,0.2788,90.59,0.993,0.879
35,0.05601482343689729,0.0538,98.32,1.0,0.983,0.3777,88.47,0.99,0.857
36,0.0538809906247349,0.0518,98.39,1.0,0.984,0.4509,87.1,0.985,0.838
37,0.049399269234028556,0.0542,98.14,1.0,0.981,0.2858,91.09,0.991,0.884
38,0.0458313861184196,0.0448,98.57,1.0,0.986,0.3111,91.08,0.991,0.883
39,0.04185787024724174,0.0399,98.73,1.0,0.987,0.2937,91.96,0.99,0.897
40,0.039960927755561884,0.0412,98.67,1.0,0.987,0.3219,90.89,0.99,0.881
41,0.037993547471580645,0.0425,98.67,1.0,0.986,0.3312,90.81,0.989,0.882
42,0.03363374313907064,0.0402,98.73,1.0,0.987,0.3071,91.5,0.991,0.892
43,0.032758818715677256,0.0392,98.76,1.0,0.987,0.3236,91.17,0.991,0.887
44,0.03135886179002863,0.0399,98.74,1.0,0.987,0.3195,90.78,0.991,0.882
45,0.03032410616642632,0.0356,98.88,1.0,0.989,0.3017,91.71,0.991,0.893
46,0.028505386038613256,0.0363,98.85,1.0,0.988,0.2942,91.63,0.991,0.892
47,0.027234710340711912,0.0354,98.83,1.0,0.988,0.3043,91.57,0.991,0.892
48,0.02717071849065015,0.035,98.83,1.0,0.988,0.3212,91.2,0.991,0.889
49,0.02651428625882206,0.0346,98.86,1.0,0.988,0.3041,91.35,0.991,0.89
