epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7318534487891795,2.2377,16.03,0.702,0.061,2.8661,19.69,0.611,0.077
1,1.750177992714776,1.8203,24.49,0.751,0.2,2.0807,30.84,0.71,0.165
2,1.7144058128838897,2.0534,19.23,0.735,0.114,2.2998,17.64,0.688,0.107
3,1.5864476486773473,1.2974,50.72,0.866,0.472,1.3142,56.53,0.861,0.482
4,1.206081902040803,0.88,66.13,0.95,0.64,1.1542,52.33,0.93,0.518
5,0.835918552132063,0.6212,77.75,0.972,0.761,0.9393,67.96,0.949,0.647
6,0.702464691947438,0.4302,83.85,0.985,0.841,0.6907,74.61,0.969,0.703
7,0.6464402316718973,0.4011,86.21,0.986,0.862,0.5829,77.04,0.978,0.747
8,0.5986513802013944,0.4047,85.12,0.988,0.849,0.7508,69.48,0.965,0.695
9,0.5647303630267421,0.3777,86.18,0.988,0.857,0.7529,69.71,0.963,0.692
10,0.5405456382634392,0.3722,87.19,0.99,0.872,0.7147,74.53,0.967,0.702
11,0.5182700677905031,0.3544,88.25,0.989,0.879,0.7481,73.68,0.962,0.722
12,0.5026862229818084,0.3486,87.93,0.989,0.877,0.8265,76.13,0.964,0.708
13,0.480196580771477,0.2557,91.37,0.994,0.912,0.6544,75.67,0.977,0.732
14,0.4757378956963939,0.3226,88.96,0.993,0.886,0.8775,73.46,0.972,0.672
15,0.46318256993874857,0.2439,91.56,0.994,0.914,0.6319,79.6,0.974,0.757
16,0.451764239365482,0.3491,87.72,0.993,0.877,0.5232,81.26,0.979,0.782
17,0.4452025722645517,0.2675,90.75,0.994,0.906,0.5338,81.21,0.978,0.777
18,0.42934021786335974,0.2562,91.5,0.995,0.915,0.476,83.74,0.982,0.785
19,0.42995598511670224,0.2579,91.15,0.995,0.908,0.3682,86.58,0.987,0.824
20,0.41584633095824164,0.2581,91.66,0.994,0.915,0.7427,79.28,0.976,0.742
21,0.41229324483422825,0.2163,93.05,0.996,0.93,0.52,81.86,0.983,0.768
22,0.3977506798708738,0.1848,93.95,0.996,0.94,0.5499,83.28,0.982,0.788
23,0.3941921177837584,0.2275,92.18,0.995,0.92,0.7636,76.24,0.971,0.72
24,0.3851600994613008,0.1673,94.41,0.997,0.944,0.4079,85.96,0.985,0.82
25,0.3820896272590938,0.2257,92.41,0.996,0.92,0.5087,81.15,0.979,0.771
26,0.37614940424653365,0.2624,90.91,0.995,0.904,0.4459,83.66,0.983,0.799
27,0.3700336314817911,0.1752,94.12,0.997,0.941,0.469,83.07,0.982,0.786
28,0.36177531418834535,0.176,94.03,0.997,0.939,0.4316,84.97,0.984,0.815
29,0.35303740547869794,0.22,93.02,0.997,0.928,0.8818,77.09,0.966,0.738
30,0.3513124347213776,0.1756,94.3,0.997,0.944,0.5805,83.8,0.982,0.791
31,0.35081715395800955,0.1672,94.13,0.997,0.941,0.4176,85.02,0.985,0.814
32,0.33850244520812905,0.1478,94.93,0.998,0.948,0.4449,84.48,0.981,0.813
33,0.3242592930419898,0.1753,93.78,0.998,0.937,0.3509,87.0,0.989,0.832
34,0.32122542946783017,0.1532,94.72,0.998,0.946,0.457,84.79,0.985,0.81
35,0.31936407780882275,0.1214,95.95,0.998,0.959,0.4415,85.8,0.985,0.815
36,0.30939511418022136,0.1196,95.98,0.999,0.959,0.5509,84.35,0.978,0.794
37,0.30672185259160173,0.1148,96.19,0.999,0.961,0.4797,84.98,0.983,0.809
38,0.3024212574606301,0.0983,96.67,0.999,0.966,0.4363,86.83,0.985,0.825
39,0.2917416418058043,0.1059,96.29,0.999,0.962,0.3979,87.37,0.985,0.838
40,0.29058153518745977,0.1178,95.96,0.999,0.959,0.5017,84.32,0.983,0.8
41,0.2806381760532283,0.101,96.6,0.999,0.965,0.403,87.23,0.987,0.83
42,0.2771924736251968,0.0984,96.68,0.999,0.967,0.4098,87.38,0.986,0.832
43,0.2774274597565333,0.0967,96.7,0.999,0.967,0.4171,87.38,0.986,0.834
44,0.27325522867582175,0.0906,96.97,0.999,0.969,0.3868,88.03,0.986,0.841
45,0.2723700603917508,0.0912,96.94,0.999,0.969,0.3706,88.5,0.987,0.846
46,0.27065201271926204,0.0849,97.2,0.999,0.972,0.407,87.83,0.986,0.837
47,0.2695696530429693,0.0866,97.13,0.999,0.971,0.4062,87.75,0.986,0.837
48,0.2626728450338687,0.0861,97.15,0.999,0.971,0.4104,87.56,0.985,0.836
49,0.264271618431187,0.0863,97.11,0.999,0.971,0.4187,87.46,0.986,0.833
