epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.361910133592544,1.045,58.54,0.92,0.553,1.4506,54.19,0.823,0.431
1,1.2696050803934802,0.7013,73.52,0.96,0.732,1.2239,57.97,0.889,0.543
2,0.9443702492128564,0.5477,80.08,0.977,0.795,1.1125,66.97,0.925,0.657
3,0.5283637248166573,0.3417,88.12,0.99,0.881,0.5602,78.18,0.976,0.759
4,0.35786413257160493,0.2551,91.3,0.994,0.909,0.4546,82.5,0.983,0.794
5,0.2871143480355594,0.226,92.28,0.996,0.923,0.3499,86.77,0.989,0.841
6,0.24204822401365927,0.1699,94.64,0.997,0.946,0.2812,89.94,0.992,0.867
7,0.22328606912846205,0.1671,94.29,0.997,0.942,0.4365,83.88,0.986,0.803
8,0.19860678442543553,0.1637,94.59,0.998,0.945,0.4417,84.48,0.986,0.828
9,0.18509540135394714,0.1528,94.84,0.998,0.949,0.483,83.28,0.98,0.787
10,0.17237645664042042,0.1331,95.72,0.998,0.956,0.4558,86.33,0.983,0.834
11,0.16442330416599055,0.14,95.81,0.998,0.958,0.4613,86.66,0.985,0.82
12,0.15690842329601234,0.1238,95.9,0.998,0.958,0.3317,87.75,0.99,0.848
13,0.14741888347892992,0.1241,96.15,0.998,0.96,0.4259,85.38,0.988,0.823
14,0.13870560845834165,0.0968,96.91,0.999,0.969,0.3014,90.21,0.989,0.884
15,0.1354493142830001,0.1063,96.51,0.999,0.964,0.3639,88.58,0.989,0.864
16,0.13255388286685751,0.1016,96.79,0.999,0.967,0.3596,90.07,0.986,0.864
17,0.1230229185326659,0.1118,96.34,0.999,0.962,0.328,90.08,0.987,0.88
18,0.11784059686859982,0.1139,96.37,0.999,0.963,0.4034,90.37,0.989,0.879
19,0.11425107058244474,0.093,96.94,0.999,0.967,0.5618,83.77,0.985,0.813
20,0.11079064699216983,0.0735,97.72,0.999,0.977,0.3984,88.08,0.984,0.847
21,0.10448176844052195,0.0959,96.65,0.999,0.966,0.5261,84.49,0.99,0.789
22,0.10122388020478269,0.0947,96.92,0.999,0.969,0.3473,89.56,0.986,0.859
23,0.09664128949418396,0.0669,97.88,1.0,0.979,0.3028,91.41,0.99,0.885
24,0.09049333932919688,0.0994,96.72,0.999,0.966,0.3808,89.15,0.986,0.841
25,0.08690522366794207,0.1081,96.34,0.999,0.962,0.3874,88.44,0.984,0.863
26,0.08532403796363795,0.0588,98.08,1.0,0.98,0.3831,88.95,0.99,0.855
27,0.08164682518690825,0.0609,97.98,1.0,0.979,0.4105,88.99,0.988,0.848
28,0.07685224501095632,0.0936,97.14,0.999,0.971,0.3731,89.26,0.988,0.864
29,0.07129184124610757,0.0493,98.37,1.0,0.983,0.3309,90.53,0.991,0.878
30,0.06966689123194598,0.0565,98.08,1.0,0.981,0.3422,90.92,0.989,0.883
31,0.06695160465849076,0.0485,98.47,1.0,0.984,0.3394,91.02,0.987,0.887
32,0.062498829442687254,0.0537,98.26,1.0,0.982,0.395,88.5,0.988,0.854
33,0.0561004766233025,0.0423,98.63,1.0,0.986,0.2843,92.56,0.991,0.906
34,0.05402109136564597,0.0465,98.52,1.0,0.985,0.3415,90.49,0.989,0.886
35,0.05231155324927581,0.0429,98.75,1.0,0.987,0.3644,89.74,0.987,0.88
36,0.046584609976058365,0.038,98.85,1.0,0.988,0.3692,90.07,0.986,0.882
37,0.043859152071591884,0.0423,98.64,1.0,0.986,0.3372,90.79,0.989,0.885
38,0.04031203276607939,0.0334,98.92,1.0,0.989,0.2922,92.48,0.991,0.903
39,0.038060318583482376,0.0348,98.9,1.0,0.989,0.342,90.3,0.99,0.879
40,0.036459374400089395,0.0302,99.07,1.0,0.99,0.3023,92.59,0.99,0.903
41,0.03295666824251841,0.0303,99.05,1.0,0.99,0.2933,93.18,0.99,0.909
42,0.03258164605212575,0.029,99.14,1.0,0.991,0.3358,91.24,0.989,0.889
43,0.029692849424737756,0.0273,99.13,1.0,0.991,0.3537,91.47,0.988,0.892
44,0.02841028113812742,0.0276,99.12,1.0,0.991,0.3258,91.44,0.989,0.894
45,0.027521781920452057,0.0271,99.16,1.0,0.991,0.3237,91.85,0.99,0.898
46,0.02475705850321973,0.0268,99.19,1.0,0.992,0.3017,92.26,0.991,0.902
47,0.02577623125753202,0.0258,99.21,1.0,0.992,0.3247,91.95,0.99,0.898
48,0.025561854303363832,0.0258,99.18,1.0,0.992,0.3124,92.23,0.99,0.901
49,0.02450094948853216,0.0256,99.21,1.0,0.992,0.3188,92.17,0.99,0.899
