epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,0.9560608836057792,0.7474,70.86,0.962,0.689,3.8746,20.26,0.621,0.224
1,0.8729573266053285,1.0189,67.68,0.955,0.646,3.84,22.67,0.706,0.258
2,0.5879430527328163,0.5554,81.91,0.98,0.818,2.6814,35.83,0.853,0.31
3,0.3443896646033906,0.6696,79.94,0.988,0.757,2.6126,43.96,0.9,0.374
4,0.22774860776934144,0.5639,80.27,0.989,0.746,2.0973,49.72,0.898,0.442
5,0.18013849270974008,0.1479,95.16,0.998,0.951,1.4226,68.2,0.91,0.63
6,0.1484775458492579,0.0995,96.86,0.999,0.969,1.0743,71.44,0.956,0.643
7,0.130855707218036,0.1653,94.24,0.998,0.941,0.7602,80.21,0.959,0.745
8,0.11498873317647579,0.6485,81.97,0.996,0.795,3.0371,52.57,0.872,0.488
9,0.10742279060024729,0.1519,95.43,0.998,0.953,1.9209,71.69,0.915,0.621
10,0.10066541071353634,0.1105,96.43,0.999,0.964,1.5416,78.3,0.93,0.672
11,0.09666408622123328,0.0772,97.69,0.999,0.976,1.1588,80.94,0.943,0.744
12,0.09117896853208435,0.1234,95.78,0.999,0.955,2.6456,60.26,0.911,0.595
13,0.08654002890685127,0.0612,98.15,1.0,0.981,1.7776,79.0,0.888,0.679
14,0.08134295202217542,0.0694,97.85,0.999,0.978,1.7158,76.28,0.91,0.696
15,0.07852977341521651,0.0681,97.75,1.0,0.977,0.8802,87.27,0.933,0.812
16,0.07470970835009302,0.069,97.84,0.999,0.978,1.3335,75.89,0.927,0.713
17,0.07371405937198189,0.0546,98.28,1.0,0.983,1.786,70.91,0.896,0.637
18,0.06936445501616298,0.0584,98.21,1.0,0.982,0.7164,85.71,0.958,0.791
19,0.06656911363825202,0.0604,98.08,1.0,0.98,0.9652,84.86,0.944,0.78
20,0.06367374030793066,0.1386,95.8,0.999,0.955,1.8664,61.42,0.922,0.571
21,0.06005159791018213,0.0463,98.43,1.0,0.984,1.7805,67.88,0.912,0.619
22,0.05615875031465271,0.0569,98.19,1.0,0.982,1.2137,77.29,0.94,0.707
23,0.055552713399399135,0.0469,98.38,1.0,0.984,0.9897,82.73,0.949,0.763
24,0.05266387203681586,0.0562,98.16,1.0,0.981,1.2877,79.71,0.916,0.739
25,0.04936989918551458,0.062,98.07,1.0,0.981,1.2741,82.05,0.906,0.763
26,0.04612373766626188,0.0517,98.35,1.0,0.983,1.585,69.49,0.909,0.653
27,0.043722078588033446,0.0443,98.54,1.0,0.985,1.3732,83.94,0.917,0.777
28,0.04162485543371422,0.035,98.94,1.0,0.989,1.3272,81.79,0.917,0.75
29,0.03998433822919498,0.033,98.96,1.0,0.989,1.0029,80.81,0.942,0.749
30,0.03789377508945362,0.0446,98.54,1.0,0.985,2.0666,72.7,0.882,0.687
31,0.0345152513771635,0.0303,99.0,1.0,0.99,1.9903,77.03,0.897,0.708
32,0.03213065008776376,0.0402,98.65,1.0,0.986,1.4026,66.27,0.957,0.622
33,0.02712216695577013,0.0268,99.14,1.0,0.991,1.0302,81.62,0.946,0.761
34,0.02670971784360146,0.0256,99.14,1.0,0.991,1.4557,80.45,0.912,0.749
35,0.023343613107545187,0.0238,99.27,1.0,0.993,1.1002,82.22,0.941,0.757
36,0.021241783758618713,0.022,99.28,1.0,0.993,1.0568,81.49,0.949,0.76
37,0.019468292485468598,0.0228,99.31,1.0,0.993,1.2249,83.67,0.919,0.784
38,0.017882549522718328,0.0209,99.35,1.0,0.993,1.1738,81.16,0.923,0.761
39,0.015824818074048955,0.022,99.31,1.0,0.993,1.2689,80.33,0.929,0.744
40,0.014054573563304746,0.0193,99.41,1.0,0.994,1.073,81.29,0.934,0.76
41,0.01303174182619085,0.0179,99.46,1.0,0.995,1.3034,76.58,0.925,0.718
42,0.012055568899425235,0.0167,99.47,1.0,0.995,1.1388,81.04,0.935,0.755
43,0.011272016689047804,0.0175,99.45,1.0,0.994,1.167,82.06,0.926,0.763
44,0.010047239625299062,0.0155,99.52,1.0,0.995,1.2085,80.34,0.926,0.754
45,0.009246676182207455,0.0154,99.57,1.0,0.996,1.2434,80.53,0.922,0.752
46,0.00950233408627117,0.0151,99.52,1.0,0.995,1.3003,79.65,0.92,0.743
47,0.008635109732775384,0.0151,99.55,1.0,0.995,1.2614,80.64,0.922,0.751
48,0.008644962164249578,0.0148,99.52,1.0,0.995,1.2331,81.05,0.921,0.755
49,0.00874385164423068,0.0148,99.55,1.0,0.995,1.2388,80.78,0.922,0.752
