epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.270763704533218,0.9703,64.12,0.922,0.612,1.7512,42.07,0.78,0.398
1,1.1688427432677224,0.9606,63.25,0.932,0.614,2.1044,33.06,0.852,0.372
2,0.9688559163855822,0.6909,74.28,0.966,0.734,1.4757,61.65,0.892,0.572
3,0.5821769152864761,0.5226,83.02,0.98,0.824,0.7233,74.25,0.965,0.699
4,0.4132378311514,0.4628,82.87,0.985,0.824,0.9271,62.28,0.951,0.609
5,0.31068303238426914,0.2594,91.29,0.994,0.911,0.6051,81.73,0.974,0.76
6,0.25749355750859426,0.23,92.24,0.996,0.921,0.8977,77.58,0.969,0.734
7,0.2297381531166774,0.1875,93.81,0.996,0.938,0.5724,82.09,0.978,0.784
8,0.20961866420977432,0.2075,93.3,0.997,0.933,0.483,83.17,0.982,0.813
9,0.1925766078695174,0.1813,94.2,0.997,0.942,0.5759,80.15,0.972,0.758
10,0.17995257608886261,0.1394,95.52,0.998,0.954,0.4522,85.74,0.981,0.826
11,0.1647961126860752,0.1104,96.7,0.999,0.967,0.2708,90.35,0.991,0.876
12,0.16295835415175097,0.1162,96.27,0.998,0.962,0.2857,89.07,0.989,0.862
13,0.15302282722005922,0.1342,95.89,0.998,0.958,0.2985,88.85,0.991,0.849
14,0.1400977826967675,0.1548,94.88,0.998,0.948,0.6725,79.99,0.973,0.755
15,0.1367502352523227,0.1125,96.24,0.999,0.962,0.4269,87.26,0.984,0.85
16,0.1263035486876217,0.1098,96.32,0.999,0.963,0.2956,88.98,0.99,0.852
17,0.12279404241818681,0.0944,96.98,0.999,0.969,0.2975,90.38,0.992,0.873
18,0.11827819353123079,0.1226,96.24,0.999,0.962,0.2352,91.54,0.992,0.883
19,0.11228203468732402,0.1518,94.78,0.998,0.946,0.4811,86.09,0.981,0.808
20,0.110468252224841,0.0966,96.83,0.999,0.968,0.329,87.87,0.991,0.854
21,0.1013206015257532,0.0737,97.58,0.999,0.976,0.3346,88.41,0.988,0.849
22,0.09791383677659603,0.1277,95.78,0.999,0.959,0.2791,90.89,0.992,0.866
23,0.09590479994599964,0.0792,97.37,0.999,0.974,0.2679,91.39,0.992,0.88
24,0.09138815221293266,0.0729,97.62,0.999,0.976,0.2698,91.0,0.991,0.871
25,0.08419761555035696,0.089,97.25,0.999,0.971,0.2992,89.34,0.99,0.873
26,0.08303505261879295,0.0744,97.74,0.999,0.977,0.3127,90.0,0.99,0.867
27,0.07871055853883585,0.0646,97.93,1.0,0.979,0.368,87.72,0.992,0.822
28,0.07280964615477722,0.074,97.49,0.999,0.975,0.2405,91.5,0.993,0.886
29,0.07052431411467039,0.0522,98.33,1.0,0.983,0.2436,91.98,0.992,0.892
30,0.06518765604190235,0.0473,98.45,1.0,0.984,0.336,89.29,0.989,0.854
31,0.06321535027822926,0.052,98.37,1.0,0.983,0.3318,90.23,0.987,0.874
32,0.05923093840693487,0.0578,98.19,1.0,0.982,0.3552,88.79,0.99,0.849
33,0.05327698089829963,0.0493,98.43,1.0,0.984,0.2868,91.16,0.993,0.884
34,0.05121014311101862,0.0427,98.7,1.0,0.987,0.2031,93.81,0.995,0.914
35,0.04778296100543178,0.0682,97.85,1.0,0.979,0.3268,90.98,0.989,0.873
36,0.044321007811294125,0.0521,98.45,1.0,0.984,0.3784,88.06,0.991,0.841
37,0.040205776861678526,0.0363,98.9,1.0,0.989,0.2602,91.3,0.993,0.88
38,0.03711564171104609,0.0376,98.8,1.0,0.988,0.1813,93.76,0.996,0.912
39,0.034852226555187216,0.0328,99.0,1.0,0.99,0.236,92.66,0.994,0.903
40,0.03314974809259069,0.0301,99.12,1.0,0.991,0.2614,91.99,0.993,0.892
41,0.030609273325024326,0.0292,99.07,1.0,0.99,0.2266,93.0,0.994,0.905
42,0.02715690008875343,0.0287,99.11,1.0,0.991,0.241,92.99,0.994,0.902
43,0.026371548679994427,0.0276,99.18,1.0,0.992,0.2462,93.16,0.994,0.905
44,0.025474551148832805,0.0277,99.15,1.0,0.991,0.2405,93.02,0.993,0.906
45,0.0237279673721174,0.0272,99.17,1.0,0.991,0.2576,92.31,0.993,0.896
46,0.022266481514005357,0.027,99.19,1.0,0.992,0.2698,91.95,0.993,0.891
47,0.0233867003809407,0.0266,99.19,1.0,0.992,0.2503,92.66,0.993,0.899
48,0.02155858987448303,0.0263,99.19,1.0,0.992,0.2524,92.83,0.993,0.902
49,0.020531399329076105,0.0262,99.21,1.0,0.992,0.2549,92.33,0.993,0.895
