epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.6344653009086527,1.3123,47.73,0.84,0.394,1.6226,43.36,0.761,0.311
1,1.6067624107056622,1.3419,48.17,0.868,0.476,1.8709,34.41,0.799,0.336
2,1.1896490000695739,0.758,71.2,0.963,0.703,0.8794,68.26,0.949,0.643
3,0.7919439872105917,0.5679,79.62,0.975,0.791,0.7309,76.03,0.966,0.724
4,0.60849475059458,0.4215,84.53,0.986,0.848,0.5076,80.18,0.975,0.755
5,0.49602388801540526,0.5314,82.95,0.983,0.807,0.7253,77.42,0.975,0.739
6,0.4406291829642429,0.2784,90.12,0.994,0.904,0.4054,85.79,0.985,0.828
7,0.3945880884765297,0.2474,91.61,0.995,0.917,0.4036,85.41,0.982,0.824
8,0.36929887450403637,0.2483,91.74,0.995,0.916,0.4651,81.89,0.984,0.788
9,0.3418480460415177,0.2408,92.12,0.995,0.923,0.5202,82.65,0.979,0.802
10,0.3242156207828539,0.2458,91.85,0.995,0.913,0.4577,83.51,0.984,0.799
11,0.3021031729476426,0.2788,90.36,0.995,0.903,0.4494,83.89,0.981,0.817
12,0.2899974488843513,0.2312,92.22,0.996,0.921,0.5118,82.13,0.983,0.794
13,0.27956055497289983,0.2245,92.82,0.995,0.929,0.4163,85.69,0.984,0.821
14,0.26955715816561465,0.1599,94.8,0.997,0.948,0.4236,85.5,0.982,0.835
15,0.25657063589087525,0.1738,94.17,0.997,0.943,0.3444,88.44,0.986,0.86
16,0.24949618447638755,0.1528,95.1,0.997,0.951,0.2775,89.82,0.989,0.87
17,0.24055970713870073,0.1629,94.54,0.998,0.945,0.4071,86.06,0.983,0.836
18,0.22927506063734332,0.1644,94.69,0.997,0.947,0.3258,88.47,0.988,0.864
19,0.21963005516958492,0.1438,95.3,0.998,0.953,0.3282,89.04,0.988,0.863
20,0.21838082490642438,0.1612,94.86,0.997,0.949,0.4356,85.79,0.983,0.814
21,0.21025296657155917,0.1062,96.58,0.999,0.966,0.2927,88.85,0.99,0.857
22,0.20008730080552853,0.123,95.94,0.998,0.959,0.3018,89.48,0.988,0.867
23,0.1949082068084175,0.179,94.19,0.998,0.941,0.5848,83.34,0.98,0.808
24,0.184507583912235,0.1285,95.66,0.998,0.956,0.3983,85.95,0.985,0.836
25,0.1776343950581166,0.1061,96.71,0.999,0.967,0.2875,89.78,0.99,0.873
26,0.17288894309765762,0.119,96.09,0.999,0.961,0.4017,86.03,0.985,0.828
27,0.16474268360457325,0.1152,96.22,0.999,0.962,0.5026,84.54,0.98,0.807
28,0.15888045694825897,0.1136,96.34,0.999,0.963,0.3104,89.48,0.989,0.868
29,0.14986280702374954,0.0913,97.07,0.999,0.97,0.2679,91.57,0.99,0.89
30,0.14690359028249872,0.0932,96.9,0.999,0.969,0.3738,86.8,0.988,0.825
31,0.14412672845746882,0.0823,97.32,0.999,0.973,0.4093,86.77,0.983,0.832
32,0.1343668701334132,0.0917,97.02,0.999,0.97,0.5415,82.82,0.983,0.794
33,0.13014865308118764,0.094,96.87,0.999,0.969,0.2702,90.64,0.992,0.884
34,0.12139353551985328,0.0886,97.12,0.999,0.97,0.4368,86.33,0.987,0.846
35,0.11685341027795627,0.0731,97.77,0.999,0.977,0.3182,89.85,0.989,0.868
36,0.10750694112939006,0.0709,97.74,0.999,0.977,0.3838,88.65,0.987,0.858
37,0.10408200812275692,0.0679,97.86,0.999,0.978,0.3141,90.15,0.99,0.877
38,0.09875467625917286,0.057,98.13,1.0,0.981,0.2938,90.29,0.991,0.87
39,0.09412599244825942,0.0585,98.12,1.0,0.981,0.3276,89.93,0.989,0.874
40,0.08963988773444648,0.0615,97.99,1.0,0.979,0.3544,89.25,0.987,0.866
41,0.08483928598223194,0.0526,98.31,1.0,0.983,0.3618,89.39,0.987,0.863
42,0.08072568002193632,0.0501,98.42,1.0,0.984,0.3108,90.95,0.989,0.883
43,0.07858791672474434,0.0484,98.51,1.0,0.985,0.3124,90.65,0.99,0.879
44,0.07493301806971431,0.0494,98.34,1.0,0.983,0.3074,90.13,0.99,0.875
45,0.07199328822521059,0.0475,98.47,1.0,0.984,0.3297,90.35,0.989,0.88
46,0.06805578361375518,0.0446,98.59,1.0,0.986,0.3028,90.92,0.99,0.883
47,0.06771535359616775,0.0441,98.6,1.0,0.986,0.294,91.3,0.99,0.886
48,0.06507064468197284,0.0442,98.61,1.0,0.986,0.3029,91.2,0.99,0.886
49,0.06535138453166651,0.0438,98.62,1.0,0.986,0.3021,90.81,0.99,0.88
