epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3098346462813757,1.1018,58.78,0.919,0.56,1.6048,49.66,0.852,0.442
1,0.9397355035000805,1.2255,60.61,0.948,0.573,1.3776,56.78,0.924,0.521
2,0.4022147088014524,0.3432,88.75,0.991,0.888,0.6848,75.46,0.968,0.724
3,0.2599971036303214,0.2296,92.19,0.996,0.921,0.2689,89.94,0.989,0.864
4,0.19371418960686226,0.2964,90.43,0.995,0.902,0.3549,88.96,0.994,0.81
5,0.15843140108904744,0.1946,93.87,0.997,0.94,0.38,87.78,0.988,0.843
6,0.140483390740169,0.1209,95.82,0.999,0.958,0.4144,90.83,0.977,0.849
7,0.1307791216986581,0.1128,96.33,0.999,0.963,0.4822,86.42,0.983,0.817
8,0.11684518836532122,0.1041,96.75,0.999,0.967,0.383,88.5,0.986,0.843
9,0.1098888372688631,0.0951,96.86,0.999,0.969,0.2411,92.26,0.993,0.886
10,0.10708202204022783,0.1186,96.14,0.999,0.961,0.3722,89.67,0.985,0.852
11,0.09916125161499853,0.1247,95.69,0.999,0.956,0.5142,87.73,0.984,0.821
12,0.09439017547387964,0.0967,96.85,0.999,0.969,0.3715,89.01,0.988,0.857
13,0.0882565089481412,0.0815,97.44,0.999,0.974,0.328,90.53,0.988,0.86
14,0.08766633846319705,0.0771,97.63,0.999,0.976,0.3335,92.17,0.99,0.875
15,0.08542739595603666,0.1369,95.5,0.999,0.954,0.4573,87.43,0.979,0.827
16,0.07993551276083435,0.0812,97.44,0.999,0.974,0.3234,92.42,0.989,0.879
17,0.07539018453682997,0.0791,97.42,0.999,0.974,0.3128,90.57,0.99,0.867
18,0.07604872503761856,0.0639,98.0,1.0,0.98,0.4132,88.74,0.984,0.836
19,0.07160016592912456,0.0992,96.68,0.999,0.967,0.4883,88.79,0.987,0.842
20,0.06616065597936084,0.1149,96.24,0.999,0.963,0.3729,90.59,0.988,0.861
21,0.06560773617090611,0.0778,97.58,0.999,0.976,0.3575,90.05,0.989,0.853
22,0.061571529053325184,0.0608,98.12,1.0,0.981,0.3234,89.78,0.991,0.858
23,0.06017717901003083,0.0595,98.14,1.0,0.981,0.359,90.13,0.992,0.86
24,0.05606367092205739,0.1054,96.65,0.999,0.966,0.3837,89.26,0.987,0.852
25,0.055313188756238606,0.0523,98.4,1.0,0.984,0.1865,94.43,0.995,0.92
26,0.05005299467192863,0.0786,97.46,1.0,0.973,0.357,90.83,0.987,0.872
27,0.048786065991847746,0.0583,98.15,1.0,0.981,0.3438,91.33,0.99,0.872
28,0.04534507241420528,0.0474,98.57,1.0,0.986,0.2677,93.08,0.992,0.895
29,0.04325426654643162,0.0466,98.5,1.0,0.985,0.4025,89.75,0.989,0.856
30,0.039594159034284426,0.0433,98.66,1.0,0.986,0.2663,91.9,0.994,0.896
31,0.038177100639443136,0.0448,98.54,1.0,0.985,0.3229,91.35,0.992,0.879
32,0.034361022279187234,0.0483,98.37,1.0,0.984,0.2267,92.8,0.994,0.902
33,0.03180706622679868,0.036,98.86,1.0,0.988,0.3996,90.13,0.99,0.863
34,0.03086737074678944,0.0359,98.77,1.0,0.988,0.241,92.58,0.995,0.901
35,0.02732921322961221,0.0343,98.99,1.0,0.99,0.3222,90.6,0.991,0.871
36,0.025327944306917087,0.0335,98.88,1.0,0.989,0.3456,91.82,0.991,0.878
37,0.022737506833795364,0.0314,99.0,1.0,0.99,0.3181,91.28,0.992,0.878
38,0.02043056801982945,0.0312,98.94,1.0,0.989,0.3727,91.33,0.989,0.874
39,0.018325041587327652,0.0311,99.08,1.0,0.991,0.3259,91.69,0.992,0.878
40,0.01615181310255895,0.0283,99.1,1.0,0.991,0.3153,91.76,0.992,0.882
41,0.014008819245763363,0.0258,99.22,1.0,0.992,0.3354,91.0,0.992,0.873
42,0.014315535336078601,0.0252,99.23,1.0,0.992,0.3129,91.73,0.993,0.882
43,0.011926078558048253,0.0235,99.26,1.0,0.992,0.3334,91.06,0.993,0.872
44,0.01198491925627367,0.0233,99.28,1.0,0.993,0.3017,91.77,0.993,0.883
45,0.011236807948986476,0.0233,99.29,1.0,0.993,0.3383,91.09,0.992,0.873
46,0.010347974252983875,0.023,99.35,1.0,0.993,0.3409,91.13,0.992,0.874
47,0.009866564820009855,0.0228,99.35,1.0,0.993,0.3304,91.17,0.992,0.875
48,0.009488234929006053,0.0223,99.36,1.0,0.993,0.3399,91.06,0.992,0.874
49,0.009811161730211482,0.0227,99.35,1.0,0.993,0.3415,90.92,0.992,0.871
