epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.2233950386960093,0.7613,71.64,0.954,0.689,0.9568,68.35,0.919,0.615
1,0.9158462096732076,0.6929,77.07,0.974,0.758,0.9675,73.74,0.926,0.63
2,0.43182136054435655,0.3031,89.58,0.993,0.896,0.5755,79.56,0.972,0.747
3,0.27033378587692497,0.3653,87.78,0.993,0.877,0.5976,84.65,0.959,0.787
4,0.19261356345202926,0.2341,92.33,0.996,0.919,0.3302,88.67,0.989,0.824
5,0.1564175208800594,0.1843,93.68,0.997,0.938,0.4961,86.51,0.978,0.821
6,0.1414357923631005,0.1417,95.61,0.998,0.956,0.5077,85.47,0.985,0.802
7,0.1312988268108189,0.1365,95.32,0.998,0.953,0.3569,89.17,0.99,0.839
8,0.12210171223219904,0.1115,96.4,0.999,0.964,0.4884,86.33,0.98,0.812
9,0.11341332105423235,0.0982,96.92,0.999,0.969,0.4787,88.9,0.979,0.838
10,0.10163015345434703,0.0925,97.09,0.999,0.971,0.4526,87.23,0.977,0.818
11,0.0973184061218353,0.1574,95.31,0.999,0.953,1.7259,75.14,0.898,0.659
12,0.09450185819893862,0.0865,97.3,0.999,0.973,0.7645,82.6,0.967,0.783
13,0.08740503038238061,0.1133,96.41,0.999,0.964,0.6832,80.72,0.969,0.771
14,0.08455305420735282,0.0707,97.82,0.999,0.978,0.3432,90.26,0.988,0.863
15,0.07906350730176954,0.0866,97.19,0.999,0.972,0.5907,86.37,0.979,0.817
16,0.07948491704685211,0.0797,97.53,0.999,0.975,0.6451,87.7,0.969,0.842
17,0.07214956201966152,0.1176,96.11,0.999,0.96,0.6684,85.37,0.982,0.838
18,0.06929169039113683,0.0797,97.39,0.999,0.974,0.4747,88.62,0.976,0.845
19,0.06784575130317314,0.101,96.7,0.999,0.967,0.5446,85.26,0.983,0.798
20,0.06372156889845945,0.0698,97.8,1.0,0.978,0.3031,91.14,0.992,0.89
21,0.06004016989032356,0.0724,97.47,1.0,0.975,0.7606,81.68,0.959,0.775
22,0.0561467258322964,0.0493,98.45,1.0,0.984,0.3466,90.95,0.99,0.877
23,0.05635700180080314,0.0843,97.22,1.0,0.972,0.6218,87.26,0.978,0.818
24,0.052879048239819586,0.061,98.07,1.0,0.98,0.5206,86.79,0.982,0.818
25,0.04957813091995944,0.0723,97.57,1.0,0.975,0.5306,88.26,0.981,0.833
26,0.046163896795142316,0.0543,98.29,1.0,0.983,0.5397,87.89,0.98,0.829
27,0.04506258088562218,0.0457,98.42,1.0,0.984,0.5685,86.1,0.978,0.801
28,0.042154426808087474,0.0503,98.36,1.0,0.983,0.8031,84.98,0.972,0.799
29,0.038576071723722495,0.0444,98.55,1.0,0.985,0.5218,88.16,0.981,0.833
30,0.0362782784685999,0.0405,98.77,1.0,0.988,0.7719,84.65,0.965,0.791
31,0.033414477745674166,0.038,98.85,1.0,0.988,0.5697,87.99,0.977,0.836
32,0.03187989914699829,0.0348,98.94,1.0,0.989,0.4417,89.25,0.985,0.848
33,0.0295808795999489,0.0316,99.05,1.0,0.99,0.5287,86.16,0.986,0.825
34,0.025684262770819536,0.0442,98.57,1.0,0.985,0.6858,85.32,0.977,0.81
35,0.023993392453290695,0.0295,99.08,1.0,0.991,0.607,87.28,0.977,0.831
36,0.02173502820548943,0.0277,99.22,1.0,0.992,0.5619,87.97,0.978,0.83
37,0.018962967477752186,0.0267,99.18,1.0,0.992,0.6066,86.63,0.979,0.812
38,0.017819242410308453,0.0244,99.3,1.0,0.993,0.6443,86.85,0.976,0.811
39,0.017294295157150953,0.0238,99.33,1.0,0.993,0.6556,86.59,0.975,0.813
40,0.013845495976281081,0.0228,99.37,1.0,0.994,0.5628,87.94,0.98,0.826
41,0.013612003233916857,0.0241,99.3,1.0,0.993,0.5795,87.82,0.98,0.831
42,0.011363749327354653,0.0215,99.37,1.0,0.994,0.5844,88.84,0.98,0.839
43,0.011168951595165436,0.0218,99.39,1.0,0.994,0.5854,88.65,0.979,0.833
44,0.010039452679975087,0.0205,99.41,1.0,0.994,0.5918,88.37,0.979,0.832
45,0.008837543218021743,0.0201,99.45,1.0,0.994,0.5852,87.77,0.979,0.825
46,0.009104224558326554,0.0202,99.39,1.0,0.994,0.5807,88.1,0.979,0.831
47,0.00886592029532241,0.0196,99.47,1.0,0.995,0.5682,88.76,0.981,0.838
48,0.0086337976834082,0.0197,99.46,1.0,0.994,0.5858,88.23,0.98,0.83
49,0.008338398699963561,0.0195,99.45,1.0,0.994,0.5847,88.6,0.98,0.835
