epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.2866264131975003,1.2145,53.73,0.906,0.501,1.7929,39.3,0.813,0.31
1,0.807372356347713,0.3625,87.16,0.989,0.867,0.5106,81.9,0.971,0.747
2,0.462667967389775,0.5597,82.68,0.986,0.822,0.6208,79.33,0.974,0.728
3,0.2566793007128555,0.2782,90.23,0.995,0.902,0.4756,84.46,0.981,0.782
4,0.191784752859971,0.3644,89.24,0.993,0.889,0.4436,87.4,0.988,0.807
5,0.16252207529053467,0.1246,96.18,0.998,0.961,0.2362,91.87,0.994,0.887
6,0.1464566481516673,0.1833,93.57,0.998,0.936,0.3609,88.35,0.989,0.822
7,0.1316258270413645,0.1364,95.81,0.998,0.958,0.5829,85.76,0.979,0.812
8,0.12184340869306877,0.1415,95.36,0.998,0.955,0.4505,86.03,0.986,0.819
9,0.11353623053880148,0.1034,96.57,0.999,0.965,0.2642,91.3,0.994,0.882
10,0.1118259940456639,0.097,96.94,0.999,0.969,0.3102,90.07,0.991,0.86
11,0.10119680466303956,0.1144,96.14,0.999,0.961,0.3343,90.1,0.991,0.856
12,0.09834863494173707,0.1124,96.25,0.999,0.962,0.2361,92.28,0.993,0.893
13,0.09222015336750068,0.0767,97.56,0.999,0.976,0.2832,91.43,0.991,0.869
14,0.08958566784658419,0.093,96.87,0.999,0.969,0.3066,90.76,0.992,0.86
15,0.08526409064890236,0.1136,96.24,0.999,0.962,0.4273,87.68,0.982,0.824
16,0.08218334811509297,0.0737,97.72,0.999,0.977,0.2916,90.56,0.991,0.86
17,0.0783030110140962,0.1356,95.67,0.999,0.957,0.3245,89.93,0.991,0.875
18,0.0765424357096274,0.0581,98.13,1.0,0.981,0.2368,92.48,0.994,0.895
19,0.07331932584277778,0.0785,97.52,0.999,0.975,0.2954,91.65,0.991,0.881
20,0.06930846913707672,0.148,95.12,0.998,0.951,0.3314,90.34,0.988,0.855
21,0.0665699707738067,0.0723,97.66,0.999,0.977,0.3442,89.77,0.99,0.855
22,0.06376693422295233,0.0773,97.73,0.999,0.977,0.437,89.26,0.981,0.847
23,0.0622035700871232,0.08,97.47,0.999,0.975,0.5089,87.07,0.988,0.825
24,0.05655930711350347,0.0524,98.33,1.0,0.983,0.2583,91.69,0.994,0.883
25,0.056191157320961624,0.0769,97.53,1.0,0.975,0.4206,89.5,0.985,0.842
26,0.05170568035695181,0.0584,98.21,1.0,0.981,0.5093,88.06,0.986,0.832
27,0.05154953623444216,0.0529,98.34,1.0,0.983,0.3748,90.18,0.989,0.859
28,0.04559871492954138,0.0552,98.21,1.0,0.982,0.3146,90.0,0.991,0.85
29,0.04498548353070854,0.0506,98.29,1.0,0.983,0.3576,91.14,0.989,0.864
30,0.04136318209377455,0.0411,98.67,1.0,0.987,0.2809,91.43,0.993,0.889
31,0.039169023222353404,0.0443,98.51,1.0,0.985,0.3664,91.22,0.99,0.872
32,0.035895467797581335,0.0435,98.56,1.0,0.985,0.2266,93.26,0.995,0.904
33,0.03306447903001447,0.0394,98.84,1.0,0.988,0.3919,87.97,0.989,0.833
34,0.03197161387819063,0.0374,98.85,1.0,0.988,0.2683,92.47,0.993,0.892
35,0.027055334042771103,0.0316,99.02,1.0,0.99,0.3623,91.54,0.987,0.877
36,0.027241386177759338,0.0356,98.86,1.0,0.988,0.2655,92.96,0.994,0.895
37,0.02345116592202616,0.0305,99.08,1.0,0.991,0.3695,90.56,0.988,0.863
38,0.021397189634408148,0.0296,99.14,1.0,0.991,0.3621,90.83,0.99,0.864
39,0.019217266045230372,0.0314,99.08,1.0,0.991,0.4688,89.2,0.986,0.854
40,0.017473726618474208,0.0303,99.02,1.0,0.99,0.4126,91.39,0.986,0.872
41,0.014831904674075731,0.0259,99.22,1.0,0.992,0.4161,90.76,0.987,0.868
42,0.015212173486882854,0.0269,99.26,1.0,0.992,0.3386,91.8,0.991,0.88
43,0.013524909028082444,0.0264,99.22,1.0,0.992,0.4187,90.95,0.987,0.869
44,0.012078059505083762,0.0258,99.18,1.0,0.992,0.4065,91.38,0.987,0.873
45,0.012085243355229123,0.0254,99.25,1.0,0.992,0.4151,91.47,0.986,0.875
46,0.011256118944268607,0.0249,99.25,1.0,0.992,0.429,91.17,0.986,0.873
47,0.010996877287571255,0.0245,99.27,1.0,0.993,0.394,91.05,0.988,0.871
48,0.01047006454051716,0.024,99.28,1.0,0.993,0.4181,91.03,0.987,0.87
49,0.010405450927487517,0.0246,99.27,1.0,0.993,0.4179,91.14,0.987,0.872
