epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7005407028300787,1.4188,45.56,0.842,0.416,1.3423,48.86,0.825,0.395
1,1.4951034335679905,1.1166,58.84,0.919,0.578,1.3835,57.0,0.89,0.538
2,0.8637626873442776,0.5672,79.47,0.976,0.783,0.5513,79.47,0.978,0.748
3,0.6185617791388625,0.5185,82.44,0.983,0.822,0.6044,78.51,0.974,0.745
4,0.47305788954312655,0.3312,88.64,0.991,0.889,0.2911,88.93,0.99,0.851
5,0.41035700362429395,0.3479,88.64,0.99,0.883,0.6745,77.34,0.975,0.732
6,0.35969574800208476,0.2642,91.34,0.994,0.911,0.4517,85.0,0.985,0.801
7,0.3308053196117442,0.216,92.78,0.995,0.928,0.2955,89.29,0.99,0.857
8,0.30544258069287067,0.2707,90.56,0.996,0.906,0.4562,85.73,0.989,0.809
9,0.2918157728796151,0.2053,93.43,0.996,0.934,0.3443,87.19,0.984,0.839
10,0.2736666190127532,0.2344,91.88,0.996,0.916,0.3678,87.4,0.986,0.829
11,0.2635427955604796,0.1964,93.48,0.997,0.935,0.3819,86.67,0.985,0.832
12,0.25002306681059594,0.1612,94.72,0.997,0.946,0.2619,90.18,0.99,0.864
13,0.24237451982754532,0.205,93.36,0.997,0.932,0.5868,82.95,0.985,0.801
14,0.23270875700218704,0.1283,95.99,0.998,0.959,0.2616,90.65,0.992,0.868
15,0.228414946265759,0.165,94.35,0.997,0.941,0.3791,85.96,0.989,0.827
16,0.22075402830129884,0.1869,93.44,0.997,0.934,0.234,91.16,0.994,0.884
17,0.2097506008000784,0.147,95.23,0.998,0.951,0.4166,86.67,0.985,0.848
18,0.20653667853724572,0.1285,95.71,0.998,0.956,0.3469,88.06,0.989,0.856
19,0.19959324757204688,0.1641,94.65,0.997,0.947,0.3564,88.54,0.988,0.854
20,0.19203131663275877,0.1251,95.8,0.998,0.958,0.3463,88.36,0.989,0.864
21,0.18921741498066746,0.1233,95.9,0.998,0.958,0.4115,86.47,0.988,0.846
22,0.18245525227519133,0.116,96.22,0.998,0.962,0.229,91.71,0.993,0.894
23,0.18029470545470075,0.1297,95.86,0.998,0.958,0.2949,91.19,0.991,0.882
24,0.17035621863966774,0.0971,96.86,0.999,0.968,0.212,92.37,0.993,0.896
25,0.16283376549627618,0.1217,96.08,0.999,0.96,0.3033,90.68,0.991,0.874
26,0.16031536854483108,0.1266,95.55,0.999,0.955,0.2941,88.99,0.993,0.858
27,0.15019064401960716,0.1031,96.57,0.999,0.965,0.276,91.27,0.989,0.887
28,0.14979846173343264,0.119,96.09,0.999,0.96,0.2623,90.32,0.994,0.874
29,0.14015614151233627,0.094,96.94,0.999,0.969,0.281,90.79,0.992,0.881
30,0.13720351321402416,0.1061,96.33,0.999,0.962,0.4925,84.45,0.986,0.82
31,0.1331687156965549,0.1058,96.44,0.999,0.965,0.4289,88.43,0.988,0.852
32,0.12537164235734596,0.0902,97.11,0.999,0.971,0.2837,91.43,0.992,0.887
33,0.12119713798165321,0.0886,96.99,0.999,0.97,0.271,91.6,0.993,0.896
34,0.1157622622346045,0.0924,96.77,0.999,0.968,0.2933,91.96,0.992,0.896
35,0.11219205575791524,0.0662,97.84,0.999,0.978,0.1965,93.53,0.995,0.91
36,0.10644802986226949,0.0838,97.18,0.999,0.972,0.3103,91.66,0.992,0.886
37,0.09958368584874176,0.0695,97.72,0.999,0.977,0.2902,92.72,0.991,0.9
38,0.0973502935901765,0.0665,97.66,0.999,0.977,0.2205,93.45,0.995,0.908
39,0.09201520686722144,0.0616,97.91,1.0,0.979,0.2689,92.07,0.992,0.897
40,0.08638446752355838,0.0672,97.71,1.0,0.977,0.2403,92.93,0.994,0.906
41,0.08155968196783549,0.0604,97.92,1.0,0.979,0.2609,93.1,0.993,0.905
42,0.07799856818204338,0.0602,97.98,1.0,0.98,0.2477,93.43,0.993,0.911
43,0.07729862230299141,0.0588,98.04,1.0,0.981,0.2864,92.69,0.992,0.898
44,0.07062213405412639,0.052,98.23,1.0,0.982,0.2386,93.46,0.993,0.911
45,0.07052026703072492,0.0511,98.27,1.0,0.983,0.256,93.12,0.993,0.908
46,0.07015643032488003,0.0515,98.27,1.0,0.983,0.2646,93.3,0.992,0.91
47,0.06864792319835834,0.0506,98.33,1.0,0.983,0.2516,93.35,0.993,0.911
48,0.06585945573545271,0.0511,98.29,1.0,0.983,0.2577,93.37,0.992,0.91
49,0.06474499270740536,0.0511,98.29,1.0,0.983,0.2557,93.45,0.993,0.911
