epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.5309480947832907,1.2062,52.49,0.91,0.461,1.7266,38.83,0.8,0.331
1,1.3447814372278029,0.8727,69.96,0.945,0.687,0.8949,66.95,0.943,0.629
2,0.7484674333564697,0.4616,83.78,0.983,0.838,0.5988,78.78,0.971,0.745
3,0.5439076621793077,0.4715,82.8,0.985,0.83,0.6332,77.39,0.971,0.714
4,0.4128679603231423,0.3381,88.73,0.993,0.889,0.3776,85.93,0.986,0.8
5,0.3427348324635123,0.2451,91.93,0.995,0.917,0.5074,82.03,0.984,0.788
6,0.301925517431724,0.1836,93.63,0.997,0.937,0.3773,86.33,0.988,0.822
7,0.2785393817610638,0.1742,94.13,0.997,0.942,0.3544,88.19,0.984,0.848
8,0.2592155009935406,0.1428,95.47,0.998,0.954,0.3889,86.18,0.985,0.808
9,0.24165582268308566,0.1586,94.92,0.998,0.948,0.3594,86.96,0.99,0.846
10,0.2317463856150386,0.1682,94.32,0.998,0.942,0.2348,91.62,0.994,0.881
11,0.21810341581007914,0.1401,95.46,0.998,0.955,0.3755,88.09,0.986,0.838
12,0.20669683428167443,0.1348,95.66,0.998,0.956,0.2702,90.29,0.992,0.869
13,0.20491212814725857,0.14,95.58,0.998,0.955,0.4871,85.22,0.985,0.793
14,0.19785352987253965,0.1151,96.23,0.999,0.962,0.2734,90.08,0.993,0.863
15,0.18968564683177566,0.1662,95.24,0.998,0.951,0.3542,89.94,0.989,0.865
16,0.18563509216418617,0.0903,97.24,0.999,0.972,0.289,89.96,0.994,0.863
17,0.17598207595367585,0.1265,95.76,0.999,0.957,0.4448,86.39,0.98,0.814
18,0.17219278379927613,0.0942,96.95,0.999,0.969,0.2671,91.03,0.992,0.877
19,0.1726054315552062,0.1126,96.49,0.999,0.964,0.3305,90.95,0.991,0.882
20,0.16218004889091925,0.105,96.54,0.999,0.965,0.27,90.65,0.99,0.886
21,0.15599487948909027,0.0791,97.5,0.999,0.974,0.2167,92.66,0.994,0.899
22,0.15264597828550044,0.095,97.06,0.999,0.97,0.2547,90.98,0.994,0.876
23,0.14745419050523456,0.0668,97.85,0.999,0.978,0.259,93.16,0.992,0.905
24,0.14199115944805965,0.0691,97.71,0.999,0.977,0.2051,93.15,0.994,0.906
25,0.13499260592311085,0.1116,96.47,0.999,0.964,0.4042,91.47,0.985,0.884
26,0.1324812970307779,0.0868,97.19,0.999,0.971,0.3055,90.65,0.991,0.869
27,0.1281225564806158,0.0829,97.41,0.999,0.973,0.3447,90.04,0.99,0.867
28,0.12276549857964332,0.0692,97.79,0.999,0.977,0.2709,90.83,0.992,0.871
29,0.11926439137107903,0.0557,98.26,1.0,0.982,0.3387,91.32,0.988,0.878
30,0.11134485134647952,0.0677,97.76,1.0,0.977,0.4347,88.73,0.989,0.837
31,0.11093658567022359,0.0553,98.31,1.0,0.983,0.3114,91.03,0.99,0.881
32,0.1032862144799429,0.0605,98.05,1.0,0.98,0.2762,91.63,0.991,0.885
33,0.09771334408618856,0.052,98.38,1.0,0.983,0.3383,91.32,0.99,0.884
34,0.09762823871273454,0.0568,98.15,1.0,0.981,0.203,93.68,0.994,0.91
35,0.09205214438899871,0.0453,98.6,1.0,0.986,0.306,92.94,0.988,0.903
36,0.08544202671489781,0.0516,98.39,1.0,0.984,0.3139,91.98,0.989,0.894
37,0.08218721546212672,0.0457,98.52,1.0,0.985,0.2333,93.35,0.994,0.907
38,0.07791734788079469,0.0404,98.67,1.0,0.986,0.2531,93.29,0.993,0.904
39,0.07642365210793084,0.043,98.67,1.0,0.986,0.2242,93.21,0.994,0.905
40,0.07116586642546786,0.0414,98.7,1.0,0.987,0.3164,93.57,0.991,0.911
41,0.06701374943885538,0.0339,98.88,1.0,0.988,0.2523,93.46,0.992,0.91
42,0.0625135907602887,0.0394,98.76,1.0,0.987,0.2803,93.3,0.991,0.91
43,0.0609844367013156,0.0332,98.97,1.0,0.989,0.3056,93.16,0.991,0.904
44,0.058758915086547216,0.0333,99.0,1.0,0.99,0.293,92.97,0.991,0.902
45,0.05732036115915438,0.0327,98.99,1.0,0.99,0.2669,93.35,0.992,0.909
46,0.05534942434786896,0.0317,98.99,1.0,0.99,0.2619,93.78,0.992,0.913
47,0.0541137835681839,0.0315,99.03,1.0,0.99,0.2673,93.51,0.992,0.91
48,0.0528474770132519,0.031,99.03,1.0,0.99,0.2779,93.46,0.991,0.91
49,0.054808783176351725,0.031,99.02,1.0,0.99,0.2746,93.37,0.992,0.907
