epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.77596406526463,1.3579,50.08,0.847,0.459,1.2694,49.58,0.839,0.392
1,1.5769628303452632,1.123,59.57,0.906,0.588,1.2695,57.03,0.898,0.518
2,0.9759925161638567,0.5545,78.59,0.973,0.767,0.5314,79.43,0.974,0.734
3,0.7134253365591863,0.5241,81.48,0.975,0.805,0.5176,79.79,0.977,0.751
4,0.5758477459030766,0.4482,83.74,0.986,0.839,0.5574,78.56,0.974,0.716
5,0.4981087965884089,0.4305,84.98,0.988,0.837,0.8188,71.69,0.97,0.674
6,0.4534446802190555,0.3505,87.98,0.99,0.878,0.4353,83.8,0.983,0.787
7,0.4198669611232682,0.242,91.97,0.994,0.92,0.2856,89.09,0.99,0.865
8,0.3974785050343869,0.282,90.58,0.993,0.904,0.3298,87.67,0.989,0.851
9,0.3692313785194069,0.2691,91.11,0.993,0.91,0.4034,85.13,0.984,0.809
10,0.35369815218085454,0.2337,92.26,0.995,0.921,0.374,85.25,0.983,0.812
11,0.3414977267384529,0.2727,90.75,0.994,0.904,0.3729,86.09,0.989,0.807
12,0.3294581542305622,0.2232,92.37,0.995,0.924,0.4084,85.66,0.987,0.817
13,0.3166532516479492,0.206,93.2,0.996,0.93,0.3385,88.46,0.992,0.865
14,0.30692934043251485,0.2718,90.68,0.993,0.903,0.5635,80.74,0.979,0.77
15,0.2952672514703966,0.2142,93.12,0.996,0.931,0.7368,77.66,0.978,0.74
16,0.28678957987109394,0.2394,91.7,0.996,0.917,0.2743,89.7,0.993,0.865
17,0.2779389373877997,0.2048,93.17,0.996,0.931,0.3498,87.73,0.988,0.837
18,0.2708822874532592,0.1758,94.31,0.997,0.943,0.4025,85.8,0.985,0.829
19,0.2654289198124708,0.1466,95.32,0.998,0.952,0.2951,89.69,0.99,0.866
20,0.25700369478607266,0.1666,94.49,0.997,0.944,0.4372,84.83,0.987,0.819
21,0.2476096393467064,0.1236,95.99,0.998,0.959,0.2543,91.11,0.991,0.881
22,0.24168521095080614,0.16,94.62,0.998,0.944,0.3374,89.28,0.988,0.861
23,0.23545017006630112,0.1207,95.99,0.998,0.96,0.2689,90.51,0.99,0.873
24,0.22666425300648563,0.1224,95.98,0.998,0.959,0.29,89.96,0.992,0.874
25,0.22198455029010344,0.1565,94.84,0.998,0.948,0.3001,88.98,0.991,0.864
26,0.2158678779545437,0.1493,94.87,0.998,0.949,0.3263,90.05,0.989,0.866
27,0.20561905995705648,0.1367,95.36,0.998,0.952,0.2638,91.6,0.991,0.885
28,0.2034370241332866,0.1246,95.96,0.998,0.959,0.2806,90.79,0.992,0.88
29,0.19431679543628488,0.1244,95.8,0.998,0.958,0.3615,88.43,0.987,0.863
30,0.1873078610360836,0.1332,95.71,0.998,0.956,0.5755,83.26,0.982,0.802
31,0.17954250613367687,0.1153,96.23,0.999,0.962,0.3362,90.08,0.988,0.871
32,0.1761091114439097,0.1051,96.54,0.999,0.965,0.2836,90.87,0.992,0.883
33,0.17013411118405267,0.1077,96.42,0.999,0.963,0.311,89.25,0.991,0.863
34,0.16481915917447817,0.1003,96.53,0.999,0.966,0.3426,88.71,0.99,0.862
35,0.15748343088640748,0.0925,97.04,0.999,0.97,0.275,91.3,0.992,0.887
36,0.14875147021692714,0.0959,96.89,0.999,0.969,0.3168,90.24,0.989,0.878
37,0.14208769650068334,0.1004,96.73,0.999,0.967,0.368,88.19,0.988,0.862
38,0.14007060851995234,0.0807,97.35,0.999,0.973,0.3471,90.23,0.988,0.869
39,0.13191129346661884,0.0914,96.98,0.999,0.97,0.3424,90.18,0.99,0.874
40,0.128906257016631,0.074,97.55,0.999,0.975,0.2795,91.95,0.991,0.895
41,0.12401205523600502,0.0712,97.59,0.999,0.976,0.2638,91.95,0.991,0.896
42,0.116481985769979,0.0768,97.37,0.999,0.973,0.3381,89.91,0.989,0.875
43,0.11612863787266302,0.0736,97.57,0.999,0.975,0.3069,90.86,0.99,0.881
44,0.11104942557124894,0.0692,97.74,0.999,0.977,0.2927,91.49,0.991,0.89
45,0.10600816511872849,0.066,97.89,0.999,0.979,0.2728,91.41,0.991,0.889
46,0.10307388451938454,0.0612,98.09,1.0,0.981,0.308,91.24,0.99,0.884
47,0.10260579525075826,0.0618,97.95,1.0,0.979,0.2931,91.49,0.991,0.889
48,0.10149516244702655,0.0642,97.88,1.0,0.979,0.2801,91.68,0.991,0.892
49,0.1037175927084193,0.0625,97.94,1.0,0.979,0.2877,91.41,0.991,0.887
