epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3127754788885835,1.8987,47.59,0.874,0.432,2.9104,37.88,0.8,0.341
1,1.134301508840267,0.7914,73.16,0.957,0.717,0.7816,75.68,0.946,0.661
2,0.6493060028040281,0.3726,87.56,0.992,0.871,0.8268,73.71,0.975,0.697
3,0.3486855421148534,0.2388,92.23,0.995,0.921,0.4048,86.67,0.981,0.807
4,0.27472413281866725,0.2514,92.12,0.995,0.92,0.5469,81.79,0.976,0.758
5,0.21222754044451594,0.228,91.93,0.997,0.919,0.4563,84.7,0.985,0.769
6,0.1812152721949162,0.1193,96.09,0.998,0.96,0.2977,89.58,0.991,0.851
7,0.16254693476690185,0.1186,96.01,0.999,0.961,0.2637,90.65,0.991,0.872
8,0.15327845450731054,0.1363,95.68,0.998,0.957,0.7165,78.24,0.983,0.756
9,0.1437416453662205,0.1239,96.07,0.999,0.96,0.2011,92.5,0.994,0.897
10,0.13309857872812125,0.1502,94.83,0.998,0.948,0.3699,89.5,0.989,0.831
11,0.12586106987516513,0.0863,97.33,0.999,0.973,0.2309,92.31,0.992,0.899
12,0.12170126201671726,0.0922,97.08,0.999,0.97,0.2946,89.67,0.992,0.873
13,0.1186735774373709,0.0975,96.92,0.999,0.969,0.2213,91.69,0.994,0.881
14,0.11244131940146608,0.0916,96.86,0.999,0.969,0.2411,91.25,0.994,0.852
15,0.1078900448196838,0.1738,94.65,0.998,0.944,0.7034,82.43,0.987,0.814
16,0.10856019791656284,0.1198,96.06,0.999,0.961,0.3068,89.53,0.993,0.827
17,0.1015953740645801,0.0927,96.84,0.999,0.968,0.3113,89.64,0.995,0.863
18,0.09425561127710193,0.0855,97.24,0.999,0.972,0.2649,91.09,0.993,0.89
19,0.09322113626699988,0.0674,98.04,0.999,0.98,0.2616,90.73,0.995,0.875
20,0.09140620765186125,0.072,97.61,0.999,0.976,0.2232,92.06,0.994,0.886
21,0.0870055697197395,0.073,97.71,0.999,0.976,0.2635,90.92,0.994,0.879
22,0.08466348384163179,0.0673,97.91,0.999,0.979,0.3116,90.43,0.992,0.869
23,0.07858349302596676,0.0604,98.16,1.0,0.981,0.2227,93.19,0.996,0.907
24,0.07455705077050247,0.0544,98.27,1.0,0.982,0.1855,93.83,0.995,0.913
25,0.0741837885928437,0.0743,97.62,0.999,0.976,0.2783,91.16,0.991,0.891
26,0.07026936898782422,0.0924,96.94,0.999,0.967,0.492,83.74,0.989,0.831
27,0.06696476131731037,0.0499,98.45,1.0,0.984,0.2602,92.94,0.995,0.909
28,0.06447944908459607,0.0519,98.28,1.0,0.983,0.2516,92.18,0.995,0.897
29,0.05996836639613608,0.0519,98.32,1.0,0.983,0.286,91.9,0.993,0.893
30,0.05753441898012033,0.0418,98.7,1.0,0.987,0.3579,89.5,0.991,0.852
31,0.054406769126386624,0.0502,98.47,1.0,0.985,0.2202,93.13,0.995,0.91
32,0.05125706981179909,0.0449,98.65,1.0,0.986,0.2678,91.6,0.992,0.897
33,0.046710112350775886,0.0369,98.8,1.0,0.988,0.205,93.67,0.997,0.922
34,0.04461311800805952,0.0473,98.48,1.0,0.985,0.2115,93.54,0.996,0.914
35,0.043585606122983615,0.0357,98.86,1.0,0.988,0.282,91.9,0.993,0.897
36,0.03894485854527055,0.0342,98.98,1.0,0.99,0.2793,91.46,0.994,0.888
37,0.0355674013892676,0.0357,98.86,1.0,0.988,0.2406,92.78,0.995,0.912
38,0.03132336726579081,0.0283,99.09,1.0,0.991,0.241,93.86,0.995,0.923
39,0.030968942754571478,0.0311,99.04,1.0,0.99,0.2225,94.22,0.995,0.921
40,0.027630728614386372,0.027,99.12,1.0,0.991,0.2092,93.94,0.996,0.921
41,0.025399262347595774,0.0269,99.14,1.0,0.991,0.2452,92.56,0.994,0.908
42,0.025055835278885018,0.0269,99.14,1.0,0.991,0.2256,93.56,0.995,0.919
43,0.022668604083078844,0.0261,99.14,1.0,0.991,0.263,92.61,0.993,0.903
44,0.021814525908520146,0.026,99.16,1.0,0.991,0.2393,93.32,0.995,0.917
45,0.02125307056038076,0.0251,99.21,1.0,0.992,0.2331,93.81,0.995,0.919
46,0.02024528209293615,0.0239,99.21,1.0,0.992,0.2381,93.35,0.995,0.916
47,0.019936098132990167,0.0237,99.23,1.0,0.992,0.2386,93.32,0.995,0.914
48,0.018878066333137638,0.0232,99.26,1.0,0.992,0.2324,93.49,0.995,0.916
49,0.018874995542296265,0.0233,99.25,1.0,0.992,0.2378,93.26,0.995,0.912
