epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3278062376711104,1.6255,61.74,0.868,0.619,2.5812,50.36,0.737,0.445
1,1.0635735317263553,0.7916,73.13,0.959,0.728,1.4573,63.05,0.852,0.578
2,0.5278107038962798,0.4,86.82,0.991,0.863,0.7887,77.85,0.972,0.733
3,0.3862676009749426,0.2934,90.11,0.994,0.901,0.5126,86.64,0.974,0.817
4,0.2589972172880472,0.1673,94.39,0.997,0.943,0.5649,86.5,0.959,0.823
5,0.20282296027227115,0.1398,95.37,0.998,0.953,0.3288,87.35,0.988,0.821
6,0.18536433026087754,0.1225,96.11,0.998,0.961,0.4283,85.85,0.985,0.802
7,0.1591198811287521,0.1323,95.86,0.998,0.958,0.2976,90.16,0.99,0.859
8,0.16764908550327184,0.1294,95.75,0.999,0.957,0.4034,86.09,0.986,0.814
9,0.142790829562532,0.0975,96.78,0.999,0.967,0.2421,92.01,0.994,0.89
10,0.12980483297432197,0.1942,93.39,0.998,0.935,0.3962,87.21,0.989,0.812
11,0.12119418145641417,0.0801,97.61,0.999,0.976,0.2338,92.01,0.994,0.896
12,0.11638940574340922,0.0948,96.9,0.999,0.969,0.2741,90.6,0.993,0.883
13,0.11124881222430202,0.0768,97.67,0.999,0.977,0.3606,88.99,0.988,0.836
14,0.10749503505820121,0.08,97.44,0.999,0.974,0.2878,90.29,0.992,0.867
15,0.10887517547401797,0.0968,97.18,0.999,0.971,0.3405,90.29,0.993,0.878
16,0.09862602700889912,0.0723,97.81,0.999,0.978,0.3121,90.16,0.993,0.872
17,0.09501879990741771,0.075,97.56,0.999,0.975,0.3178,89.01,0.992,0.853
18,0.08870816294864942,0.0766,97.55,0.999,0.975,0.3964,87.76,0.991,0.841
19,0.08671462255293057,0.0796,97.52,0.999,0.975,0.3104,90.05,0.992,0.862
20,0.08323951130799656,0.0753,97.63,0.999,0.976,0.3003,90.12,0.992,0.864
21,0.08007027425779878,0.0826,97.41,0.999,0.974,0.3183,90.45,0.989,0.847
22,0.07859268450214925,0.065,97.98,1.0,0.979,0.3397,90.95,0.992,0.859
23,0.0754177014320074,0.0561,98.25,1.0,0.982,0.3719,90.59,0.987,0.861
24,0.06944449379118861,0.0617,97.98,1.0,0.979,0.291,91.54,0.991,0.867
25,0.0656854613286887,0.065,98.08,1.0,0.98,0.3142,91.47,0.991,0.879
26,0.06324482136355933,0.0561,98.23,1.0,0.982,0.2368,92.86,0.995,0.903
27,0.060654603418857395,0.0505,98.51,1.0,0.985,0.2971,90.89,0.992,0.867
28,0.059301689822947784,0.0634,98.06,1.0,0.981,0.3762,89.48,0.99,0.849
29,0.052621334929713534,0.0613,98.02,1.0,0.98,0.3747,90.38,0.991,0.86
30,0.050463620898744434,0.0435,98.69,1.0,0.987,0.5134,89.29,0.983,0.857
31,0.04996774410228095,0.0521,98.3,1.0,0.983,0.3356,90.67,0.993,0.866
32,0.045530114955465745,0.042,98.76,1.0,0.987,0.3569,90.4,0.992,0.878
33,0.040704886862961406,0.0407,98.81,1.0,0.988,0.261,91.98,0.995,0.883
34,0.03843190511321402,0.0322,98.9,1.0,0.989,0.5224,91.77,0.971,0.873
35,0.03707218008436343,0.0317,99.02,1.0,0.99,0.5626,90.15,0.971,0.858
36,0.03270916925329301,0.0379,98.84,1.0,0.988,0.4859,90.46,0.98,0.864
37,0.030066879668129494,0.0309,99.06,1.0,0.99,0.4682,90.75,0.977,0.867
38,0.027170079980566298,0.0292,99.08,1.0,0.991,0.5299,91.46,0.969,0.878
39,0.024970817625001872,0.0259,99.19,1.0,0.992,0.5752,91.77,0.966,0.873
40,0.02251688168153808,0.0271,99.18,1.0,0.992,0.5145,91.16,0.974,0.87
41,0.022061797633339854,0.0247,99.21,1.0,0.992,0.5951,91.06,0.964,0.869
42,0.020867211944473687,0.024,99.26,1.0,0.993,0.6005,90.81,0.964,0.868
43,0.01855862886881903,0.0251,99.27,1.0,0.993,0.6197,90.68,0.963,0.864
44,0.01745060430572612,0.024,99.26,1.0,0.992,0.5258,91.03,0.974,0.869
45,0.016813174607799686,0.0234,99.31,1.0,0.993,0.5977,91.3,0.964,0.873
46,0.015537420673275827,0.0229,99.32,1.0,0.993,0.5798,91.05,0.968,0.87
47,0.01601507924797554,0.023,99.3,1.0,0.993,0.5805,91.08,0.968,0.87
48,0.014948914506836497,0.0224,99.31,1.0,0.993,0.5642,91.03,0.969,0.869
49,0.015796124920128815,0.0223,99.31,1.0,0.993,0.5842,90.98,0.967,0.869
