epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.691750769974083,1.403,43.34,0.83,0.4,1.3776,42.55,0.811,0.339
1,1.5319434825237506,1.242,56.58,0.91,0.542,1.3368,53.1,0.898,0.481
2,0.887179273110564,0.6455,75.05,0.967,0.736,0.7048,74.48,0.964,0.681
3,0.6079345869441186,0.4794,83.24,0.981,0.834,0.6533,78.81,0.962,0.741
4,0.447837151026213,0.3569,86.96,0.987,0.872,0.4048,84.11,0.982,0.788
5,0.37611284189754063,0.3168,89.16,0.993,0.889,0.5055,81.67,0.985,0.789
6,0.3349518071739904,0.3298,88.83,0.992,0.886,0.4339,85.13,0.982,0.8
7,0.30701011705035375,0.1863,93.69,0.996,0.936,0.3313,88.17,0.987,0.837
8,0.2840348112807479,0.215,92.77,0.996,0.927,0.3322,87.49,0.987,0.842
9,0.26766421701959386,0.2305,92.35,0.995,0.922,0.4369,83.85,0.98,0.81
10,0.2559808949576057,0.4036,87.42,0.991,0.858,0.511,82.58,0.985,0.769
11,0.24172623233876347,0.1841,94.03,0.997,0.94,0.514,83.75,0.979,0.793
12,0.23085709781416,0.1865,93.62,0.997,0.934,0.3309,88.44,0.989,0.837
13,0.224868398867414,0.1374,95.64,0.998,0.956,0.2578,90.84,0.991,0.881
14,0.21778964627814548,0.1312,95.63,0.998,0.956,0.2878,90.05,0.99,0.868
15,0.20636498279148532,0.1589,94.83,0.997,0.946,0.4156,85.95,0.985,0.816
16,0.19971877713036792,0.1954,93.16,0.997,0.93,0.3226,89.06,0.991,0.838
17,0.19359038328237857,0.1326,95.64,0.998,0.956,0.3324,88.2,0.988,0.857
18,0.18289119910488846,0.1685,94.58,0.997,0.944,0.4794,84.45,0.982,0.814
19,0.18249655346716603,0.1434,95.45,0.998,0.954,0.3422,88.68,0.987,0.862
20,0.177197238076545,0.1246,95.87,0.999,0.958,0.2781,90.86,0.989,0.871
21,0.16801122681481437,0.0964,96.88,0.999,0.969,0.2944,91.11,0.989,0.877
22,0.1657465297368265,0.0988,96.77,0.999,0.967,0.2754,90.59,0.99,0.869
23,0.16029238139402696,0.1117,96.2,0.999,0.962,0.2421,91.65,0.991,0.881
24,0.1534960092609501,0.0909,97.08,0.999,0.97,0.2744,91.13,0.991,0.874
25,0.1481235540842497,0.0871,97.13,0.999,0.971,0.2708,91.82,0.989,0.888
26,0.14294196902957867,0.0945,96.81,0.999,0.966,0.3568,87.62,0.991,0.856
27,0.1381155194641228,0.1091,96.45,0.999,0.964,0.2973,90.34,0.99,0.86
28,0.13259125362721183,0.0908,97.08,0.999,0.97,0.3798,87.81,0.988,0.846
29,0.12655782718945788,0.0899,97.16,0.999,0.971,0.3785,88.9,0.989,0.865
30,0.12102041360805325,0.0744,97.62,0.999,0.976,0.3079,90.87,0.991,0.883
31,0.11974207062180751,0.0667,98.02,0.999,0.98,0.3183,90.98,0.99,0.879
32,0.11245275738792608,0.0799,97.38,0.999,0.973,0.3745,89.26,0.987,0.862
33,0.1045821720340346,0.0673,97.96,0.999,0.979,0.2879,91.41,0.991,0.886
34,0.10338309824159603,0.0634,98.09,1.0,0.98,0.3044,89.99,0.993,0.861
35,0.09779249833843347,0.0669,97.82,1.0,0.978,0.2802,92.45,0.99,0.896
36,0.09209412167276051,0.0557,98.31,1.0,0.983,0.3495,91.2,0.987,0.883
37,0.08806094920469655,0.0557,98.34,1.0,0.983,0.3165,92.15,0.99,0.895
38,0.08400577897419585,0.0507,98.36,1.0,0.983,0.3155,91.52,0.99,0.89
39,0.07959662499340205,0.057,98.24,1.0,0.982,0.2628,91.88,0.992,0.887
40,0.07645323988230478,0.0469,98.44,1.0,0.984,0.2222,92.8,0.994,0.904
41,0.07150414324362218,0.0419,98.69,1.0,0.987,0.2844,91.73,0.992,0.893
42,0.06852566676821867,0.0432,98.65,1.0,0.986,0.294,91.65,0.992,0.894
43,0.06656451191499456,0.0432,98.66,1.0,0.986,0.3054,91.28,0.991,0.89
44,0.06464671126089483,0.0418,98.66,1.0,0.986,0.2668,91.73,0.992,0.889
45,0.06247454223066141,0.0406,98.74,1.0,0.987,0.2571,92.18,0.993,0.898
46,0.061731778771205933,0.0379,98.8,1.0,0.988,0.2834,92.26,0.992,0.898
47,0.05875911269216768,0.0384,98.8,1.0,0.988,0.277,92.31,0.992,0.899
48,0.05746518945368174,0.0381,98.85,1.0,0.988,0.2769,92.31,0.992,0.899
49,0.06081465031203937,0.0384,98.83,1.0,0.988,0.2775,92.34,0.992,0.9
