epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7370514859008106,1.3625,46.35,0.834,0.429,1.3012,49.69,0.81,0.42
1,1.521453500541735,1.0479,60.51,0.917,0.595,1.1525,59.01,0.916,0.545
2,0.8470695436962189,0.6128,77.55,0.971,0.76,0.6891,75.43,0.967,0.666
3,0.5802608997056988,0.4628,83.43,0.983,0.836,0.4664,81.94,0.981,0.779
4,0.4583795072250469,0.3443,88.1,0.989,0.882,0.4737,80.91,0.983,0.774
5,0.39459056930623176,0.3152,88.53,0.991,0.883,0.4904,82.22,0.978,0.754
6,0.35624094000319856,0.3027,89.19,0.993,0.893,0.459,82.55,0.983,0.781
7,0.32416253825349195,0.2136,92.74,0.996,0.928,0.3872,85.98,0.986,0.833
8,0.301576520913818,0.2266,92.27,0.995,0.923,0.4164,86.59,0.983,0.832
9,0.2853911992389455,0.2599,91.59,0.994,0.912,0.5362,81.76,0.977,0.773
10,0.27438467638199904,0.2937,89.4,0.994,0.887,0.3549,88.28,0.987,0.822
11,0.25858557277682864,0.173,94.13,0.997,0.941,0.3628,88.03,0.984,0.839
12,0.2512331699358306,0.1963,93.16,0.997,0.93,0.3679,87.07,0.985,0.828
13,0.24029057352773606,0.1911,93.82,0.997,0.938,0.4752,83.91,0.981,0.8
14,0.23262221717332426,0.1483,95.07,0.997,0.951,0.3395,88.79,0.987,0.857
15,0.22439565078278595,0.2278,92.28,0.996,0.922,0.5413,82.74,0.98,0.793
16,0.21801824452468999,0.2822,90.32,0.996,0.899,0.3729,87.73,0.984,0.808
17,0.2084505435573371,0.1235,96.0,0.998,0.96,0.4224,87.0,0.981,0.824
18,0.20377994687913994,0.1514,95.06,0.998,0.95,0.3832,87.75,0.986,0.848
19,0.19821778549996327,0.1371,95.59,0.998,0.956,0.3584,88.84,0.987,0.863
20,0.18758605170901532,0.1724,94.11,0.998,0.939,0.3054,90.18,0.989,0.86
21,0.18482803749621554,0.1046,96.62,0.999,0.966,0.355,88.65,0.986,0.843
22,0.17822512654474132,0.0986,96.93,0.999,0.969,0.3294,89.15,0.987,0.853
23,0.17366467660633467,0.111,96.42,0.999,0.964,0.4121,87.48,0.981,0.845
24,0.16379278375496786,0.1109,96.37,0.999,0.963,0.4614,85.33,0.983,0.817
25,0.16289671526480748,0.098,96.98,0.999,0.969,0.2735,90.46,0.991,0.876
26,0.15410872346531318,0.1369,95.52,0.998,0.954,0.313,89.47,0.989,0.855
27,0.14916114233380792,0.0921,97.12,0.999,0.971,0.3223,89.75,0.987,0.855
28,0.14453938355048498,0.0954,96.78,0.999,0.968,0.2826,90.68,0.99,0.866
29,0.14035829162645724,0.1649,94.91,0.998,0.949,0.5378,85.93,0.98,0.816
30,0.13438920612617206,0.0862,97.25,0.999,0.973,0.3462,88.92,0.987,0.847
31,0.12999118566780107,0.0818,97.43,0.999,0.974,0.3371,89.64,0.986,0.854
32,0.1211512953403496,0.0917,97.06,0.999,0.969,0.4479,87.98,0.985,0.846
33,0.11673736712464722,0.0787,97.46,0.999,0.974,0.2416,91.88,0.992,0.89
34,0.1130994411058537,0.0692,97.79,0.999,0.978,0.2893,90.84,0.991,0.88
35,0.10734025950086266,0.0687,97.92,0.999,0.979,0.3285,90.83,0.988,0.877
36,0.10131905294661027,0.0708,97.84,0.999,0.978,0.3444,90.73,0.987,0.883
37,0.09472666511238689,0.0661,97.9,1.0,0.979,0.305,89.72,0.99,0.861
38,0.0934157346936083,0.0634,98.06,1.0,0.98,0.3372,90.07,0.988,0.868
39,0.08660199171379476,0.0554,98.23,1.0,0.982,0.2816,90.98,0.991,0.883
40,0.08464900836328505,0.0534,98.33,1.0,0.983,0.2841,91.92,0.991,0.889
41,0.07990025512967593,0.0522,98.32,1.0,0.983,0.3506,89.75,0.988,0.865
42,0.0768017098691488,0.051,98.4,1.0,0.984,0.285,92.15,0.99,0.892
43,0.07397225102589976,0.0493,98.52,1.0,0.985,0.3031,90.83,0.991,0.879
44,0.0706228266143003,0.0464,98.55,1.0,0.985,0.3202,91.08,0.989,0.882
45,0.06668544940543644,0.047,98.5,1.0,0.985,0.331,90.53,0.989,0.874
46,0.06748326234252436,0.0444,98.56,1.0,0.985,0.3276,91.35,0.989,0.886
47,0.0643302074560101,0.0443,98.64,1.0,0.986,0.3096,91.62,0.99,0.888
48,0.06535154318864253,0.0443,98.61,1.0,0.986,0.3045,91.65,0.99,0.888
49,0.0630993871352098,0.0441,98.62,1.0,0.986,0.3104,91.49,0.99,0.886
