epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.0118764017217903,0.6698,75.58,0.963,0.749,2.7467,36.98,0.698,0.336
1,1.1122985755670882,0.8662,70.23,0.945,0.688,2.3994,30.16,0.76,0.294
2,0.8709133517891703,0.7957,69.63,0.957,0.693,3.0116,26.94,0.756,0.3
3,0.7284843917922734,1.4982,72.47,0.949,0.678,3.0581,34.15,0.826,0.282
4,0.4774152361470739,0.228,92.7,0.995,0.926,0.8989,75.95,0.927,0.679
5,0.3407095379085951,0.2297,92.54,0.996,0.925,0.7462,71.8,0.97,0.666
6,0.29892257249189746,0.1556,95.16,0.997,0.951,0.5371,79.69,0.97,0.74
7,0.249625300040542,0.2145,92.4,0.997,0.921,0.5902,80.81,0.975,0.739
8,0.22992565329971065,0.1737,94.78,0.998,0.945,0.4261,87.02,0.977,0.824
9,0.22332146984448248,0.1998,93.44,0.997,0.934,0.5932,80.26,0.969,0.727
10,0.2013180970604862,0.1723,94.28,0.998,0.944,0.5698,79.39,0.975,0.73
11,0.19173471070826054,0.2154,93.13,0.998,0.93,0.5651,82.36,0.978,0.732
12,0.20310915380676267,0.1686,94.51,0.998,0.944,0.4758,83.96,0.978,0.786
13,0.18950847846098698,0.1957,93.73,0.997,0.936,0.4494,86.97,0.987,0.828
14,0.18789307668297736,0.1482,95.22,0.998,0.952,0.384,88.16,0.988,0.835
15,0.17457661154850196,0.1194,96.44,0.998,0.963,0.3085,89.33,0.989,0.853
16,0.1708456870155095,0.1712,93.88,0.998,0.938,0.4217,86.28,0.986,0.816
17,0.1693200027189588,0.1421,95.43,0.998,0.953,0.2795,89.61,0.991,0.868
18,0.16013770884630607,0.1425,95.24,0.998,0.95,0.307,88.87,0.991,0.861
19,0.1634047864018322,0.1455,95.07,0.998,0.951,0.2673,90.32,0.99,0.849
20,0.14348335288411615,0.1214,96.02,0.998,0.96,0.4145,86.85,0.989,0.823
21,0.14773940248915585,0.1299,95.82,0.998,0.957,0.3091,90.37,0.99,0.872
22,0.13793491551278686,0.0989,96.7,0.999,0.967,0.256,91.54,0.991,0.884
23,0.13172638899810266,0.1113,96.37,0.999,0.963,0.3195,89.67,0.993,0.866
24,0.13038217770202773,0.1002,96.89,0.999,0.969,0.3289,89.58,0.991,0.859
25,0.12243636062962927,0.1003,96.78,0.999,0.967,0.3581,88.0,0.99,0.829
26,0.11800552511213874,0.0948,96.82,0.999,0.966,0.3078,88.87,0.99,0.848
27,0.11381072446864138,0.072,97.68,0.999,0.976,0.2427,91.88,0.994,0.888
28,0.10761909063498233,0.0751,97.55,0.999,0.975,0.2697,91.55,0.991,0.881
29,0.10035385573983834,0.0786,97.46,0.999,0.974,0.3436,88.49,0.99,0.845
30,0.09610759122898022,0.0674,97.9,0.999,0.979,0.2476,92.72,0.993,0.9
31,0.09111816135124974,0.0813,97.38,0.999,0.974,0.4146,87.94,0.988,0.837
32,0.08259617530917715,0.0656,97.92,1.0,0.979,0.2712,91.46,0.992,0.889
33,0.07952898056129508,0.0647,98.01,1.0,0.98,0.2639,92.22,0.993,0.897
34,0.07465260769624436,0.0537,98.31,1.0,0.983,0.3291,91.13,0.99,0.88
35,0.0719123689814948,0.0503,98.46,1.0,0.984,0.2682,92.85,0.993,0.902
36,0.06742754726133253,0.0534,98.29,1.0,0.983,0.254,92.7,0.993,0.901
37,0.05798557848005312,0.0491,98.46,1.0,0.984,0.2929,92.52,0.991,0.899
38,0.05353934525789219,0.0418,98.7,1.0,0.987,0.2692,93.08,0.992,0.905
39,0.050064202830342304,0.0458,98.6,1.0,0.986,0.2549,92.86,0.993,0.908
40,0.04357417037970917,0.0387,98.79,1.0,0.988,0.2651,93.04,0.992,0.905
41,0.040179673904439564,0.0348,98.98,1.0,0.99,0.2475,92.63,0.994,0.899
42,0.03752853931345072,0.0286,99.14,1.0,0.991,0.285,91.52,0.992,0.882
43,0.032306859253047826,0.0327,99.04,1.0,0.99,0.2655,91.09,0.993,0.875
44,0.02697695344586366,0.0306,99.07,1.0,0.991,0.3305,90.26,0.99,0.863
45,0.025721844634555253,0.0271,99.19,1.0,0.992,0.3319,90.15,0.99,0.86
46,0.023228699973981335,0.0334,98.98,1.0,0.99,0.3033,91.57,0.991,0.885
47,0.020925764645379718,0.0251,99.25,1.0,0.992,0.3413,90.23,0.989,0.865
48,0.018400394502947087,0.0244,99.26,1.0,0.992,0.379,89.45,0.987,0.849
49,0.015934141037324743,0.022,99.35,1.0,0.993,0.5437,88.77,0.974,0.833
