epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.0011033165839411,0.6545,76.83,0.963,0.759,3.4073,24.03,0.653,0.229
1,1.1359619145752282,1.4087,55.55,0.887,0.543,1.9995,45.11,0.768,0.395
2,0.8895858523559399,0.4826,82.3,0.982,0.817,2.2773,39.22,0.794,0.39
3,0.6470259542854029,0.4009,85.13,0.987,0.848,2.2285,29.46,0.818,0.308
4,0.5155038563367714,0.2274,92.56,0.995,0.926,0.6521,80.58,0.955,0.719
5,0.4073089750410194,0.4122,85.74,0.991,0.862,0.8844,68.1,0.951,0.636
6,0.350966631938907,0.2241,92.65,0.996,0.924,0.4498,83.56,0.975,0.768
7,0.29546815068143883,0.2561,90.61,0.994,0.904,0.5382,79.96,0.979,0.742
8,0.27487345268168756,0.1726,94.4,0.997,0.943,0.4887,83.04,0.973,0.769
9,0.26131939227061884,0.2417,92.43,0.996,0.924,0.6325,76.57,0.97,0.713
10,0.24400670181853049,0.1681,94.32,0.997,0.943,0.3951,85.32,0.983,0.797
11,0.2332751848000539,0.1357,95.66,0.998,0.956,0.5746,80.5,0.98,0.733
12,0.24752544169397658,0.2615,91.34,0.995,0.915,0.8901,74.14,0.968,0.675
13,0.23786455283348706,0.223,92.22,0.997,0.922,0.3839,86.63,0.986,0.823
14,0.23397607956829358,0.1779,94.34,0.997,0.943,0.3895,87.02,0.989,0.828
15,0.2221490912286291,0.1767,94.22,0.997,0.94,0.4321,84.24,0.984,0.812
16,0.22057488693865718,0.1541,94.78,0.998,0.948,0.5417,81.18,0.983,0.758
17,0.2197399994485267,0.1524,94.94,0.997,0.95,0.2767,89.82,0.99,0.866
18,0.20371290952581445,0.1227,95.83,0.998,0.958,0.2499,90.78,0.992,0.879
19,0.20396024770500626,0.2204,92.48,0.996,0.922,0.3837,85.43,0.988,0.803
20,0.19004093039126593,0.1281,95.88,0.998,0.958,0.2245,91.55,0.993,0.885
21,0.19280851113286177,0.1325,95.69,0.998,0.957,0.2815,89.59,0.993,0.862
22,0.1810376074358714,0.1228,96.0,0.998,0.96,0.2505,90.35,0.992,0.877
23,0.17996098131181731,0.1148,96.23,0.999,0.962,0.3152,88.3,0.989,0.841
24,0.17427612127282233,0.112,96.58,0.999,0.965,0.3155,89.93,0.989,0.869
25,0.16158418742252187,0.105,96.55,0.999,0.966,0.2483,91.43,0.993,0.887
26,0.15800696984267257,0.1169,96.25,0.998,0.962,0.3071,90.23,0.989,0.866
27,0.14933084966748367,0.0913,97.08,0.999,0.971,0.2756,89.82,0.992,0.855
28,0.14148336993096444,0.1036,96.59,0.999,0.966,0.2373,91.32,0.993,0.876
29,0.13405394398417042,0.1005,96.77,0.999,0.967,0.3805,87.45,0.989,0.841
30,0.13340198635674452,0.094,97.09,0.999,0.97,0.3011,90.49,0.99,0.875
31,0.12301007748204267,0.1041,96.61,0.999,0.966,0.2977,90.92,0.991,0.869
32,0.11560556584949135,0.0726,97.65,0.999,0.976,0.3323,88.87,0.991,0.84
33,0.10825909071311515,0.0816,97.26,0.999,0.972,0.2978,90.27,0.992,0.862
34,0.10080777533439166,0.0792,97.5,0.999,0.975,0.3062,90.81,0.989,0.884
35,0.09950627832202821,0.0669,97.86,0.999,0.978,0.2257,92.09,0.993,0.889
36,0.09185557616006676,0.0622,97.95,1.0,0.979,0.3185,90.29,0.99,0.866
37,0.08005148472638274,0.0688,97.69,1.0,0.977,0.394,88.87,0.988,0.849
38,0.07465214708713167,0.0536,98.27,1.0,0.982,0.3035,90.4,0.992,0.863
39,0.07264410055452777,0.0518,98.32,1.0,0.983,0.2504,92.03,0.992,0.886
40,0.06098163165118692,0.054,98.25,1.0,0.982,0.3155,90.87,0.988,0.876
41,0.05563264886938756,0.0364,98.79,1.0,0.988,0.2947,91.57,0.991,0.884
42,0.050766356846845065,0.0324,98.98,1.0,0.99,0.3557,90.53,0.986,0.863
43,0.04404150461944949,0.0373,98.75,1.0,0.987,0.3626,89.22,0.987,0.845
44,0.036783462021446466,0.03,99.03,1.0,0.99,0.3817,89.69,0.985,0.849
45,0.03414339478892077,0.024,99.26,1.0,0.992,0.4242,88.65,0.985,0.83
46,0.031908266296389924,0.0371,98.7,1.0,0.987,0.3389,90.43,0.988,0.862
47,0.026004976699776333,0.0232,99.26,1.0,0.992,0.4602,88.5,0.983,0.828
48,0.02248801841103475,0.0217,99.31,1.0,0.993,0.5191,87.87,0.981,0.821
49,0.018967951002020027,0.0203,99.34,1.0,0.993,0.5413,87.7,0.981,0.817
