epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.0370778038723922,0.7583,72.3,0.956,0.715,2.9712,22.45,0.676,0.227
1,1.185493535358846,1.7126,51.03,0.873,0.457,2.4913,38.15,0.738,0.29
2,1.0127487512151827,0.6224,77.15,0.973,0.768,1.9841,42.68,0.777,0.416
3,0.7564921089344554,0.6292,77.39,0.972,0.763,1.4317,47.56,0.852,0.475
4,0.5705921124386532,0.3562,88.64,0.99,0.88,0.8358,70.52,0.944,0.665
5,0.45360346704614635,0.3695,86.59,0.991,0.869,0.6302,74.97,0.968,0.671
6,0.3954257063140365,0.2296,92.33,0.996,0.922,0.3734,85.87,0.987,0.807
7,0.35913536320423783,0.3697,86.96,0.99,0.864,0.4571,83.69,0.98,0.761
8,0.32641914300620556,0.304,90.22,0.993,0.9,0.4458,83.55,0.98,0.782
9,0.31568837471600075,0.2027,93.08,0.996,0.931,0.3568,86.86,0.986,0.832
10,0.29937433240447847,0.4518,85.42,0.993,0.85,0.8502,77.67,0.974,0.659
11,0.2931233711447233,0.1805,94.34,0.997,0.943,0.4175,84.65,0.988,0.802
12,0.2929488862146987,0.3015,90.16,0.993,0.897,0.6068,78.7,0.976,0.742
13,0.27767952253180805,0.1994,93.61,0.996,0.935,0.3219,88.24,0.987,0.849
14,0.27368085780665014,0.1446,95.3,0.998,0.953,0.3025,89.67,0.99,0.861
15,0.26175751371182315,0.1444,95.31,0.998,0.953,0.3289,88.43,0.989,0.847
16,0.2564736758642513,0.1534,95.12,0.998,0.95,0.3943,86.26,0.984,0.83
17,0.25065847778005196,0.1458,95.1,0.998,0.951,0.2175,91.68,0.993,0.889
18,0.23921383509419084,0.1266,95.85,0.998,0.958,0.2292,92.03,0.992,0.888
19,0.2397189378591528,0.2671,90.74,0.996,0.906,0.4349,84.29,0.987,0.789
20,0.23079694943055243,0.1505,95.09,0.998,0.949,0.2988,89.61,0.989,0.869
21,0.22225081325111423,0.1317,95.67,0.998,0.956,0.2836,89.66,0.991,0.858
22,0.21362398556804144,0.1121,96.39,0.999,0.964,0.2151,91.82,0.994,0.888
23,0.20788998805039885,0.1177,96.23,0.998,0.962,0.2567,90.79,0.99,0.876
24,0.20368056063370038,0.1018,96.83,0.999,0.968,0.2316,92.47,0.992,0.9
25,0.1909304233301284,0.1133,96.09,0.998,0.961,0.2222,91.96,0.992,0.892
26,0.18470887892535723,0.1444,95.36,0.998,0.953,0.3905,88.11,0.983,0.859
27,0.17665035278272673,0.1003,96.66,0.999,0.966,0.2227,91.3,0.993,0.873
28,0.1687769031679545,0.1517,94.89,0.998,0.948,0.2768,89.99,0.991,0.874
29,0.1643541160316664,0.0932,97.17,0.999,0.971,0.2585,91.52,0.991,0.891
30,0.15829508166800263,0.1025,96.71,0.999,0.967,0.2419,91.79,0.992,0.889
31,0.14913996763020007,0.0937,96.95,0.999,0.969,0.2985,90.34,0.991,0.858
32,0.1418700145564199,0.084,97.08,0.999,0.971,0.2454,91.16,0.992,0.873
33,0.1309811747466017,0.0799,97.34,0.999,0.973,0.2293,92.78,0.993,0.9
34,0.12444633878033114,0.068,97.83,0.999,0.978,0.2074,92.77,0.994,0.9
35,0.11991961372141663,0.0677,97.86,0.999,0.978,0.2151,92.61,0.994,0.898
36,0.11329906850746135,0.0628,97.96,0.999,0.979,0.2078,93.13,0.993,0.901
37,0.10007477389301397,0.0558,98.25,1.0,0.982,0.2435,92.5,0.992,0.901
38,0.09097972425288357,0.0494,98.41,1.0,0.984,0.227,92.94,0.993,0.902
39,0.09006737440817833,0.0527,98.27,1.0,0.983,0.2309,93.02,0.992,0.899
40,0.08061505942254939,0.044,98.53,1.0,0.985,0.2294,93.18,0.992,0.904
41,0.07121846220526164,0.0457,98.48,1.0,0.985,0.21,92.89,0.994,0.905
42,0.06425204131365037,0.0392,98.65,1.0,0.986,0.1762,94.38,0.995,0.92
43,0.05875938792970018,0.0399,98.69,1.0,0.987,0.1809,94.38,0.995,0.921
44,0.05055733832220236,0.0354,98.86,1.0,0.988,0.1995,94.44,0.994,0.921
45,0.045948625690767735,0.0359,98.86,1.0,0.988,0.1724,94.73,0.995,0.925
46,0.04362997995175448,0.0345,98.92,1.0,0.989,0.1949,94.36,0.994,0.921
47,0.03786567758141239,0.033,98.95,1.0,0.989,0.1949,94.46,0.994,0.923
48,0.0335376298699301,0.0324,98.97,1.0,0.989,0.1955,94.46,0.994,0.922
49,0.028618177575957176,0.0319,99.0,1.0,0.99,0.1991,94.43,0.994,0.921
