epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.040329691543374,0.7205,73.33,0.958,0.728,3.1549,19.07,0.64,0.204
1,1.1707611638371662,1.7537,53.08,0.873,0.476,3.2228,17.34,0.691,0.197
2,0.9290856841858143,0.7435,71.79,0.966,0.713,2.1811,31.86,0.805,0.315
3,0.7199354118877842,0.5113,80.41,0.984,0.794,1.0922,56.07,0.903,0.503
4,0.5218505438243617,0.2174,92.79,0.995,0.927,0.6512,80.06,0.957,0.73
5,0.4124813839045477,0.4449,83.94,0.989,0.841,0.677,73.61,0.977,0.667
6,0.35285825579423846,0.2295,92.49,0.996,0.921,0.3924,86.15,0.983,0.802
7,0.3248691651102249,0.3131,88.75,0.992,0.884,0.4825,83.64,0.979,0.775
8,0.3012143205684413,0.2254,92.58,0.995,0.926,0.3167,88.28,0.988,0.839
9,0.2967436741503443,0.2165,92.49,0.996,0.925,0.3438,86.89,0.988,0.831
10,0.3016363123839047,0.1938,93.25,0.997,0.931,0.2751,90.02,0.991,0.847
11,0.2862009842576306,0.1775,93.96,0.997,0.94,0.3398,86.64,0.985,0.809
12,0.28519110840254575,0.1809,94.19,0.997,0.943,0.3547,87.57,0.99,0.843
13,0.2600476098877768,0.1451,95.36,0.998,0.953,0.3035,88.36,0.99,0.824
14,0.2603075455433579,0.1333,95.77,0.998,0.958,0.2677,90.37,0.992,0.873
15,0.25087277227712257,0.1248,95.98,0.998,0.959,0.3127,88.25,0.989,0.844
16,0.24169385269631408,0.1391,95.36,0.998,0.954,0.3498,88.06,0.986,0.833
17,0.24460146194290516,0.2092,92.52,0.997,0.923,0.2128,92.1,0.995,0.89
18,0.23466647441722585,0.1301,95.72,0.998,0.957,0.2325,91.36,0.993,0.881
19,0.22926368719253917,0.1419,95.16,0.998,0.951,0.2057,92.33,0.993,0.896
20,0.21690542023882645,0.1119,96.4,0.999,0.964,0.2703,90.9,0.992,0.876
21,0.21497029378529517,0.1069,96.52,0.999,0.965,0.2368,92.26,0.995,0.895
22,0.20468329888598252,0.1622,94.68,0.998,0.947,0.3147,88.79,0.989,0.857
23,0.20180828225094571,0.103,96.5,0.999,0.965,0.2117,91.92,0.993,0.895
24,0.19402069024955287,0.1007,96.63,0.999,0.966,0.2041,92.82,0.993,0.903
25,0.18538542404290168,0.1281,95.58,0.998,0.956,0.2255,91.98,0.993,0.895
26,0.18017633229921368,0.1107,96.13,0.999,0.96,0.2304,92.06,0.994,0.902
27,0.1758932488900359,0.1005,96.65,0.999,0.966,0.2482,91.0,0.993,0.876
28,0.16571481664761847,0.1139,96.07,0.999,0.96,0.19,93.65,0.996,0.915
29,0.15984865362125059,0.1017,96.68,0.999,0.967,0.3443,89.78,0.989,0.864
30,0.15079493203123623,0.1243,95.72,0.999,0.956,0.2822,88.68,0.994,0.851
31,0.1451284189885449,0.095,97.05,0.999,0.97,0.1872,93.21,0.995,0.904
32,0.1358660357373376,0.0745,97.55,0.999,0.975,0.1773,93.49,0.996,0.914
33,0.12828533431368222,0.0718,97.67,0.999,0.976,0.1666,94.06,0.996,0.916
34,0.11866876786394466,0.059,98.06,1.0,0.98,0.2169,92.72,0.994,0.903
35,0.1156507529832396,0.0621,97.89,1.0,0.978,0.1842,93.49,0.996,0.914
36,0.10961196546552963,0.0509,98.34,1.0,0.983,0.2191,91.84,0.995,0.883
37,0.09834888724670295,0.0522,98.3,1.0,0.983,0.2473,92.89,0.992,0.905
38,0.08734492440524387,0.0499,98.44,1.0,0.984,0.2198,92.86,0.994,0.901
39,0.08611628477959009,0.0474,98.49,1.0,0.984,0.1815,94.24,0.996,0.92
40,0.07663051795888705,0.043,98.62,1.0,0.986,0.1663,94.43,0.996,0.923
41,0.06947877424632243,0.0415,98.66,1.0,0.986,0.1589,94.71,0.996,0.926
42,0.062471570201738866,0.0359,98.84,1.0,0.988,0.1655,94.73,0.996,0.926
43,0.05784646049475691,0.0366,98.85,1.0,0.988,0.1514,95.01,0.996,0.931
44,0.0501446128141896,0.0327,98.91,1.0,0.989,0.1548,94.85,0.996,0.929
45,0.044229508804885076,0.0314,98.97,1.0,0.99,0.1517,94.9,0.997,0.929
46,0.04057622659370624,0.0309,99.03,1.0,0.99,0.1645,94.46,0.996,0.925
47,0.03680455758266391,0.0301,99.03,1.0,0.99,0.1625,94.62,0.996,0.927
48,0.03292352701186813,0.0294,99.08,1.0,0.991,0.16,94.85,0.996,0.929
49,0.02785399820869221,0.0295,99.08,1.0,0.991,0.1584,94.8,0.996,0.929
