epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8051040779305187,1.5873,40.4,0.804,0.332,1.5889,44.32,0.767,0.325
1,1.640221726937106,1.8457,39.03,0.843,0.366,2.059,37.87,0.853,0.389
2,1.011584631110605,0.593,77.98,0.971,0.775,0.7461,72.94,0.948,0.685
3,0.7131639085042434,0.5321,80.57,0.98,0.807,0.5727,78.07,0.969,0.731
4,0.5915534885126202,0.3777,86.89,0.988,0.869,0.4845,80.75,0.98,0.773
5,0.5141225895680834,0.4711,83.0,0.985,0.826,0.7297,75.56,0.962,0.702
6,0.46216266920062377,0.3875,86.41,0.989,0.869,0.5498,81.81,0.974,0.751
7,0.42929799416800124,0.2769,90.21,0.993,0.904,0.3575,86.77,0.988,0.821
8,0.40567679978292903,0.2349,92.11,0.994,0.92,0.3055,89.12,0.987,0.855
9,0.3823056714776169,0.2869,90.08,0.994,0.902,0.3287,88.58,0.986,0.838
10,0.35787014657878535,0.3081,89.0,0.995,0.882,0.4297,85.74,0.987,0.783
11,0.34769940867646193,0.2238,92.24,0.996,0.924,0.3322,87.57,0.987,0.834
12,0.33377542611091365,0.2049,92.97,0.995,0.93,0.4132,85.14,0.982,0.816
13,0.3256042728661209,0.1949,93.72,0.996,0.937,0.3504,88.36,0.988,0.836
14,0.31247708844989003,0.2665,90.65,0.995,0.904,0.4195,84.78,0.984,0.798
15,0.30314738354161647,0.1968,93.46,0.997,0.934,0.4371,84.41,0.982,0.794
16,0.29724692198110736,0.1842,93.6,0.997,0.935,0.2781,89.82,0.99,0.851
17,0.287609445044644,0.1875,93.7,0.997,0.937,0.4452,85.79,0.982,0.82
18,0.2779295857608532,0.1969,93.51,0.997,0.934,0.3538,86.93,0.987,0.824
19,0.2738315064900665,0.1703,94.44,0.997,0.945,0.3603,87.95,0.988,0.858
20,0.262566494578529,0.1343,95.57,0.998,0.955,0.3356,87.76,0.986,0.842
21,0.25634113311981216,0.1483,95.23,0.998,0.952,0.3123,89.01,0.988,0.856
22,0.2496848888828763,0.1386,95.42,0.998,0.954,0.373,86.25,0.984,0.822
23,0.24562488551047967,0.1354,95.47,0.998,0.954,0.4892,83.63,0.983,0.792
24,0.23510584482208802,0.1156,96.29,0.998,0.963,0.4889,84.49,0.982,0.802
25,0.226694003802367,0.139,95.23,0.998,0.952,0.2766,90.23,0.989,0.863
26,0.22237458097411314,0.1263,95.77,0.999,0.957,0.3653,86.42,0.986,0.829
27,0.2132403579370309,0.1111,96.37,0.999,0.963,0.3766,88.13,0.984,0.845
28,0.21158174035476526,0.1056,96.48,0.999,0.965,0.289,89.59,0.99,0.86
29,0.20299060199423075,0.1222,95.99,0.999,0.959,0.3366,88.77,0.989,0.854
30,0.19426998030060508,0.1384,95.3,0.998,0.953,0.2822,90.12,0.99,0.867
31,0.1927221699427533,0.0899,97.15,0.999,0.971,0.3985,86.66,0.985,0.83
32,0.18433352396906919,0.1053,96.61,0.999,0.965,0.2904,90.73,0.988,0.877
33,0.17610952075183606,0.1148,96.22,0.999,0.962,0.2872,90.51,0.99,0.876
34,0.1676320968109006,0.0871,97.09,0.999,0.97,0.4747,86.4,0.984,0.839
35,0.1613436980326543,0.0819,97.28,0.999,0.973,0.2951,91.05,0.989,0.875
36,0.1564262222939281,0.0802,97.48,0.999,0.975,0.3334,89.93,0.987,0.867
37,0.15116949322029255,0.0758,97.59,0.999,0.976,0.2548,91.28,0.991,0.884
38,0.14455849985094693,0.0791,97.44,0.999,0.974,0.2872,90.21,0.99,0.863
39,0.1372861219937229,0.0795,97.46,0.999,0.974,0.3429,88.47,0.988,0.856
40,0.1348930833507396,0.0643,97.97,1.0,0.979,0.3045,90.45,0.989,0.872
41,0.12939088263525544,0.0676,97.86,0.999,0.978,0.3138,90.23,0.989,0.871
42,0.12327238978771327,0.0666,97.9,1.0,0.979,0.3377,90.08,0.988,0.87
43,0.12348817508520832,0.0614,98.0,1.0,0.98,0.2664,91.69,0.991,0.89
44,0.11786007570723693,0.0578,98.18,1.0,0.982,0.2749,91.9,0.99,0.892
45,0.11624652062506018,0.0599,98.08,1.0,0.98,0.2863,91.33,0.99,0.885
46,0.11245785673285791,0.0605,98.07,1.0,0.98,0.2832,91.2,0.99,0.881
47,0.10993595962749801,0.0578,98.12,1.0,0.981,0.2705,91.62,0.991,0.888
48,0.1072521541287662,0.0573,98.12,1.0,0.981,0.2805,91.62,0.99,0.888
49,0.10601493431836047,0.0567,98.13,1.0,0.981,0.2738,91.41,0.991,0.885
