epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7092791829912466,1.3994,43.32,0.841,0.366,1.4503,45.07,0.84,0.362
1,1.4440014428562589,1.3102,52.94,0.903,0.505,1.44,51.08,0.899,0.519
2,0.8028798290798741,0.5022,81.68,0.98,0.809,0.5215,79.69,0.98,0.743
3,0.5544199954224317,0.5219,81.22,0.981,0.807,0.7078,73.27,0.968,0.715
4,0.43315581136172815,0.4906,83.19,0.987,0.833,0.5187,80.12,0.978,0.758
5,0.3652803699442563,0.4024,85.69,0.991,0.853,0.7914,72.3,0.968,0.651
6,0.3277585446086836,0.3039,89.79,0.993,0.897,0.4397,84.04,0.985,0.814
7,0.2984376942278236,0.2611,91.21,0.994,0.912,0.3867,86.37,0.985,0.832
8,0.28045233857140317,0.2553,90.96,0.995,0.91,0.5063,81.97,0.981,0.742
9,0.2651994437994068,0.2761,90.88,0.994,0.905,0.5625,80.01,0.977,0.761
10,0.2562025394624493,0.2439,91.47,0.996,0.91,0.3638,87.67,0.985,0.813
11,0.23868318376094638,0.2317,92.18,0.996,0.923,0.3832,86.8,0.985,0.816
12,0.2307445716419955,0.2149,92.94,0.995,0.928,0.5469,82.88,0.979,0.799
13,0.2224034293684908,0.1583,95.11,0.997,0.95,0.3006,88.14,0.988,0.844
14,0.2196206549402847,0.1527,95.22,0.998,0.952,0.3092,88.66,0.989,0.846
15,0.20544187438851189,0.1711,94.54,0.997,0.944,0.3957,86.5,0.986,0.825
16,0.1994273223143111,0.1379,95.19,0.998,0.952,0.273,90.38,0.99,0.86
17,0.19178635034189428,0.1371,95.44,0.998,0.954,0.3271,89.63,0.988,0.87
18,0.18649643233653465,0.1385,95.63,0.998,0.957,0.2561,90.64,0.991,0.87
19,0.18580981095631918,0.1515,94.95,0.998,0.949,0.354,86.83,0.988,0.831
20,0.17778465366758753,0.1446,95.25,0.998,0.951,0.4081,85.76,0.984,0.817
21,0.17178208198011136,0.1222,95.95,0.999,0.96,0.3018,90.43,0.989,0.869
22,0.16395505938986082,0.1234,95.87,0.999,0.959,0.2582,91.13,0.991,0.884
23,0.15873362194733381,0.1416,95.48,0.998,0.954,0.3862,88.13,0.986,0.848
24,0.15454346341444813,0.1078,96.4,0.999,0.964,0.4312,86.64,0.988,0.826
25,0.15066368001977176,0.1214,96.04,0.998,0.96,0.2447,91.8,0.991,0.887
26,0.14483151544806777,0.123,95.83,0.999,0.957,0.3923,86.03,0.984,0.821
27,0.13966177521427045,0.0969,96.77,0.999,0.967,0.3161,89.37,0.989,0.861
28,0.1345592082067523,0.0859,97.14,0.999,0.971,0.3562,86.96,0.99,0.829
29,0.126340768804046,0.1211,96.02,0.999,0.961,0.3889,88.9,0.987,0.849
30,0.12520827680131869,0.0855,97.11,0.999,0.971,0.2559,90.89,0.99,0.876
31,0.121741039705159,0.0924,97.01,0.999,0.97,0.2636,91.38,0.991,0.879
32,0.1155642265467287,0.0868,97.28,0.999,0.972,0.3482,89.42,0.987,0.865
33,0.10792560741058334,0.0784,97.4,0.999,0.974,0.2419,92.25,0.993,0.896
34,0.10210143789435373,0.0692,97.6,0.999,0.976,0.3194,89.44,0.99,0.869
35,0.09991682395606058,0.0839,97.09,0.999,0.971,0.2526,91.16,0.991,0.879
36,0.09491818769764836,0.0735,97.66,0.999,0.976,0.3177,90.38,0.99,0.871
37,0.09028197540884911,0.0652,97.86,1.0,0.978,0.261,91.44,0.992,0.883
38,0.08222695614969004,0.0644,97.96,1.0,0.979,0.2495,91.63,0.993,0.884
39,0.07925630307098763,0.0613,98.0,1.0,0.98,0.2309,92.37,0.994,0.896
40,0.07482983887289053,0.0564,98.17,1.0,0.982,0.2276,93.21,0.993,0.905
41,0.07086986834917712,0.0536,98.25,1.0,0.982,0.2417,92.18,0.993,0.893
42,0.06940665002411572,0.0526,98.36,1.0,0.983,0.2368,92.42,0.993,0.895
43,0.06716705530574779,0.0502,98.44,1.0,0.984,0.2333,92.55,0.993,0.896
44,0.06345864674777434,0.0499,98.42,1.0,0.984,0.2348,92.34,0.993,0.895
45,0.061553532044039405,0.0497,98.41,1.0,0.984,0.2545,91.57,0.992,0.887
46,0.060805519737343314,0.0477,98.5,1.0,0.985,0.2476,91.95,0.993,0.889
47,0.05933237881616666,0.0476,98.54,1.0,0.985,0.2464,92.07,0.993,0.891
48,0.057234141311364575,0.0473,98.55,1.0,0.985,0.2482,92.06,0.992,0.891
49,0.056752932271302604,0.0471,98.56,1.0,0.985,0.2515,91.95,0.993,0.889
