epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.482486745149004,1.0009,62.88,0.933,0.56,1.2884,56.34,0.839,0.454
1,1.2269744882660527,0.7794,72.36,0.962,0.688,1.0622,63.33,0.926,0.59
2,1.3252653684667361,1.0128,64.75,0.921,0.645,1.4736,49.57,0.882,0.458
3,0.8595109835640932,0.5045,81.08,0.98,0.803,0.5992,75.51,0.966,0.682
4,0.5396177621297938,0.3294,88.58,0.99,0.886,0.4285,83.75,0.981,0.784
5,0.4033150610957949,0.2698,90.75,0.993,0.908,0.4695,82.73,0.979,0.786
6,0.5160347995845648,0.3408,88.28,0.989,0.883,0.417,83.67,0.98,0.79
7,0.3586657726102405,0.2153,92.53,0.996,0.925,0.3483,86.75,0.986,0.813
8,0.2949518073470362,0.2399,91.79,0.995,0.917,0.4083,85.43,0.987,0.829
9,0.26268385215846013,0.2034,93.18,0.997,0.932,0.4575,83.36,0.981,0.791
10,0.24194429279388494,0.1818,94.26,0.997,0.941,0.3497,87.73,0.989,0.828
11,0.2248622763995415,0.1743,94.64,0.997,0.946,0.3828,88.16,0.982,0.833
12,0.21712601320370764,0.1376,95.56,0.998,0.956,0.2581,89.89,0.992,0.855
13,0.20566103353722548,0.1188,96.34,0.998,0.963,0.2318,91.22,0.992,0.872
14,0.19218959676695982,0.2131,92.6,0.997,0.922,0.3856,86.37,0.991,0.806
15,0.18277714920220195,0.1342,95.6,0.998,0.956,0.439,86.47,0.985,0.831
16,0.17946102049562238,0.165,94.46,0.998,0.944,0.2727,90.48,0.99,0.859
17,0.1726624172140834,0.1631,94.43,0.998,0.944,0.3722,86.61,0.987,0.805
18,0.16243482857782354,0.128,95.99,0.999,0.959,0.3415,88.03,0.99,0.839
19,0.16020839663362632,0.0988,96.86,0.999,0.968,0.2832,90.4,0.991,0.865
20,0.15512001081152843,0.0987,96.75,0.999,0.967,0.2723,90.04,0.991,0.863
21,0.14905320569926264,0.0838,97.43,0.999,0.974,0.3016,89.18,0.991,0.853
22,0.14464732324938193,0.0904,97.2,0.999,0.971,0.2832,90.34,0.992,0.848
23,0.13861909283051355,0.0911,97.03,0.999,0.969,0.3502,88.62,0.991,0.844
24,0.1313496469636865,0.074,97.49,0.999,0.974,0.2414,91.43,0.991,0.874
25,0.12779510047246692,0.0773,97.41,0.999,0.974,0.1994,93.34,0.993,0.905
26,0.12321928635533351,0.0755,97.82,0.999,0.978,0.2309,92.55,0.993,0.899
27,0.11745266521543157,0.0803,97.43,0.999,0.974,0.2757,90.87,0.99,0.873
28,0.11310620615959809,0.0899,96.94,0.999,0.968,0.3509,87.83,0.991,0.849
29,0.10839510574189139,0.0662,97.88,0.999,0.979,0.2484,92.04,0.991,0.886
30,0.10365430927438174,0.0792,97.31,0.999,0.973,0.3122,89.69,0.99,0.846
31,0.10035130453018945,0.0592,98.14,1.0,0.981,0.2895,90.35,0.991,0.867
32,0.09406095134314671,0.0588,98.1,1.0,0.981,0.2718,91.9,0.99,0.888
33,0.09132257889368735,0.0577,98.17,1.0,0.981,0.2658,90.3,0.992,0.861
34,0.08433717233212297,0.0538,98.26,1.0,0.982,0.1863,93.79,0.995,0.911
35,0.08035462559618083,0.0524,98.37,1.0,0.983,0.199,93.13,0.994,0.903
36,0.07608993619173017,0.0541,98.24,1.0,0.982,0.2218,93.43,0.994,0.904
37,0.07336401611426345,0.0627,98.12,1.0,0.981,0.2115,92.75,0.993,0.905
38,0.06757541250197156,0.0444,98.57,1.0,0.985,0.1997,93.26,0.995,0.906
39,0.06430316528665923,0.0544,98.29,1.0,0.983,0.211,92.89,0.994,0.892
40,0.060925335998857216,0.0408,98.65,1.0,0.986,0.19,94.09,0.994,0.914
41,0.05793885493777879,0.0376,98.79,1.0,0.987,0.2152,93.73,0.993,0.91
42,0.05520566714940906,0.0396,98.76,1.0,0.987,0.2159,93.79,0.994,0.91
43,0.053300162652126885,0.0375,98.9,1.0,0.989,0.1953,94.06,0.995,0.912
44,0.04898913097851593,0.0367,98.81,1.0,0.988,0.203,94.08,0.994,0.915
45,0.04961025247710847,0.0364,98.85,1.0,0.988,0.2006,94.11,0.994,0.916
46,0.04792152391579736,0.0358,98.89,1.0,0.989,0.1984,93.97,0.994,0.914
47,0.04773520195596321,0.0357,98.85,1.0,0.988,0.1928,94.13,0.994,0.916
48,0.0441991412698368,0.0357,98.85,1.0,0.988,0.1931,94.25,0.994,0.918
49,0.04491386288363072,0.0356,98.84,1.0,0.988,0.1992,94.08,0.994,0.915
