epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7814284263973168,1.3253,48.07,0.845,0.421,1.318,46.91,0.822,0.362
1,1.583167940057734,0.908,67.37,0.929,0.657,0.9978,68.72,0.923,0.644
2,0.9706438237193665,0.4856,81.83,0.979,0.814,0.4634,81.54,0.976,0.753
3,0.720032182699036,0.572,78.59,0.981,0.785,0.5569,77.8,0.977,0.738
4,0.5951792390008981,0.3932,85.78,0.987,0.855,0.5131,79.01,0.977,0.735
5,0.5280079125396667,0.3677,87.06,0.99,0.87,0.3989,84.67,0.985,0.817
6,0.4727232377695781,0.2655,90.65,0.992,0.908,0.2834,89.18,0.991,0.863
7,0.44707114420377225,0.3158,88.62,0.992,0.884,0.373,85.3,0.988,0.821
8,0.41880274700221193,0.2886,89.66,0.993,0.896,0.4646,81.97,0.976,0.769
9,0.39845290141827744,0.2754,90.8,0.994,0.908,0.3525,86.39,0.984,0.829
10,0.3774070566166259,0.3034,89.49,0.993,0.89,0.4632,84.02,0.978,0.792
11,0.3642811279036238,0.2708,90.75,0.994,0.908,0.5028,82.43,0.981,0.788
12,0.3484150770797952,0.2795,90.35,0.994,0.904,0.4652,83.83,0.981,0.801
13,0.3371644369376603,0.1823,94.14,0.996,0.941,0.2666,89.75,0.991,0.86
14,0.32657591766247185,0.2122,92.74,0.996,0.925,0.4108,85.99,0.986,0.809
15,0.3181179033118337,0.2137,92.49,0.996,0.924,0.4634,84.43,0.983,0.808
16,0.3089477901336967,0.1653,94.52,0.997,0.945,0.293,88.44,0.989,0.847
17,0.2981732574735491,0.2035,93.15,0.997,0.93,0.4529,83.58,0.983,0.802
18,0.2864363089364062,0.2002,93.24,0.997,0.932,0.3068,88.36,0.987,0.826
19,0.28012455985163703,0.1914,93.5,0.997,0.935,0.4191,84.46,0.987,0.815
20,0.27242751563749007,0.1432,95.14,0.998,0.951,0.3468,88.13,0.99,0.854
21,0.26641055408825154,0.1933,93.34,0.996,0.933,0.2616,89.88,0.991,0.872
22,0.256481864492953,0.1499,94.76,0.998,0.947,0.3379,87.43,0.988,0.836
23,0.25406408335305886,0.1639,94.38,0.998,0.942,0.5134,81.75,0.985,0.782
24,0.24467474075307982,0.1615,94.4,0.998,0.941,0.4024,85.17,0.988,0.817
25,0.23623097029691528,0.1428,95.49,0.998,0.954,0.2693,90.54,0.992,0.879
26,0.23033333855504204,0.1328,95.66,0.998,0.956,0.3461,87.92,0.987,0.842
27,0.2201742701846639,0.1049,96.53,0.999,0.965,0.3311,89.61,0.99,0.856
28,0.2155809256792282,0.135,95.3,0.998,0.952,0.362,86.67,0.989,0.846
29,0.21430632163600255,0.1041,96.5,0.999,0.964,0.2331,91.57,0.992,0.888
30,0.20431936353338234,0.1385,95.44,0.999,0.954,0.4515,86.26,0.99,0.807
31,0.2002847672817314,0.114,96.21,0.999,0.963,0.3363,90.37,0.989,0.867
32,0.1910656098556775,0.092,97.01,0.999,0.97,0.2671,91.16,0.991,0.88
33,0.18332881390995023,0.0834,97.29,0.999,0.973,0.2128,92.33,0.994,0.891
34,0.1752368303409721,0.0984,96.56,0.999,0.965,0.2699,89.91,0.992,0.874
35,0.17118489718244922,0.0727,97.63,0.999,0.976,0.2153,92.67,0.993,0.899
36,0.1660573078072413,0.0951,96.86,0.999,0.968,0.3281,89.34,0.99,0.869
37,0.1571899219599676,0.0752,97.64,0.999,0.976,0.2092,92.23,0.994,0.896
38,0.15191576399550002,0.0666,97.8,0.999,0.978,0.2479,92.34,0.992,0.895
39,0.14721717007498267,0.063,97.96,1.0,0.979,0.2433,92.47,0.993,0.897
40,0.1411992843566616,0.067,97.91,0.999,0.979,0.267,92.09,0.992,0.894
41,0.1369548227945109,0.0578,98.08,1.0,0.98,0.2557,91.8,0.992,0.891
42,0.13156144487200885,0.0577,98.14,1.0,0.981,0.2581,92.26,0.992,0.894
43,0.12556943808779067,0.0568,98.23,1.0,0.982,0.2103,92.85,0.994,0.903
44,0.1235233988966726,0.0573,98.09,1.0,0.98,0.227,92.58,0.993,0.903
45,0.1199968700801226,0.0544,98.24,1.0,0.982,0.2435,92.4,0.992,0.9
46,0.11530554277895813,0.0553,98.23,1.0,0.982,0.2268,92.86,0.993,0.905
47,0.11237100001064039,0.0531,98.27,1.0,0.982,0.2277,92.63,0.993,0.903
48,0.11383673049656401,0.0524,98.35,1.0,0.983,0.2222,92.88,0.993,0.905
49,0.11448277034679942,0.052,98.34,1.0,0.983,0.2277,92.85,0.993,0.906
