epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7289023224170916,1.4154,46.47,0.836,0.42,1.4433,44.64,0.804,0.34
1,1.4544378503035473,0.7903,68.76,0.951,0.657,0.828,71.34,0.952,0.657
2,0.8539298474254574,0.5817,78.45,0.974,0.788,0.5479,78.65,0.97,0.738
3,0.5913027430413872,0.5127,82.85,0.982,0.834,0.5031,82.14,0.975,0.768
4,0.462285690463572,0.3343,88.35,0.991,0.886,0.3743,85.96,0.986,0.807
5,0.3964613070678113,0.3128,88.8,0.994,0.883,0.4726,81.71,0.98,0.767
6,0.35792741102022935,0.2671,90.75,0.994,0.909,0.4046,84.37,0.986,0.789
7,0.33299063055318745,0.2176,92.79,0.996,0.929,0.3072,88.6,0.988,0.845
8,0.3095573586909147,0.2469,91.67,0.996,0.916,0.3329,87.23,0.991,0.844
9,0.2940826625513133,0.2244,92.88,0.995,0.929,0.4311,84.57,0.979,0.821
10,0.28381871805930226,0.2147,92.54,0.997,0.923,0.327,89.42,0.989,0.844
11,0.2671452662289997,0.2111,92.91,0.996,0.93,0.2919,89.15,0.987,0.856
12,0.25922946324805635,0.1816,93.88,0.997,0.938,0.3135,88.57,0.988,0.853
13,0.2497849128606285,0.2111,93.2,0.996,0.931,0.4085,85.2,0.984,0.816
14,0.24254075748892667,0.1522,95.02,0.998,0.949,0.2984,88.8,0.99,0.854
15,0.23260626865811246,0.1704,94.07,0.997,0.937,0.4546,83.89,0.983,0.801
16,0.22779271590079458,0.1537,94.88,0.998,0.949,0.2611,90.46,0.992,0.87
17,0.21957146460490842,0.141,95.55,0.998,0.955,0.2994,89.39,0.989,0.871
18,0.21395589570151008,0.2188,92.79,0.997,0.925,0.2977,89.45,0.991,0.838
19,0.20649818082650503,0.1523,95.11,0.998,0.952,0.2813,89.89,0.989,0.863
20,0.20515192876900396,0.1856,93.79,0.998,0.937,0.233,92.01,0.994,0.882
21,0.1985392744342486,0.1121,96.32,0.999,0.963,0.2644,90.67,0.991,0.869
22,0.19253038266493427,0.1222,96.01,0.998,0.959,0.2601,90.89,0.992,0.88
23,0.18435051508488193,0.1228,95.93,0.999,0.959,0.272,89.55,0.992,0.867
24,0.18231792167149563,0.0988,96.89,0.999,0.969,0.1843,92.7,0.995,0.895
25,0.17199043682559417,0.1,96.7,0.999,0.966,0.2222,92.2,0.993,0.9
26,0.16770514495350342,0.1104,96.34,0.999,0.963,0.2538,90.67,0.994,0.883
27,0.16105386311702405,0.1058,96.52,0.999,0.965,0.2616,90.26,0.993,0.865
28,0.15886017181459935,0.0929,96.94,0.999,0.969,0.2606,90.21,0.992,0.864
29,0.1493567719681716,0.1024,96.7,0.999,0.967,0.274,92.14,0.994,0.895
30,0.14936170194925588,0.0896,97.01,0.999,0.97,0.2457,92.25,0.993,0.9
31,0.14443521810475216,0.0947,96.87,0.999,0.969,0.2963,91.43,0.991,0.89
32,0.13607251094687584,0.0759,97.65,0.999,0.976,0.2547,91.49,0.992,0.89
33,0.12777207299105584,0.0723,97.52,0.999,0.975,0.2174,92.58,0.994,0.901
34,0.12355159662703993,0.0689,97.67,0.999,0.976,0.2349,93.13,0.993,0.905
35,0.1191591442125352,0.0792,97.36,0.999,0.973,0.1692,93.78,0.996,0.91
36,0.1149927653792885,0.0713,97.74,0.999,0.977,0.2557,91.92,0.994,0.891
37,0.11010665538650687,0.0633,97.93,1.0,0.979,0.1907,93.3,0.995,0.908
38,0.10418490606517027,0.0587,98.05,1.0,0.98,0.2049,93.72,0.995,0.912
39,0.09797610820180946,0.0638,97.92,1.0,0.979,0.2277,92.04,0.994,0.892
40,0.09473698946737474,0.0537,98.25,1.0,0.982,0.1789,94.22,0.996,0.922
41,0.08772626460619992,0.0526,98.23,1.0,0.982,0.1793,94.06,0.996,0.919
42,0.08658211876214299,0.0509,98.33,1.0,0.983,0.2041,93.32,0.995,0.912
43,0.08330595353785168,0.0504,98.33,1.0,0.983,0.1995,93.73,0.995,0.915
44,0.08152840840780447,0.0491,98.35,1.0,0.983,0.1829,94.03,0.995,0.92
45,0.07549499322770424,0.0464,98.42,1.0,0.984,0.2268,93.13,0.994,0.908
46,0.07664913158216197,0.046,98.42,1.0,0.984,0.205,93.67,0.995,0.915
47,0.0742674117697583,0.0453,98.43,1.0,0.984,0.1981,93.86,0.995,0.917
48,0.07152933842005162,0.0445,98.48,1.0,0.985,0.1987,93.79,0.995,0.916
49,0.0732951532869089,0.0445,98.51,1.0,0.985,0.2007,93.79,0.995,0.916
