epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8487045724332118,1.9765,24.58,0.748,0.139,2.003,28.09,0.657,0.138
1,1.0936969820957458,1.3813,51.43,0.916,0.468,1.6858,39.85,0.869,0.381
2,0.6159864148679173,0.5216,81.86,0.983,0.819,0.6483,77.86,0.967,0.717
3,0.43867658332364107,0.4119,86.11,0.986,0.858,0.8038,73.14,0.95,0.699
4,0.3235828790773628,0.5276,82.02,0.989,0.822,0.9319,68.17,0.971,0.656
5,0.26938002159999264,1.1961,74.38,0.958,0.697,2.0601,54.19,0.926,0.539
6,0.2459499853326001,0.558,80.52,0.992,0.764,0.991,67.12,0.965,0.653
7,0.22161746705384877,0.2209,92.85,0.996,0.93,0.4735,83.88,0.983,0.811
8,0.2103234689856302,0.2768,91.17,0.994,0.914,0.8346,76.95,0.969,0.722
9,0.1957026363674244,0.2417,92.1,0.995,0.923,0.3802,86.91,0.983,0.84
10,0.18565590154900347,0.5291,80.03,0.986,0.787,0.9562,67.31,0.944,0.651
11,0.19185940819829167,0.2539,92.07,0.994,0.919,0.6163,79.38,0.966,0.76
12,0.17799208720471696,0.4546,84.3,0.995,0.79,1.2997,62.8,0.965,0.607
13,0.16841522942707743,0.3542,88.05,0.994,0.887,0.7297,76.28,0.964,0.724
14,0.16070779429675217,0.3505,86.04,0.996,0.848,0.9875,69.56,0.966,0.668
15,0.1553400344145234,0.1766,94.44,0.997,0.944,0.4286,83.93,0.979,0.804
16,0.14800247418490575,0.1473,95.08,0.998,0.951,0.4087,86.07,0.981,0.819
17,0.14519176289679542,1.0399,80.78,0.982,0.763,1.5714,58.71,0.949,0.572
18,0.13945543755339893,0.2934,88.99,0.995,0.878,0.9472,72.45,0.975,0.722
19,0.13555085442052306,0.1247,96.03,0.998,0.96,0.418,84.98,0.984,0.817
20,0.13402855605234168,0.119,96.13,0.998,0.961,0.3498,88.41,0.987,0.853
21,0.1311092686081659,0.1413,95.46,0.998,0.954,0.5206,84.53,0.986,0.809
22,0.12330320978196718,0.1385,95.51,0.998,0.955,0.3857,87.49,0.988,0.839
23,0.1235819676203326,0.0927,97.2,0.999,0.972,0.2313,90.97,0.994,0.879
24,0.11643397698586132,0.1151,96.2,0.999,0.961,0.622,79.35,0.988,0.802
25,0.1124499052709576,0.1387,95.44,0.999,0.955,0.3955,86.48,0.985,0.806
26,0.10891546040946971,0.1644,94.38,0.998,0.943,0.49,83.31,0.983,0.784
27,0.10379224946375229,0.1222,95.99,0.999,0.958,0.4626,85.87,0.987,0.84
28,0.09907105708942085,0.1083,96.26,0.999,0.963,0.3213,88.99,0.991,0.86
29,0.09627295580549051,0.0948,96.98,0.999,0.97,0.3827,86.82,0.991,0.851
30,0.0939890115511834,0.0855,97.36,0.999,0.974,0.5503,84.18,0.983,0.8
31,0.0893747635706458,0.0794,97.56,0.999,0.975,0.3325,88.19,0.991,0.857
32,0.08762760338870855,0.0951,96.98,0.999,0.97,0.3921,87.54,0.988,0.845
33,0.08190355599961346,0.0809,97.3,0.999,0.973,0.4601,86.52,0.988,0.817
34,0.08116046042184889,0.0733,97.53,0.999,0.975,0.4698,84.34,0.986,0.804
35,0.07521354655758561,0.0674,97.77,1.0,0.977,0.2852,90.6,0.991,0.877
36,0.07192448172951951,0.0791,97.4,0.999,0.974,0.4423,84.98,0.982,0.799
37,0.06939757871024284,0.0691,97.64,0.999,0.976,0.4099,86.56,0.985,0.842
38,0.06586301716471818,0.0641,97.96,1.0,0.979,0.3696,88.74,0.986,0.855
39,0.06283673382360876,0.0558,98.15,1.0,0.981,0.3452,88.73,0.988,0.853
40,0.06040467754320165,0.0534,98.24,1.0,0.982,0.2791,91.2,0.99,0.873
41,0.057384846700308675,0.0491,98.43,1.0,0.984,0.3679,89.48,0.987,0.862
42,0.05423650238829862,0.0523,98.41,1.0,0.984,0.4386,88.27,0.982,0.857
43,0.05280971862409117,0.0456,98.54,1.0,0.985,0.3033,91.13,0.99,0.878
44,0.05101112942261401,0.0449,98.52,1.0,0.985,0.2972,91.0,0.99,0.878
45,0.04858717508280256,0.0455,98.58,1.0,0.986,0.3239,90.67,0.99,0.873
46,0.049057747352547865,0.0434,98.6,1.0,0.986,0.3147,90.78,0.99,0.872
47,0.046710426478536536,0.0422,98.61,1.0,0.986,0.2887,91.5,0.99,0.882
48,0.04711259250098499,0.0419,98.62,1.0,0.986,0.2995,91.27,0.99,0.879
49,0.04545686361596896,0.0419,98.66,1.0,0.986,0.2983,91.13,0.99,0.877
