epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8199645855520787,1.9643,26.21,0.798,0.164,2.0307,16.8,0.696,0.088
1,0.8641022566612476,2.6535,57.05,0.809,0.531,4.278,24.08,0.708,0.232
2,0.40608417082537884,0.2731,91.47,0.994,0.911,2.2851,51.03,0.874,0.445
3,0.29901309173861285,0.2871,90.71,0.994,0.905,2.1451,45.87,0.874,0.439
4,0.21504025453681586,0.3564,86.96,0.992,0.863,2.4546,51.7,0.868,0.477
5,0.1827000219735407,0.4936,83.61,0.989,0.841,2.6578,40.94,0.847,0.382
6,0.1696124216775313,0.2897,89.83,0.996,0.898,1.6292,62.43,0.905,0.514
7,0.16224573010505314,0.1822,94.43,0.997,0.943,1.0459,67.19,0.929,0.656
8,0.1481364406511775,0.7513,77.71,0.983,0.781,3.5132,40.0,0.794,0.334
9,0.13318982586184497,0.1608,94.85,0.998,0.948,0.7052,79.5,0.954,0.749
10,0.12410976276415864,0.1568,95.03,0.998,0.949,0.9117,74.77,0.951,0.712
11,0.11981766462646505,0.5505,83.57,0.993,0.802,2.2224,49.36,0.908,0.454
12,0.11525218787613095,0.1431,95.45,0.998,0.954,0.9444,72.22,0.97,0.649
13,0.1103975550508574,0.2243,91.99,0.998,0.923,1.8023,62.12,0.92,0.557
14,0.10409849801010662,0.1105,96.7,0.999,0.967,1.4151,70.36,0.943,0.612
15,0.10240740466889621,0.3754,86.03,0.993,0.841,3.032,43.79,0.885,0.394
16,0.0997726185110441,0.1692,94.89,0.998,0.947,0.6792,79.96,0.973,0.74
17,0.09328798568844261,0.1085,96.57,0.999,0.966,1.3316,71.34,0.943,0.624
18,0.09356267995778537,0.1123,96.44,0.999,0.964,1.2184,72.05,0.946,0.663
19,0.09694079499471411,0.2092,92.73,0.997,0.925,1.3539,63.46,0.946,0.605
20,0.08718024684770506,0.0768,97.67,0.999,0.977,1.7012,59.07,0.904,0.529
21,0.08600269393214295,0.1135,96.25,0.999,0.963,1.4828,62.78,0.917,0.597
22,0.07962418664046512,0.1225,96.17,0.999,0.961,1.2102,64.6,0.944,0.599
23,0.07838514858629808,0.2061,93.83,0.997,0.938,0.7875,73.03,0.963,0.669
24,0.07514009193607396,0.0855,97.12,0.999,0.971,0.8799,71.77,0.963,0.665
25,0.07229620953654624,0.1033,96.7,0.999,0.967,0.7863,77.33,0.973,0.738
26,0.07209722528160686,0.0962,96.86,0.999,0.968,1.913,60.82,0.917,0.555
27,0.06703930677792665,0.0668,97.95,0.999,0.979,1.4741,66.07,0.936,0.589
28,0.0641738402800748,0.1607,94.93,0.998,0.948,1.2895,66.22,0.934,0.627
29,0.06491120064490906,0.0691,97.88,1.0,0.978,1.0279,70.44,0.957,0.664
30,0.058027692197565005,0.0542,98.32,1.0,0.983,1.8649,65.14,0.893,0.585
31,0.056247193012453324,0.0651,97.94,1.0,0.979,1.6547,66.45,0.938,0.596
32,0.054591589593946076,0.0696,97.87,0.999,0.979,0.6275,80.93,0.97,0.75
33,0.05268775889029106,0.0602,98.15,1.0,0.981,1.3132,68.83,0.948,0.614
34,0.04797101713129483,0.0438,98.61,1.0,0.986,1.0272,75.21,0.966,0.668
35,0.048428133286963014,0.0545,98.34,1.0,0.983,0.6612,81.38,0.977,0.756
36,0.04317332767317319,0.0644,97.99,1.0,0.98,1.7043,54.08,0.929,0.496
37,0.04150050892711594,0.0376,98.78,1.0,0.988,0.8244,75.95,0.974,0.714
38,0.0386988687542631,0.0434,98.59,1.0,0.986,1.2751,72.95,0.956,0.652
39,0.03578656670841051,0.0398,98.67,1.0,0.987,1.4762,73.63,0.94,0.654
40,0.036476635761345376,0.0421,98.67,1.0,0.987,1.1674,72.68,0.965,0.646
41,0.032653393066992255,0.0329,98.93,1.0,0.989,0.9614,77.1,0.977,0.707
42,0.030711828837818783,0.0343,98.8,1.0,0.988,1.3346,66.87,0.96,0.637
43,0.02946837494770686,0.0302,99.02,1.0,0.99,1.0253,72.0,0.97,0.677
44,0.028754405482041258,0.0268,99.12,1.0,0.991,1.0707,73.11,0.966,0.683
45,0.027717522482344326,0.0278,99.09,1.0,0.991,1.1096,73.47,0.964,0.686
46,0.02668363032996067,0.0246,99.17,1.0,0.992,1.0131,74.4,0.967,0.686
47,0.025638098057399514,0.0241,99.22,1.0,0.992,1.1241,72.94,0.961,0.672
48,0.026353885206030048,0.0242,99.22,1.0,0.992,1.067,74.02,0.965,0.686
49,0.02517197552006892,0.0242,99.21,1.0,0.992,1.0511,74.23,0.966,0.688
