epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8630316515977237,2.0298,25.41,0.725,0.141,2.0286,27.68,0.663,0.132
1,1.2212479946647494,1.5938,51.94,0.878,0.466,1.4713,54.38,0.867,0.442
2,0.7248272627164813,0.7586,71.85,0.964,0.709,1.0821,61.57,0.949,0.645
3,0.4895781695201833,0.6612,76.86,0.978,0.762,1.2062,54.84,0.925,0.547
4,0.3716765440813529,0.659,74.43,0.98,0.729,1.5421,52.12,0.935,0.501
5,0.30609005235642944,0.5076,81.1,0.986,0.813,0.8991,70.08,0.966,0.618
6,0.27118091076932926,0.2491,91.57,0.994,0.914,0.4731,84.24,0.98,0.803
7,0.2474928587327935,0.336,88.28,0.992,0.881,0.5072,81.48,0.981,0.789
8,0.23585281523752383,0.5674,80.43,0.99,0.763,1.0075,64.53,0.966,0.631
9,0.22134532086471076,0.2662,90.9,0.995,0.908,0.7324,74.01,0.974,0.719
10,0.20707220644239457,0.19,93.7,0.996,0.936,0.4471,84.67,0.982,0.812
11,0.20130943835422557,0.2475,92.21,0.995,0.921,0.783,70.93,0.967,0.696
12,0.1912428969684254,0.2245,92.31,0.996,0.92,0.5687,78.75,0.979,0.775
13,0.1804144204557476,0.3015,89.62,0.995,0.902,0.8385,77.74,0.969,0.718
14,0.1734954611094515,0.2034,92.65,0.996,0.924,0.5255,81.1,0.982,0.778
15,0.17107782153058865,0.3004,89.89,0.995,0.9,0.7074,75.51,0.98,0.746
16,0.1741582482091842,0.6289,80.74,0.986,0.763,1.4454,60.21,0.949,0.606
17,0.1652972825325518,0.192,94.13,0.996,0.941,0.6901,79.5,0.96,0.769
18,0.1575610402731165,0.2202,92.57,0.996,0.925,0.6534,80.56,0.976,0.787
19,0.15489083774200904,0.1602,94.73,0.997,0.948,0.5387,81.87,0.977,0.773
20,0.14892621104034684,0.2278,92.85,0.995,0.926,0.6489,79.99,0.961,0.782
21,0.14322808547793323,0.1989,93.11,0.997,0.933,0.3935,86.23,0.985,0.815
22,0.1368110166081498,0.1563,94.71,0.998,0.946,0.5685,82.44,0.974,0.801
23,0.1357878262918162,0.1204,96.06,0.998,0.961,0.2846,89.12,0.991,0.855
24,0.12831753337468724,0.3124,87.76,0.996,0.857,0.9319,68.7,0.971,0.682
25,0.1259418340152844,0.126,95.71,0.998,0.957,0.2866,90.02,0.989,0.863
26,0.12279364831184827,0.1964,93.46,0.996,0.936,0.5232,81.76,0.974,0.763
27,0.12047627273159216,0.2036,93.22,0.996,0.932,0.3617,88.08,0.983,0.853
28,0.11383265272236853,0.1355,95.47,0.998,0.955,0.5429,81.94,0.969,0.774
29,0.10762707233816171,0.0961,97.0,0.999,0.969,0.2896,89.42,0.988,0.863
30,0.10639091219926607,0.2616,90.84,0.997,0.904,1.1348,68.78,0.977,0.691
31,0.10240487319060124,0.0946,96.97,0.999,0.97,0.2828,90.4,0.989,0.857
32,0.10024691198695464,0.1314,95.72,0.999,0.957,0.5942,81.05,0.981,0.795
33,0.0945139992247773,0.0759,97.5,0.999,0.975,0.333,89.53,0.986,0.855
34,0.091115643961295,0.084,97.31,0.999,0.973,0.2945,90.23,0.988,0.875
35,0.08524109051466042,0.0848,97.36,0.999,0.973,0.2644,91.09,0.989,0.882
36,0.08400508087115048,0.0892,97.17,0.999,0.972,0.4077,86.12,0.987,0.843
37,0.07958888875881351,0.074,97.52,0.999,0.975,0.4026,86.09,0.984,0.829
38,0.07723740692914707,0.0811,97.36,0.999,0.973,0.4287,86.12,0.982,0.835
39,0.07331961191569765,0.0626,97.96,1.0,0.98,0.3797,87.92,0.984,0.844
40,0.07016814660988614,0.0604,97.96,1.0,0.98,0.3039,89.85,0.991,0.859
41,0.06641923556084274,0.0561,98.23,1.0,0.982,0.3284,88.9,0.99,0.86
42,0.06230894793292314,0.054,98.28,1.0,0.983,0.3322,89.77,0.987,0.865
43,0.0619841323828318,0.0547,98.21,1.0,0.982,0.2907,90.13,0.991,0.877
44,0.059750738226571606,0.0506,98.38,1.0,0.984,0.2995,90.56,0.989,0.872
45,0.058230049559332454,0.0508,98.34,1.0,0.983,0.3319,89.25,0.989,0.861
46,0.05655243194505145,0.0502,98.4,1.0,0.984,0.3189,90.02,0.988,0.867
47,0.05579767149195449,0.0488,98.45,1.0,0.984,0.3059,90.4,0.989,0.871
48,0.05624849422864856,0.0485,98.44,1.0,0.984,0.2932,90.62,0.989,0.875
49,0.05410694092592244,0.0483,98.48,1.0,0.985,0.2971,90.54,0.989,0.874
