epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9521814826141548,1.9727,24.7,0.775,0.154,2.0368,14.95,0.722,0.075
1,1.1107140296676252,0.9478,66.56,0.942,0.657,1.1071,59.09,0.92,0.527
2,0.5868376271805883,0.5148,82.54,0.982,0.823,0.6884,75.59,0.972,0.72
3,0.42799551125388846,0.7025,79.07,0.981,0.785,0.9704,70.39,0.939,0.595
4,0.33089074756829967,0.4387,85.39,0.986,0.853,0.7892,73.8,0.958,0.711
5,0.28276334871207515,0.2323,92.27,0.996,0.923,0.5741,77.7,0.975,0.735
6,0.2616361719038751,0.2975,89.37,0.994,0.891,0.551,78.11,0.976,0.76
7,0.23795596869348626,0.1779,93.84,0.997,0.939,0.4476,83.72,0.983,0.797
8,0.23154927540477033,0.3404,87.62,0.994,0.875,1.1259,61.96,0.941,0.618
9,0.21263747956056323,0.2048,93.11,0.997,0.933,0.375,87.72,0.987,0.839
10,0.2008698212657137,0.2076,93.76,0.996,0.937,0.552,79.79,0.974,0.78
11,0.1885651259559564,0.4397,83.65,0.994,0.792,0.8656,68.67,0.968,0.693
12,0.1880828066592148,0.2318,92.18,0.997,0.92,1.0859,68.91,0.947,0.619
13,0.18025376331929024,0.2148,92.81,0.997,0.929,0.5629,80.4,0.985,0.783
14,0.17120668344119544,0.1809,93.96,0.997,0.939,0.5242,81.89,0.979,0.797
15,0.1691206613268476,0.192,93.24,0.997,0.931,0.6579,78.32,0.973,0.761
16,0.16048018267798808,0.2115,92.83,0.996,0.927,0.8095,73.91,0.967,0.7
17,0.1584361493320448,0.1963,93.65,0.997,0.933,0.6412,79.09,0.973,0.755
18,0.15311438128298757,0.359,86.56,0.995,0.849,0.7714,73.16,0.976,0.711
19,0.15047376400934645,0.2884,89.95,0.995,0.9,0.7418,74.72,0.974,0.691
20,0.1447535079293033,0.1243,96.03,0.998,0.961,0.5224,84.92,0.972,0.817
21,0.13838935537617586,0.1349,95.81,0.998,0.957,0.4534,85.17,0.987,0.816
22,0.1354248343723222,0.1224,95.94,0.999,0.958,0.5175,82.9,0.986,0.785
23,0.1329136601879552,0.086,97.31,0.999,0.972,0.4293,86.7,0.985,0.824
24,0.12656251252645553,0.0984,96.71,0.999,0.967,0.3383,88.49,0.991,0.872
25,0.12665086303667356,0.0854,97.39,0.999,0.974,0.2751,91.49,0.99,0.887
26,0.1207897602363513,0.208,92.69,0.997,0.929,0.4312,87.34,0.985,0.819
27,0.11669609171929218,0.0784,97.52,0.999,0.975,0.2883,91.68,0.99,0.888
28,0.1121364904193735,0.1081,96.6,0.999,0.966,0.5039,82.9,0.985,0.783
29,0.10753118682746178,0.0704,97.72,0.999,0.977,0.3186,91.68,0.988,0.886
30,0.10255235092093547,0.0769,97.48,0.999,0.974,0.3056,91.03,0.99,0.883
31,0.10128987771809421,0.109,96.52,0.999,0.965,0.2789,89.4,0.992,0.863
32,0.09832307254715313,0.0749,97.61,0.999,0.976,0.3072,89.28,0.992,0.86
33,0.09418158953855862,0.0587,98.11,1.0,0.981,0.2849,90.23,0.991,0.878
34,0.08889115682559415,0.0625,98.05,0.999,0.98,0.2793,91.68,0.991,0.889
35,0.08472261194967562,0.0648,97.91,1.0,0.979,0.48,87.04,0.98,0.829
36,0.08050253594254134,0.0701,97.74,0.999,0.977,0.287,90.34,0.991,0.88
37,0.0795804606633775,0.0738,97.69,0.999,0.977,0.369,88.2,0.99,0.862
38,0.07450827077284829,0.0698,97.77,1.0,0.978,0.4413,88.58,0.982,0.853
39,0.06977310594952395,0.0571,98.18,1.0,0.982,0.3232,91.24,0.99,0.882
40,0.0707572014237951,0.0474,98.51,1.0,0.985,0.3202,92.52,0.985,0.9
41,0.06492278218689945,0.044,98.61,1.0,0.986,0.3673,89.47,0.988,0.867
42,0.06360329614324649,0.044,98.64,1.0,0.986,0.3304,91.39,0.988,0.885
43,0.06030466426397577,0.0422,98.62,1.0,0.986,0.3005,91.58,0.989,0.89
44,0.057574100558742826,0.0401,98.74,1.0,0.987,0.3097,92.06,0.989,0.898
45,0.057716946554867594,0.0409,98.73,1.0,0.987,0.3554,91.25,0.987,0.893
46,0.05689072227405925,0.0378,98.71,1.0,0.987,0.2894,92.29,0.99,0.899
47,0.05403662105608317,0.0368,98.82,1.0,0.988,0.3048,91.87,0.989,0.894
48,0.05365859474285796,0.0367,98.85,1.0,0.988,0.2971,92.14,0.989,0.898
49,0.05326865712768235,0.0367,98.83,1.0,0.988,0.2968,92.22,0.99,0.899
