epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8296199990002484,2.0009,24.86,0.753,0.151,2.0462,16.53,0.697,0.086
1,0.9235765356103152,0.6479,77.19,0.97,0.765,1.2439,63.49,0.882,0.553
2,0.45235290202081846,0.681,77.09,0.983,0.778,1.3032,63.62,0.932,0.571
3,0.3241605660394101,0.9508,70.3,0.959,0.712,1.9273,47.86,0.89,0.442
4,0.23897129636404763,0.3062,89.03,0.996,0.89,1.4435,59.85,0.94,0.533
5,0.20066938202120496,0.3662,87.39,0.992,0.878,0.8898,74.83,0.954,0.693
6,0.185579175817176,0.2452,91.72,0.996,0.919,0.8719,74.92,0.955,0.675
7,0.16643229526163858,0.3378,87.87,0.992,0.881,0.6689,78.23,0.966,0.727
8,0.162005270654369,0.3179,88.81,0.995,0.896,0.9078,74.21,0.967,0.678
9,0.15128190851499956,0.1343,95.51,0.999,0.954,0.4146,86.45,0.975,0.806
10,0.14074819861480625,0.1588,95.01,0.998,0.95,0.3619,87.4,0.986,0.828
11,0.1345491759799501,0.35,87.9,0.994,0.863,1.1197,72.71,0.959,0.71
12,0.13442470629342354,0.1517,95.57,0.998,0.956,0.7396,76.03,0.974,0.704
13,0.1252254238051753,0.1199,96.09,0.999,0.96,0.3988,86.09,0.983,0.811
14,0.12271614869435628,0.1268,95.95,0.998,0.96,0.4869,85.5,0.978,0.791
15,0.11874989137440706,0.1666,94.62,0.998,0.946,0.5123,85.25,0.975,0.789
16,0.11508599132646583,0.3271,89.64,0.995,0.898,0.7967,75.56,0.972,0.7
17,0.111653521156279,0.0877,97.44,0.999,0.974,0.5146,88.16,0.964,0.822
18,0.11195348957920694,0.5721,82.63,0.99,0.772,1.6954,67.44,0.935,0.618
19,0.11458560754628484,0.1128,96.27,0.999,0.962,0.4384,86.88,0.987,0.833
20,0.10496688694576316,0.1204,96.13,0.999,0.96,0.823,72.75,0.96,0.69
21,0.10185632877065183,0.0803,97.56,0.999,0.976,0.6234,81.94,0.973,0.768
22,0.09912575679200311,0.1174,96.29,0.999,0.962,0.3454,89.07,0.991,0.854
23,0.09607996086600007,0.0839,97.34,0.999,0.973,0.4545,85.19,0.98,0.796
24,0.09123809533494134,0.1341,95.54,0.999,0.955,0.5524,81.32,0.973,0.75
25,0.08956350136955525,0.2204,92.92,0.997,0.928,0.6076,78.81,0.971,0.76
26,0.08666808782212143,0.1156,96.22,0.999,0.963,0.7088,78.71,0.958,0.719
27,0.08599521561549128,0.0997,97.04,0.999,0.97,0.5059,82.6,0.979,0.773
28,0.08073531542353893,0.063,98.06,1.0,0.981,0.5399,82.82,0.98,0.766
29,0.07809067911077891,0.076,97.52,0.999,0.975,0.5718,84.0,0.982,0.821
30,0.07537790527066557,0.0856,97.22,0.999,0.972,0.4061,86.58,0.982,0.813
31,0.07415164018210063,0.0774,97.41,0.999,0.974,0.5623,84.18,0.959,0.78
32,0.070917999722384,0.0646,97.95,1.0,0.979,0.3412,90.34,0.99,0.856
33,0.06686666177579045,0.0626,98.05,0.999,0.98,0.2909,90.56,0.99,0.866
34,0.06287645695791129,0.0466,98.63,1.0,0.986,0.3777,87.73,0.989,0.821
35,0.06162960516575951,0.0539,98.14,1.0,0.981,0.2888,90.81,0.99,0.869
36,0.058202785464824845,0.0593,98.03,1.0,0.98,0.407,86.1,0.987,0.807
37,0.05507732553768062,0.0647,98.08,1.0,0.981,0.4054,88.16,0.982,0.821
38,0.05168854316369394,0.0555,98.27,1.0,0.983,0.2789,90.4,0.992,0.864
39,0.049949587261017184,0.0383,98.87,1.0,0.989,0.2998,90.64,0.991,0.854
40,0.049316428354724336,0.0376,98.86,1.0,0.989,0.3452,88.35,0.989,0.83
41,0.046185400520574876,0.0408,98.81,1.0,0.988,0.3502,88.95,0.991,0.853
42,0.04476783845880766,0.0352,98.99,1.0,0.99,0.2745,90.59,0.992,0.865
43,0.042016618925156776,0.0352,98.92,1.0,0.989,0.3018,89.29,0.991,0.847
44,0.041724542559768776,0.034,98.98,1.0,0.99,0.3318,88.41,0.991,0.846
45,0.03994586979336102,0.0319,99.09,1.0,0.991,0.3092,90.18,0.991,0.858
46,0.03973728683393275,0.0311,99.02,1.0,0.99,0.3139,90.07,0.991,0.856
47,0.036912816796972545,0.0306,99.05,1.0,0.991,0.2956,90.37,0.991,0.86
48,0.03816856785366932,0.0302,99.11,1.0,0.991,0.2981,90.23,0.991,0.859
49,0.03800255766532327,0.0303,99.08,1.0,0.991,0.2994,90.07,0.991,0.857
