epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.040213493626958,2.0595,15.65,0.677,0.061,2.0299,23.19,0.59,0.065
1,0.820510649457174,0.8004,72.66,0.966,0.713,1.5665,53.14,0.876,0.469
2,0.3562826786143622,0.4065,85.38,0.991,0.854,0.6156,79.65,0.967,0.748
3,0.26015589660789973,0.4762,85.56,0.986,0.848,0.5853,84.39,0.959,0.746
4,0.2019996390759625,0.9535,67.79,0.972,0.662,2.1402,49.72,0.892,0.43
5,0.1748731830332275,0.3767,87.39,0.994,0.861,0.7624,74.27,0.961,0.686
6,0.16361872404680483,0.2511,91.61,0.996,0.918,0.6987,78.07,0.966,0.711
7,0.14512412975773828,0.245,91.69,0.996,0.919,0.8091,74.37,0.962,0.662
8,0.13441091300069966,0.1783,94.17,0.997,0.94,0.7234,78.15,0.97,0.736
9,0.13075965114457663,0.2259,92.65,0.996,0.927,1.5692,67.45,0.911,0.609
10,0.12348795600888554,0.334,89.55,0.995,0.895,1.0934,72.57,0.935,0.655
11,0.12077761216885502,0.2734,90.71,0.996,0.901,0.6305,80.5,0.959,0.741
12,0.12071833089460521,0.1222,95.9,0.999,0.959,0.432,88.67,0.97,0.837
13,0.10943871707537199,0.1667,94.59,0.998,0.944,0.55,87.06,0.956,0.818
14,0.10606202220107713,0.189,93.61,0.998,0.937,0.9716,75.16,0.926,0.688
15,0.1035835587274623,0.1703,94.4,0.997,0.943,0.5702,81.13,0.973,0.757
16,0.09963232286820897,0.3356,89.27,0.994,0.895,0.7184,83.13,0.969,0.765
17,0.09802614640251255,0.1252,95.92,0.999,0.959,0.7817,77.08,0.963,0.709
18,0.09204739288881768,0.1863,93.82,0.997,0.94,0.756,77.77,0.95,0.751
19,0.0927266337990441,0.265,91.23,0.996,0.917,0.7452,80.69,0.952,0.727
20,0.09042846541085375,0.2408,92.09,0.995,0.924,0.8591,77.6,0.951,0.711
21,0.08583747356636899,0.0898,97.13,0.999,0.971,0.4689,85.77,0.982,0.822
22,0.08242866436222798,0.1534,95.09,0.999,0.951,0.6641,79.27,0.975,0.754
23,0.08099282522101042,0.1103,96.34,0.999,0.963,0.4677,85.53,0.985,0.807
24,0.0804537951376469,0.1251,96.0,0.999,0.961,0.4658,84.71,0.984,0.797
25,0.07724397281627962,0.0927,96.93,0.999,0.968,0.8332,82.01,0.95,0.763
26,0.07026023968174547,0.1511,94.68,0.999,0.945,0.7505,79.67,0.972,0.751
27,0.07034233873560092,0.0681,97.98,0.999,0.98,0.365,90.12,0.985,0.861
28,0.06678344428452641,0.103,96.63,0.999,0.966,1.1414,72.9,0.948,0.631
29,0.0641524193305289,0.0749,97.72,0.999,0.977,0.3465,89.82,0.989,0.856
30,0.061492100889479644,0.0665,97.9,1.0,0.979,0.4125,89.11,0.978,0.847
31,0.05792226344147074,0.0707,97.59,1.0,0.976,0.7041,83.04,0.967,0.79
32,0.05468730486709498,0.0966,96.84,0.999,0.968,0.5401,83.94,0.98,0.777
33,0.053260646432251646,0.1462,95.41,0.999,0.954,1.052,69.44,0.96,0.621
34,0.0519354478847602,0.0492,98.49,1.0,0.985,0.5893,83.92,0.977,0.779
35,0.047467706873279884,0.0436,98.64,1.0,0.986,0.4086,86.65,0.987,0.815
36,0.04599363099923607,0.0545,98.31,1.0,0.983,0.8037,80.22,0.967,0.747
37,0.04228713823572361,0.0459,98.62,1.0,0.986,0.5647,84.44,0.982,0.789
38,0.04096447551299773,0.0487,98.42,1.0,0.984,0.4594,86.44,0.981,0.81
39,0.03821137745086643,0.0391,98.76,1.0,0.987,0.5199,85.1,0.98,0.796
40,0.03646320350008329,0.0479,98.53,1.0,0.985,0.7426,82.33,0.973,0.77
41,0.034250692805951735,0.0401,98.76,1.0,0.988,0.5364,84.98,0.981,0.796
42,0.0315844584073145,0.0339,98.97,1.0,0.99,0.4453,87.3,0.986,0.821
43,0.031158671584413496,0.0353,98.9,1.0,0.989,0.624,85.15,0.978,0.801
44,0.0294481690503217,0.0345,98.97,1.0,0.99,0.543,85.78,0.982,0.802
45,0.02840292028922834,0.034,98.92,1.0,0.989,0.5383,85.56,0.983,0.802
46,0.027862481293076904,0.0322,98.95,1.0,0.989,0.5095,86.44,0.984,0.81
47,0.027664002715834884,0.0325,98.97,1.0,0.99,0.4992,86.71,0.984,0.814
48,0.02593389972178049,0.0324,98.99,1.0,0.99,0.4942,86.73,0.984,0.815
49,0.02627208509210877,0.0323,98.98,1.0,0.99,0.486,86.9,0.985,0.817
