epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0472833913714226,2.0733,16.01,0.679,0.034,2.0556,19.47,0.636,0.041
1,0.8620377861257095,0.9462,69.39,0.945,0.694,0.7748,74.23,0.955,0.718
2,0.3734335430153382,0.6236,78.73,0.984,0.779,0.7746,74.72,0.971,0.688
3,0.27726790251537464,0.6062,79.44,0.99,0.754,1.2262,60.45,0.966,0.609
4,0.21500643709921494,0.4605,84.12,0.989,0.841,1.1766,67.49,0.932,0.636
5,0.18559431427535616,0.194,93.86,0.996,0.939,0.4125,86.12,0.987,0.828
6,0.17096457354003383,0.2452,92.08,0.995,0.921,0.394,86.96,0.987,0.834
7,0.1556134405796246,0.2538,91.62,0.995,0.915,0.6081,80.89,0.973,0.779
8,0.15187286857288584,0.4366,82.69,0.993,0.822,1.1959,64.57,0.966,0.639
9,0.14316472177490538,0.1892,93.68,0.997,0.937,0.692,75.27,0.97,0.734
10,0.13302643173190642,0.1704,94.65,0.997,0.946,0.6341,76.77,0.973,0.727
11,0.12525392837461927,0.1732,94.46,0.997,0.943,0.6538,76.31,0.984,0.764
12,0.1231051189791558,0.196,93.31,0.997,0.93,0.7808,73.28,0.98,0.739
13,0.11800652472669505,0.1694,94.36,0.997,0.945,0.4758,85.09,0.981,0.797
14,0.11205928256287903,0.2124,92.36,0.998,0.926,1.0404,69.45,0.956,0.678
15,0.10913443964602272,0.17,94.4,0.998,0.944,0.7692,74.36,0.982,0.72
16,0.10453936155872105,0.1848,94.32,0.998,0.943,0.7686,75.45,0.977,0.752
17,0.10303240140239077,0.2858,91.05,0.995,0.913,0.5684,84.78,0.981,0.776
18,0.09910645829947619,0.0994,96.96,0.999,0.969,0.2969,89.94,0.994,0.877
19,0.09781090125081039,0.1712,94.06,0.997,0.942,0.3976,86.94,0.986,0.833
20,0.0911657611829459,0.1411,95.56,0.998,0.955,0.4212,84.51,0.986,0.817
21,0.09007385309692138,0.1106,96.49,0.999,0.965,0.3943,85.35,0.99,0.812
22,0.08616006402732758,0.0824,97.29,0.999,0.973,0.4247,85.82,0.986,0.818
23,0.08402285976735975,0.088,97.2,0.999,0.972,0.2649,90.92,0.992,0.876
24,0.08003358390702996,0.1761,94.45,0.998,0.943,0.8917,71.09,0.981,0.708
25,0.07738540810950127,0.0965,96.92,0.999,0.969,0.2511,91.35,0.993,0.89
26,0.0752750236731303,0.1015,96.62,0.999,0.966,0.4319,85.52,0.983,0.831
27,0.07077421353942978,0.0951,96.97,0.999,0.97,0.4371,84.45,0.985,0.819
28,0.06702775024979185,0.0833,97.38,0.999,0.974,0.3948,87.43,0.987,0.841
29,0.06562008947053904,0.0698,97.77,0.999,0.978,0.4144,86.88,0.987,0.855
30,0.061378630128518866,0.063,97.98,1.0,0.98,0.2892,91.44,0.993,0.889
31,0.06177510465678882,0.0751,97.55,0.999,0.975,0.2165,93.13,0.995,0.907
32,0.05675765756337393,0.0825,97.27,0.999,0.973,0.3233,89.69,0.991,0.854
33,0.05372777952742513,0.0497,98.51,1.0,0.985,0.3677,87.89,0.99,0.85
34,0.04991047058962152,0.0603,98.07,1.0,0.981,0.33,89.07,0.989,0.869
35,0.047996833266216364,0.0505,98.5,1.0,0.985,0.3018,90.42,0.992,0.883
36,0.0449466102716503,0.0591,98.05,1.0,0.98,0.3428,87.62,0.991,0.847
37,0.042684070211851895,0.0474,98.49,1.0,0.985,0.2863,90.53,0.991,0.881
38,0.03880963997254448,0.0499,98.46,1.0,0.985,0.3753,88.02,0.992,0.853
39,0.03763951252858859,0.0452,98.54,1.0,0.985,0.3279,89.44,0.991,0.866
40,0.0344370321677764,0.0407,98.69,1.0,0.987,0.4597,86.5,0.989,0.825
41,0.03387400461527716,0.0457,98.62,1.0,0.986,0.395,88.66,0.988,0.859
42,0.03191827482787565,0.038,98.77,1.0,0.988,0.4108,87.95,0.989,0.846
43,0.029214790005797662,0.0383,98.88,1.0,0.989,0.348,89.33,0.99,0.863
44,0.02848775651118982,0.0327,98.92,1.0,0.989,0.4726,85.57,0.987,0.824
45,0.02792757203114823,0.0341,98.91,1.0,0.989,0.4312,87.38,0.988,0.842
46,0.026829200169225107,0.0312,99.01,1.0,0.99,0.4362,86.77,0.988,0.836
47,0.024894177654965058,0.0316,99.07,1.0,0.991,0.4588,86.31,0.987,0.83
48,0.025784579194134176,0.0309,99.04,1.0,0.99,0.4521,86.63,0.988,0.836
49,0.024828866893579136,0.0309,99.06,1.0,0.99,0.4551,86.5,0.988,0.835
