epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.036618478836552,2.0687,13.26,0.748,0.043,2.0345,21.84,0.684,0.053
1,0.8314525585982108,0.9881,68.4,0.95,0.683,1.045,69.38,0.896,0.586
2,0.35407148282908196,0.6418,80.98,0.98,0.807,0.8352,72.6,0.946,0.682
3,0.26877592739024897,0.2399,92.21,0.995,0.921,0.6462,79.36,0.968,0.752
4,0.19817814574072865,0.2567,91.27,0.995,0.912,0.5061,82.63,0.977,0.772
5,0.1695675203129382,0.5958,83.22,0.976,0.838,1.3448,68.25,0.913,0.621
6,0.15406976519386187,0.2137,92.07,0.997,0.922,0.8106,76.57,0.965,0.729
7,0.14484461453679856,0.2155,92.79,0.996,0.925,0.5212,81.83,0.98,0.788
8,0.13321298380853028,0.2666,91.15,0.995,0.91,0.8615,71.53,0.971,0.679
9,0.12280281544345895,0.1853,93.65,0.998,0.932,0.4856,85.17,0.976,0.796
10,0.12159863278590223,0.1399,95.65,0.998,0.956,0.7213,80.8,0.973,0.767
11,0.11646350958855242,0.2456,92.32,0.997,0.926,0.5851,81.34,0.98,0.754
12,0.11151893198904064,0.2774,91.5,0.995,0.916,0.7756,78.18,0.967,0.737
13,0.10848687734040949,0.1147,96.43,0.999,0.964,0.5064,87.68,0.968,0.834
14,0.10676189339769784,0.1546,95.03,0.998,0.951,0.9169,80.53,0.968,0.781
15,0.10083597416799235,0.217,93.12,0.997,0.932,0.5575,82.11,0.97,0.757
16,0.09725801536553008,0.167,94.56,0.998,0.942,0.3476,88.68,0.99,0.848
17,0.09762338047186213,0.2379,92.04,0.995,0.923,0.7523,75.35,0.964,0.696
18,0.09446600591263143,0.1751,93.78,0.998,0.938,0.5105,85.65,0.971,0.784
19,0.09235881481947224,0.1297,95.82,0.999,0.958,0.4023,86.75,0.979,0.819
20,0.08552283585058211,0.1012,96.75,0.999,0.968,0.4312,87.15,0.976,0.831
21,0.08649253128530411,0.1135,96.5,0.999,0.965,0.3956,88.73,0.98,0.843
22,0.08226198711061991,0.0973,96.86,0.999,0.968,0.5946,80.36,0.979,0.766
23,0.07882852998218336,0.1274,96.04,0.998,0.961,0.571,82.03,0.974,0.785
24,0.07681547285401426,0.0906,97.32,0.999,0.973,0.4026,88.95,0.979,0.85
25,0.07429332278274987,0.1498,95.06,0.998,0.95,0.4146,87.16,0.982,0.818
26,0.07179048381024791,0.11,96.43,0.999,0.965,0.637,81.57,0.966,0.771
27,0.06780729293456055,0.1955,93.46,0.997,0.931,1.1903,72.07,0.98,0.71
28,0.06438717115370016,0.0812,97.49,0.999,0.975,0.5133,86.86,0.976,0.825
29,0.06436669181424817,0.1329,95.77,0.998,0.958,0.4994,86.94,0.98,0.811
30,0.05804060766887334,0.0807,97.56,0.999,0.975,0.681,82.95,0.978,0.792
31,0.05782143008898556,0.0565,98.24,1.0,0.982,0.3914,88.95,0.988,0.85
32,0.05350026609643119,0.0711,97.73,0.999,0.977,0.4682,87.27,0.978,0.825
33,0.052359459572888935,0.0657,98.01,1.0,0.98,0.576,88.19,0.968,0.826
34,0.049776207408650804,0.066,97.93,0.999,0.979,0.3054,92.34,0.989,0.889
35,0.04743734183704554,0.0502,98.41,1.0,0.984,0.5683,85.19,0.975,0.808
36,0.044320702492710085,0.0629,97.94,1.0,0.979,0.4011,91.17,0.983,0.861
37,0.041349653578546954,0.043,98.73,1.0,0.987,0.4959,86.75,0.984,0.828
38,0.038689685164279834,0.0535,98.33,1.0,0.983,0.3282,90.92,0.989,0.865
39,0.03826825808246343,0.0431,98.59,1.0,0.986,0.3935,89.67,0.984,0.853
40,0.0352641743921598,0.0442,98.64,1.0,0.986,0.3468,91.46,0.988,0.875
41,0.03232085933461518,0.0351,98.93,1.0,0.989,0.415,90.12,0.984,0.861
42,0.031529380858118065,0.0366,98.81,1.0,0.988,0.498,87.35,0.981,0.827
43,0.030643538490111363,0.0365,98.86,1.0,0.988,0.4299,90.05,0.981,0.862
44,0.02826469938193972,0.0346,98.97,1.0,0.99,0.4596,88.84,0.983,0.846
45,0.027013432102671767,0.0327,98.99,1.0,0.99,0.4005,90.86,0.982,0.869
46,0.026948195550003252,0.0329,98.95,1.0,0.989,0.4464,89.29,0.982,0.85
47,0.02424618270995903,0.0318,99.04,1.0,0.99,0.4112,89.93,0.984,0.857
48,0.02662061092754205,0.0315,99.04,1.0,0.99,0.4376,89.61,0.983,0.854
49,0.02556317104660909,0.0317,99.02,1.0,0.99,0.4357,89.48,0.983,0.852
