epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9957285741324067,2.0099,19.14,0.714,0.092,1.9919,26.88,0.681,0.12
1,1.086041188261415,1.0897,58.75,0.925,0.577,1.2514,55.39,0.913,0.538
2,0.51757564761519,0.6712,75.88,0.972,0.767,0.9108,69.86,0.946,0.665
3,0.3792652792988285,0.4556,84.18,0.983,0.835,0.7391,74.12,0.968,0.711
4,0.2854591634885598,0.291,89.78,0.994,0.892,0.3997,86.83,0.982,0.805
5,0.24439544828882354,0.3263,88.61,0.992,0.889,0.5741,81.3,0.967,0.758
6,0.22541443254518254,0.2448,90.86,0.995,0.912,0.5662,79.84,0.974,0.755
7,0.20421522921184912,0.169,94.74,0.997,0.948,0.4787,81.45,0.974,0.764
8,0.1948529612873831,0.2151,92.7,0.996,0.927,0.4218,85.35,0.981,0.808
9,0.1855107661550297,0.2508,91.9,0.995,0.918,0.4744,86.1,0.98,0.816
10,0.17805286571650522,0.1778,93.93,0.997,0.939,0.5385,80.4,0.984,0.769
11,0.17096036221284594,0.25,91.5,0.994,0.915,0.3933,86.2,0.983,0.826
12,0.16396190547200729,0.2421,92.29,0.995,0.923,0.4736,85.65,0.981,0.823
13,0.15768547149168122,0.2634,91.67,0.995,0.92,0.6233,81.46,0.977,0.729
14,0.15322333375345848,0.1842,93.65,0.997,0.936,0.3873,85.73,0.987,0.822
15,0.149181397658469,0.1188,96.13,0.998,0.961,0.3732,86.06,0.988,0.824
16,0.14409355853273664,0.1048,96.86,0.999,0.969,0.4793,82.71,0.982,0.785
17,0.14114204821540677,0.2309,91.76,0.997,0.918,0.5535,81.95,0.981,0.757
18,0.13947922757102382,0.1719,94.29,0.998,0.943,0.3843,87.29,0.986,0.838
19,0.13212789116447332,0.138,95.26,0.998,0.952,0.4435,85.49,0.98,0.81
20,0.13133486308905173,0.1301,95.9,0.998,0.959,0.7567,76.84,0.97,0.73
21,0.1267148464397397,0.1682,94.57,0.998,0.946,0.6515,80.25,0.966,0.752
22,0.12268990139713958,0.1359,95.43,0.998,0.954,0.4296,85.54,0.984,0.801
23,0.12012754200780798,0.1038,96.59,0.999,0.965,0.4232,85.25,0.98,0.795
24,0.11653961791359822,0.1121,96.34,0.999,0.963,0.3806,86.15,0.992,0.833
25,0.1121312122771977,0.073,97.63,0.999,0.976,0.3066,91.63,0.989,0.881
26,0.107583733379013,0.1224,96.25,0.999,0.961,0.4727,83.7,0.983,0.807
27,0.10839894277087035,0.1322,95.41,0.999,0.953,0.3745,86.58,0.989,0.835
28,0.10249022306293569,0.0901,97.1,0.999,0.97,0.4953,84.9,0.977,0.804
29,0.09647178292060839,0.0819,97.32,0.999,0.973,0.4811,84.04,0.982,0.81
30,0.09521687648002071,0.1033,96.44,0.999,0.965,0.5169,84.21,0.98,0.8
31,0.09403147224643965,0.0836,97.23,0.999,0.971,0.3564,88.88,0.993,0.859
32,0.08979105753123119,0.0802,97.32,0.999,0.974,0.3213,90.79,0.99,0.874
33,0.0847253194078803,0.0608,98.01,1.0,0.98,0.4061,87.73,0.987,0.835
34,0.08131365127541045,0.0624,98.04,1.0,0.98,0.3627,90.02,0.988,0.857
35,0.07869190894948538,0.0648,97.95,1.0,0.979,0.4184,87.02,0.984,0.83
36,0.07489648430631579,0.0728,97.62,1.0,0.976,0.5029,85.25,0.985,0.815
37,0.07549021096305929,0.0535,98.34,1.0,0.983,0.5537,86.55,0.981,0.816
38,0.06845313685989561,0.0592,98.1,1.0,0.981,0.2737,91.54,0.992,0.891
39,0.06661458217328595,0.0668,97.95,1.0,0.979,0.6281,85.35,0.975,0.798
40,0.06446589620643726,0.0448,98.57,1.0,0.986,0.3282,90.18,0.99,0.867
41,0.06206769625052115,0.0443,98.62,1.0,0.986,0.3951,89.04,0.988,0.853
42,0.05969979885571693,0.0403,98.73,1.0,0.987,0.4364,87.49,0.984,0.827
43,0.057391243385932135,0.0417,98.65,1.0,0.986,0.3796,88.47,0.986,0.84
44,0.05676477191816201,0.0393,98.83,1.0,0.988,0.4244,88.11,0.986,0.84
45,0.05431057997782277,0.0383,98.75,1.0,0.987,0.3514,89.18,0.989,0.853
46,0.05362074087477393,0.0384,98.79,1.0,0.988,0.3519,89.34,0.989,0.852
47,0.050665384006609734,0.0368,98.85,1.0,0.988,0.373,89.22,0.988,0.851
48,0.052112028460055054,0.0364,98.85,1.0,0.988,0.3546,89.64,0.989,0.858
49,0.05145778270157915,0.0365,98.86,1.0,0.988,0.3465,89.67,0.989,0.857
