epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0110229334950875,2.0147,19.69,0.725,0.094,2.0148,28.0,0.684,0.123
1,1.1348371708692189,1.1855,59.13,0.936,0.563,1.3806,59.1,0.888,0.538
2,0.5939020636795243,0.9116,73.6,0.956,0.723,1.089,69.46,0.947,0.635
3,0.4456670434351036,0.4414,84.64,0.988,0.851,1.0308,67.74,0.956,0.648
4,0.3418847764424953,0.2527,91.46,0.994,0.915,0.6554,76.85,0.967,0.721
5,0.2937131018568111,0.4659,83.38,0.99,0.838,0.9504,66.24,0.964,0.577
6,0.26503713637269954,0.2766,90.75,0.993,0.906,0.5526,81.29,0.978,0.797
7,0.24310854803704018,0.2339,92.17,0.995,0.922,0.8133,70.99,0.961,0.672
8,0.23572757578451572,0.182,93.87,0.997,0.938,0.5051,82.16,0.978,0.798
9,0.22173113120873342,0.2301,92.17,0.996,0.922,0.474,84.71,0.979,0.786
10,0.21477940093765976,0.2489,92.06,0.995,0.919,0.547,79.98,0.98,0.755
11,0.20553269521683776,0.3389,88.26,0.994,0.881,0.3687,86.36,0.986,0.806
12,0.1972196233462155,0.1951,93.58,0.996,0.934,0.4577,83.23,0.98,0.796
13,0.18748424483937173,0.1419,95.39,0.998,0.954,0.3486,88.0,0.991,0.842
14,0.18525699579480728,0.1364,95.5,0.998,0.954,0.3876,86.01,0.988,0.822
15,0.18104470162702505,0.131,95.73,0.998,0.958,0.3461,86.15,0.985,0.8
16,0.17441703540716974,0.4394,86.05,0.992,0.851,0.7949,79.27,0.97,0.707
17,0.17320697657149753,0.1865,93.9,0.997,0.939,0.3424,87.18,0.99,0.83
18,0.16744631624990894,0.1829,93.98,0.997,0.939,0.3445,88.11,0.991,0.863
19,0.1620146373961134,0.1508,95.11,0.998,0.952,0.7506,80.61,0.978,0.745
20,0.15959471199781664,0.1584,94.95,0.998,0.948,0.4013,87.27,0.986,0.842
21,0.15374603400200498,0.1599,94.6,0.998,0.947,0.3581,86.34,0.986,0.818
22,0.15071958875931185,0.1288,95.92,0.998,0.958,0.4933,85.09,0.983,0.795
23,0.1476386414413544,0.1172,96.41,0.998,0.964,0.3596,88.52,0.988,0.833
24,0.14278159006148256,0.137,95.45,0.998,0.954,0.5142,82.98,0.984,0.788
25,0.1405541242223807,0.1177,96.21,0.998,0.962,0.3739,89.12,0.986,0.835
26,0.1368217107816516,0.1177,96.07,0.999,0.961,0.351,88.55,0.987,0.848
27,0.13499822651159593,0.1381,95.26,0.998,0.95,0.3442,88.5,0.989,0.858
28,0.13021457223989416,0.1227,96.0,0.999,0.96,0.3878,87.32,0.985,0.842
29,0.12101999302411379,0.0865,97.24,0.999,0.972,0.4321,87.04,0.986,0.832
30,0.11988239834839512,0.0859,97.34,0.999,0.973,0.3027,90.02,0.989,0.867
31,0.11659394664603108,0.0889,97.18,0.999,0.97,0.4067,85.74,0.988,0.819
32,0.1130038763306314,0.0808,97.48,0.999,0.975,0.3306,89.26,0.99,0.85
33,0.108689586825562,0.0929,97.02,0.999,0.97,0.4585,86.29,0.986,0.825
34,0.10448319779702306,0.0621,98.04,1.0,0.98,0.2403,92.45,0.993,0.895
35,0.10234528979934138,0.065,97.88,1.0,0.979,0.3063,90.59,0.992,0.87
36,0.096585173443574,0.0735,97.58,0.999,0.976,0.3182,89.8,0.991,0.872
37,0.09438303551606593,0.064,98.07,1.0,0.981,0.424,87.27,0.988,0.831
38,0.09138872984823466,0.0641,98.02,1.0,0.98,0.345,90.16,0.99,0.878
39,0.08518884543957035,0.0586,98.15,1.0,0.981,0.338,89.94,0.989,0.87
40,0.08474898997587435,0.0474,98.62,1.0,0.986,0.3428,89.33,0.989,0.858
41,0.08157860385554452,0.0488,98.48,1.0,0.985,0.3346,90.56,0.991,0.876
42,0.07804133188259858,0.0484,98.51,1.0,0.985,0.332,89.53,0.99,0.86
43,0.07585591426800176,0.0436,98.71,1.0,0.987,0.2968,91.02,0.991,0.883
44,0.07413279150001785,0.0432,98.7,1.0,0.987,0.3383,89.48,0.99,0.863
45,0.07304716015762006,0.0435,98.7,1.0,0.987,0.3037,90.76,0.992,0.879
46,0.07069596468294073,0.0423,98.69,1.0,0.987,0.3076,90.67,0.992,0.876
47,0.06850241423888286,0.0416,98.7,1.0,0.987,0.3094,90.48,0.992,0.875
48,0.06892361547998203,0.0408,98.74,1.0,0.987,0.3049,90.68,0.992,0.879
49,0.0680396412816366,0.041,98.76,1.0,0.987,0.2981,90.92,0.992,0.882
