epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.062095758308219,2.0707,16.01,0.623,0.034,2.0704,19.47,0.527,0.041
1,1.3773573490667514,1.1809,61.1,0.904,0.59,1.2069,57.7,0.907,0.529
2,0.789877114223323,1.0518,64.43,0.936,0.607,1.022,66.81,0.94,0.578
3,0.5989630231400117,0.68,75.56,0.977,0.738,0.9682,67.19,0.956,0.635
4,0.48514763546246353,0.4293,84.98,0.984,0.852,0.6941,74.75,0.97,0.71
5,0.43004734969053643,0.3972,84.52,0.987,0.842,0.5274,77.7,0.979,0.723
6,0.3925745928105915,0.484,83.92,0.987,0.836,0.8323,70.82,0.965,0.695
7,0.36314681567598844,0.3182,89.09,0.993,0.893,0.5826,79.9,0.977,0.76
8,0.3452873506372975,0.3754,86.56,0.991,0.87,0.5924,76.49,0.974,0.707
9,0.32606729784960387,0.2563,91.22,0.994,0.913,0.3559,86.83,0.987,0.841
10,0.3174653221255562,0.2635,90.54,0.994,0.902,0.494,80.33,0.979,0.753
11,0.304152634595671,0.6297,79.07,0.99,0.758,1.1688,64.3,0.973,0.576
12,0.2962103931093088,0.2531,91.36,0.995,0.914,0.3375,87.87,0.991,0.847
13,0.2821917259217804,0.2606,91.12,0.995,0.913,0.4739,85.6,0.98,0.82
14,0.2738249116981115,0.3417,88.17,0.992,0.884,0.6491,77.51,0.969,0.7
15,0.2681215653015721,0.2637,91.26,0.995,0.911,0.5009,84.07,0.985,0.816
16,0.2602769436721947,0.2271,91.97,0.996,0.919,0.4998,81.78,0.984,0.779
17,0.25237521267492713,0.3284,88.92,0.993,0.891,0.5456,84.35,0.976,0.767
18,0.2485410424223083,0.1717,94.39,0.997,0.943,0.311,88.5,0.99,0.857
19,0.2451772431852997,0.3192,88.56,0.995,0.876,0.5728,80.2,0.987,0.789
20,0.23956295674312927,0.1912,93.39,0.996,0.934,0.4147,85.5,0.985,0.819
21,0.23196917098002195,0.2085,92.95,0.996,0.931,0.3507,87.84,0.987,0.85
22,0.22709724116122423,0.2511,91.5,0.995,0.914,0.4777,85.55,0.981,0.815
23,0.22117626458726902,0.1444,95.24,0.998,0.952,0.3033,89.5,0.989,0.863
24,0.21144453465511295,0.2061,93.09,0.996,0.928,0.3799,85.77,0.989,0.835
25,0.2118682819401919,0.2041,93.15,0.997,0.933,0.3633,89.66,0.987,0.859
26,0.1981392526418291,0.1881,93.32,0.997,0.935,0.5534,83.44,0.983,0.776
27,0.1978865761483442,0.1278,96.07,0.998,0.961,0.3451,88.41,0.987,0.847
28,0.19371133873165722,0.1522,95.15,0.998,0.951,0.4535,84.32,0.979,0.789
29,0.18587316721544256,0.1225,96.09,0.998,0.961,0.3821,87.3,0.986,0.841
30,0.18283942670938574,0.1447,95.28,0.998,0.952,0.3585,88.77,0.988,0.849
31,0.18112419277269354,0.1264,95.87,0.998,0.959,0.2595,90.27,0.992,0.869
32,0.1767191963877836,0.1212,95.92,0.998,0.959,0.3475,88.33,0.988,0.844
33,0.1686783326609481,0.1693,94.44,0.998,0.946,0.5623,84.65,0.98,0.801
34,0.162303070494351,0.1026,96.65,0.999,0.967,0.3122,89.94,0.989,0.87
35,0.16053954260857728,0.103,96.52,0.999,0.965,0.2709,90.9,0.991,0.884
36,0.1517533526011479,0.1072,96.54,0.999,0.965,0.2805,90.84,0.992,0.884
37,0.14919183831862223,0.1007,96.76,0.999,0.968,0.391,88.32,0.985,0.85
38,0.14543113081739367,0.1236,95.91,0.998,0.96,0.3621,88.19,0.987,0.857
39,0.13760441462225598,0.0932,96.95,0.999,0.97,0.3194,90.64,0.988,0.878
40,0.13572526719808364,0.088,97.09,0.999,0.971,0.3122,90.07,0.989,0.872
41,0.1328529284659466,0.103,96.69,0.999,0.967,0.3587,90.57,0.987,0.876
42,0.1284449870053906,0.095,96.89,0.999,0.969,0.3735,88.36,0.989,0.849
43,0.124013504821233,0.0922,96.98,0.999,0.97,0.3454,89.31,0.988,0.865
44,0.12186380816243028,0.0891,97.01,0.999,0.97,0.3271,90.04,0.988,0.874
45,0.12074578494020474,0.0898,96.98,0.999,0.97,0.3188,90.34,0.989,0.879
46,0.11797414425974144,0.0843,97.22,0.999,0.972,0.338,90.05,0.988,0.876
47,0.11281067799896963,0.0824,97.33,0.999,0.973,0.3302,89.96,0.989,0.872
48,0.11485246438065737,0.0816,97.38,0.999,0.974,0.3287,90.05,0.988,0.875
49,0.11550421953722033,0.0813,97.37,0.999,0.974,0.3246,90.15,0.989,0.876
