epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0242505361956935,2.0184,21.02,0.725,0.106,2.0205,28.15,0.666,0.129
1,1.253392156306988,1.0705,60.26,0.938,0.586,1.4098,51.35,0.926,0.486
2,0.7107149435734663,0.6593,76.68,0.964,0.778,0.7383,74.89,0.962,0.713
3,0.520056344007933,0.4204,85.87,0.988,0.844,1.0732,68.17,0.96,0.618
4,0.41334615888134124,0.2782,90.86,0.993,0.907,0.5257,81.35,0.972,0.767
5,0.3648524382368638,0.2954,89.63,0.992,0.897,0.4337,83.78,0.982,0.789
6,0.3370073912498344,0.4414,85.32,0.986,0.854,0.6794,76.91,0.96,0.711
7,0.3173758748077577,0.2507,91.32,0.996,0.916,0.6041,81.23,0.972,0.769
8,0.3071443206200036,0.3884,87.14,0.991,0.874,0.604,78.29,0.981,0.753
9,0.292929287666061,0.1604,94.88,0.997,0.949,0.3215,87.57,0.987,0.836
10,0.27809035810091165,0.2174,93.02,0.996,0.93,0.5713,78.95,0.97,0.714
11,0.2697173906590349,0.2277,92.09,0.996,0.92,0.3397,86.89,0.989,0.801
12,0.26921270489959737,0.2515,91.37,0.995,0.911,0.4293,84.1,0.984,0.8
13,0.2569313606374153,0.2477,91.59,0.995,0.917,0.5742,79.35,0.977,0.749
14,0.24681869075770446,0.3099,88.74,0.995,0.883,0.534,81.11,0.973,0.721
15,0.24684556536242952,0.2876,90.89,0.996,0.907,0.5095,83.04,0.987,0.809
16,0.233366961694426,0.2206,92.63,0.997,0.927,0.5268,81.67,0.98,0.775
17,0.22800327009624904,0.2717,90.44,0.997,0.908,0.5198,81.86,0.981,0.78
18,0.22241008141508667,0.2542,91.75,0.996,0.917,0.4674,82.57,0.982,0.782
19,0.21829390536499707,0.1674,94.69,0.997,0.947,0.5288,83.04,0.983,0.803
20,0.21093795524649722,0.1878,93.68,0.997,0.938,0.4118,86.12,0.984,0.83
21,0.20466550812125206,0.1621,94.64,0.997,0.945,0.3469,87.07,0.987,0.84
22,0.20212373218255444,0.166,94.5,0.998,0.943,0.34,88.79,0.99,0.854
23,0.19782247005771564,0.1248,96.11,0.998,0.96,0.344,87.46,0.989,0.851
24,0.19337038786607832,0.1137,96.4,0.998,0.964,0.2805,90.6,0.992,0.871
25,0.1836833356408983,0.1674,94.51,0.997,0.945,0.3443,87.27,0.987,0.817
26,0.1810787475090407,0.1012,96.83,0.999,0.968,0.3532,88.25,0.987,0.837
27,0.1795585994411754,0.1117,96.53,0.998,0.965,0.2353,91.3,0.992,0.88
28,0.17588309419598416,0.1104,96.76,0.999,0.968,0.3169,89.06,0.99,0.86
29,0.16758135844382546,0.11,96.6,0.999,0.966,0.2718,89.66,0.99,0.863
30,0.1649750733821516,0.1075,96.49,0.999,0.964,0.338,88.66,0.991,0.858
31,0.15916320301031553,0.1209,96.01,0.999,0.96,0.3095,88.69,0.99,0.848
32,0.15564615752774968,0.0846,97.34,0.999,0.973,0.3618,86.77,0.988,0.823
33,0.15169685649081371,0.0928,97.1,0.999,0.971,0.2862,89.93,0.991,0.867
34,0.1453017010737384,0.0919,96.98,0.999,0.969,0.3074,88.84,0.991,0.85
35,0.142423521613829,0.0812,97.47,0.999,0.975,0.3037,90.3,0.992,0.882
36,0.13786672695296212,0.1025,96.61,0.999,0.966,0.2794,89.99,0.992,0.866
37,0.13317349308761217,0.0743,97.69,0.999,0.977,0.2553,91.27,0.993,0.884
38,0.12856945637813819,0.0801,97.43,0.999,0.974,0.3042,90.07,0.989,0.866
39,0.12662630494830857,0.0647,97.95,0.999,0.979,0.2837,90.67,0.991,0.878
40,0.12197700577477615,0.0598,98.17,1.0,0.982,0.2722,91.24,0.992,0.886
41,0.11742914775152788,0.061,98.05,1.0,0.98,0.2262,91.79,0.994,0.886
42,0.11504369525833048,0.0609,98.09,1.0,0.981,0.2758,90.75,0.992,0.886
43,0.10954695591522802,0.0614,98.13,1.0,0.981,0.2879,89.77,0.991,0.867
44,0.10612826314370906,0.0547,98.23,1.0,0.982,0.2803,90.24,0.992,0.869
45,0.10645506337058053,0.0537,98.33,1.0,0.983,0.2478,91.82,0.993,0.894
46,0.10390611249272541,0.0527,98.31,1.0,0.983,0.2365,92.29,0.994,0.901
47,0.10211003804078667,0.0502,98.41,1.0,0.984,0.2509,91.66,0.993,0.893
48,0.10167138890687069,0.0501,98.41,1.0,0.984,0.2445,91.85,0.993,0.895
49,0.10051996038231906,0.0503,98.43,1.0,0.984,0.2445,91.84,0.993,0.895
