epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0637624597036712,2.0704,16.01,0.589,0.034,2.0733,19.47,0.517,0.041
1,1.4950500024903206,1.9205,48.25,0.838,0.435,1.919,51.51,0.853,0.417
2,0.9061390249105338,0.5536,79.49,0.973,0.784,0.5434,79.47,0.97,0.737
3,0.7081364414597925,0.5236,80.87,0.978,0.807,0.6119,76.25,0.966,0.722
4,0.5873877620825203,0.4256,84.64,0.986,0.846,0.5727,77.18,0.974,0.739
5,0.53189427814176,0.3405,88.29,0.99,0.883,0.3729,85.57,0.986,0.821
6,0.4948831148792766,0.3801,86.29,0.988,0.863,0.6085,79.31,0.967,0.723
7,0.46141444691406786,0.6299,78.56,0.972,0.786,0.7478,75.98,0.949,0.672
8,0.4428552692241993,0.2879,90.02,0.991,0.902,0.5105,80.58,0.969,0.754
9,0.4253195822505968,0.4772,83.18,0.982,0.834,0.6025,76.61,0.966,0.737
10,0.4119519983621908,0.5065,81.92,0.988,0.814,0.947,67.25,0.966,0.584
11,0.3994389974568907,0.3758,86.94,0.989,0.871,0.712,76.27,0.96,0.717
12,0.3865280298776524,0.2668,91.34,0.993,0.912,0.4512,84.53,0.979,0.807
13,0.37359131119584527,0.2506,91.55,0.994,0.916,0.362,86.07,0.987,0.824
14,0.36403684598463837,0.3618,87.35,0.993,0.872,0.6399,79.25,0.98,0.777
15,0.36256373566859085,0.2122,93.13,0.995,0.931,0.4819,82.76,0.978,0.782
16,0.34212137427594924,0.2151,92.64,0.995,0.927,0.3592,86.8,0.986,0.829
17,0.3407190282658864,0.3514,88.38,0.993,0.886,0.5513,81.83,0.981,0.755
18,0.33369917160828055,0.2207,92.46,0.995,0.925,0.4577,83.1,0.983,0.791
19,0.3239715505244484,0.2675,90.88,0.995,0.908,0.441,84.13,0.985,0.804
20,0.31753952224408427,0.2258,92.44,0.995,0.924,0.4731,84.18,0.979,0.811
21,0.3127196315529099,0.2579,91.05,0.994,0.913,0.6774,75.84,0.968,0.719
22,0.31006933884915483,0.1915,93.68,0.997,0.937,0.3613,88.43,0.985,0.847
23,0.30238511723109046,0.3643,87.67,0.99,0.877,0.7834,73.41,0.964,0.67
24,0.29503199268519664,0.2402,92.0,0.995,0.918,0.4571,84.37,0.986,0.829
25,0.28787313404369524,0.2048,93.1,0.996,0.93,0.4331,83.99,0.983,0.803
26,0.2831911379237756,0.2124,92.76,0.995,0.929,0.52,80.29,0.975,0.75
27,0.2724912671979824,0.1964,93.47,0.996,0.936,0.39,85.65,0.987,0.811
28,0.2675448733926033,0.1726,94.43,0.997,0.944,0.4609,84.86,0.985,0.807
29,0.2631360592060192,0.1475,95.39,0.997,0.954,0.3422,88.05,0.987,0.843
30,0.2565966379898851,0.1536,94.93,0.997,0.949,0.3379,86.89,0.989,0.831
31,0.2511909890879867,0.1772,94.24,0.997,0.942,0.4057,85.73,0.984,0.826
32,0.24822274255015517,0.1411,95.34,0.998,0.954,0.3136,89.09,0.989,0.859
33,0.23899194229674595,0.1444,95.33,0.998,0.953,0.3926,86.83,0.986,0.83
34,0.2293100141816669,0.1253,96.08,0.998,0.961,0.2701,90.27,0.99,0.87
35,0.22770926166713024,0.1266,95.91,0.998,0.959,0.3842,86.8,0.985,0.834
36,0.21754223276530543,0.1964,93.17,0.997,0.929,0.4822,84.56,0.982,0.819
37,0.21385001197564132,0.1459,95.2,0.998,0.951,0.4036,85.76,0.988,0.817
38,0.20997401517832578,0.1223,96.15,0.998,0.962,0.3368,87.19,0.986,0.825
39,0.20078407248021454,0.1741,94.42,0.997,0.944,0.6203,79.65,0.981,0.755
40,0.1991911799276388,0.1024,96.66,0.999,0.966,0.2621,89.86,0.992,0.868
41,0.19292568333954366,0.1044,96.66,0.999,0.967,0.2718,89.48,0.991,0.859
42,0.19046860634212426,0.1282,95.78,0.998,0.958,0.3711,86.28,0.988,0.83
43,0.18677413693252004,0.107,96.47,0.999,0.965,0.3474,87.78,0.988,0.846
44,0.18741213292631198,0.1045,96.6,0.999,0.966,0.2743,90.54,0.991,0.878
45,0.18013406642395535,0.1024,96.65,0.999,0.967,0.3008,89.04,0.991,0.861
46,0.17613005893151393,0.1015,96.75,0.999,0.968,0.2854,89.29,0.992,0.86
47,0.17610130190689077,0.1004,96.67,0.999,0.967,0.2894,89.04,0.992,0.854
48,0.17332147381612265,0.0987,96.77,0.999,0.968,0.2814,89.67,0.992,0.864
49,0.17362083190230912,0.0988,96.81,0.999,0.968,0.279,89.8,0.992,0.866
