epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9853844164092909,2.0031,29.05,0.756,0.186,2.0072,24.25,0.682,0.142
1,1.0433043396387476,1.5832,54.07,0.913,0.468,1.7006,48.27,0.907,0.386
2,0.5120689211459998,0.3545,87.54,0.989,0.872,0.4374,83.15,0.982,0.79
3,0.3837367193139155,0.3924,87.61,0.993,0.87,0.875,74.47,0.973,0.708
4,0.2964222176821642,0.87,77.23,0.97,0.764,1.048,71.77,0.92,0.61
5,0.25853315613976946,0.4855,83.44,0.989,0.829,1.145,63.54,0.944,0.573
6,0.22994810034350682,0.2845,90.79,0.994,0.905,0.469,84.75,0.987,0.829
7,0.21309882764267238,0.2404,91.82,0.994,0.918,0.3201,88.43,0.986,0.848
8,0.20004193739812007,0.1867,93.83,0.996,0.939,0.2993,89.06,0.991,0.862
9,0.1922867390657625,0.3045,89.7,0.995,0.9,0.68,76.79,0.978,0.711
10,0.17773078044202165,0.4421,87.68,0.987,0.873,0.406,86.64,0.985,0.809
11,0.17575313998753453,0.1764,94.51,0.997,0.943,0.4081,85.55,0.984,0.832
12,0.16417970522023123,0.2328,91.57,0.997,0.909,0.5673,81.97,0.986,0.811
13,0.15894913400346447,0.2594,90.72,0.995,0.911,0.366,88.19,0.988,0.84
14,0.15248566642270078,0.1597,95.1,0.998,0.952,0.3884,86.2,0.988,0.829
15,0.1491993730587344,0.1328,95.68,0.999,0.957,0.3479,87.18,0.991,0.837
16,0.14176009577368537,0.2111,93.15,0.997,0.932,0.4263,84.83,0.987,0.785
17,0.1401496292141977,0.157,94.97,0.997,0.949,0.3378,87.68,0.987,0.831
18,0.13698018296858744,0.2018,93.43,0.997,0.935,0.2998,88.73,0.99,0.835
19,0.1337212633982461,0.164,94.57,0.998,0.944,0.3299,89.33,0.992,0.863
20,0.13171879167745298,0.1538,95.07,0.998,0.95,0.4248,84.35,0.984,0.823
21,0.12579975350623063,0.1072,96.51,0.999,0.965,0.2342,91.25,0.994,0.883
22,0.11765978011339369,0.2626,91.38,0.996,0.91,0.5932,81.18,0.982,0.802
23,0.11562585196788272,0.122,96.12,0.998,0.961,0.2116,92.37,0.995,0.89
24,0.11660472598380833,0.1377,95.5,0.998,0.955,0.3089,88.13,0.99,0.844
25,0.10975286133894463,0.0961,96.72,0.999,0.967,0.2855,90.15,0.991,0.858
26,0.10696165489306586,0.0977,96.82,0.999,0.968,0.4295,85.38,0.986,0.809
27,0.10322781884542076,0.1559,94.85,0.998,0.947,0.3103,89.04,0.991,0.845
28,0.09933949405774742,0.0961,97.01,0.999,0.97,0.3671,87.64,0.99,0.831
29,0.09345089548390932,0.0996,96.68,0.999,0.967,0.3636,87.42,0.99,0.835
30,0.09274663624276931,0.0714,97.79,0.999,0.978,0.3116,89.69,0.992,0.855
31,0.08878877262274425,0.0737,97.82,0.999,0.978,0.1828,92.86,0.994,0.897
32,0.08587440844177932,0.065,97.91,1.0,0.979,0.235,91.57,0.993,0.884
33,0.08406268892055344,0.1418,95.47,0.999,0.951,0.5442,84.21,0.988,0.836
34,0.07759474444880708,0.0715,97.7,0.999,0.977,0.2569,91.06,0.992,0.881
35,0.07609793159770228,0.055,98.31,1.0,0.983,0.1668,94.3,0.996,0.925
36,0.07138723225790113,0.0561,98.23,1.0,0.982,0.2359,91.76,0.993,0.882
37,0.07003789975751845,0.0572,98.21,1.0,0.982,0.2457,91.11,0.994,0.9
38,0.06562869511978654,0.0545,98.34,1.0,0.983,0.2779,91.05,0.991,0.881
39,0.06226721793032622,0.0509,98.37,1.0,0.984,0.2216,92.82,0.993,0.906
40,0.06140791698222092,0.0413,98.7,1.0,0.987,0.22,92.85,0.993,0.9
41,0.05760149109781483,0.0408,98.71,1.0,0.987,0.2387,92.06,0.993,0.889
42,0.05552033925976431,0.0443,98.58,1.0,0.986,0.255,93.1,0.991,0.906
43,0.05434220142021615,0.0393,98.77,1.0,0.987,0.2367,92.5,0.993,0.901
44,0.05206952321987372,0.0371,98.81,1.0,0.988,0.2252,92.85,0.993,0.903
45,0.050436729889055947,0.0369,98.85,1.0,0.988,0.2138,93.4,0.994,0.912
46,0.05007180136605083,0.0369,98.89,1.0,0.989,0.2062,93.43,0.994,0.91
47,0.047085879090171985,0.0362,98.88,1.0,0.989,0.2259,92.64,0.994,0.9
48,0.047065369199000055,0.0354,98.86,1.0,0.988,0.2221,93.13,0.993,0.908
49,0.04822405633319663,0.0353,98.89,1.0,0.989,0.2199,93.23,0.994,0.909
