epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9979001181100005,2.0244,31.99,0.746,0.2,2.0316,24.43,0.691,0.121
1,1.216238325535183,1.1147,55.91,0.938,0.527,1.3124,45.98,0.916,0.439
2,0.5945916553979279,0.4772,82.7,0.985,0.81,0.5253,80.21,0.978,0.732
3,0.44964310086222103,0.4147,85.07,0.988,0.847,0.56,78.84,0.979,0.73
4,0.3402290344505327,0.537,82.18,0.986,0.802,0.557,78.73,0.976,0.743
5,0.3006803217113659,0.4119,84.37,0.992,0.851,0.5292,77.45,0.979,0.713
6,0.26951390607649706,0.2805,90.79,0.993,0.907,0.316,89.1,0.989,0.843
7,0.24668944924802763,0.329,88.72,0.992,0.883,0.5256,81.92,0.977,0.775
8,0.2408599792762683,0.1808,94.22,0.997,0.942,0.2737,89.58,0.99,0.861
9,0.2234112920379767,0.1828,94.24,0.997,0.942,0.305,88.25,0.991,0.836
10,0.21182207302540862,0.2683,90.05,0.996,0.9,0.4501,81.67,0.985,0.771
11,0.20642678391548894,0.1851,93.5,0.997,0.935,0.2619,89.78,0.99,0.847
12,0.197598184395488,0.18,94.2,0.997,0.941,0.3531,86.67,0.99,0.812
13,0.1878996955224156,0.1935,93.46,0.997,0.933,0.2224,92.47,0.993,0.886
14,0.18075872334154275,0.189,93.65,0.998,0.936,0.4381,84.11,0.987,0.811
15,0.18118622716796653,0.1619,95.0,0.998,0.95,0.3507,87.65,0.988,0.851
16,0.16958300142438823,0.1561,94.9,0.998,0.948,0.2758,90.65,0.993,0.855
17,0.16716551677220398,0.1586,94.88,0.998,0.948,0.2952,89.2,0.987,0.846
18,0.16220249418556476,0.1508,94.96,0.998,0.948,0.2535,90.19,0.991,0.869
19,0.16114972488400542,0.1743,94.15,0.998,0.941,0.3214,88.06,0.992,0.857
20,0.15220247195052203,0.1003,96.64,0.999,0.966,0.2506,91.16,0.992,0.881
21,0.1511881140437925,0.1156,96.38,0.999,0.964,0.2378,90.86,0.992,0.865
22,0.1453823847061951,0.1872,93.97,0.997,0.941,0.3271,87.62,0.99,0.833
23,0.14230112205376336,0.0984,96.93,0.999,0.969,0.1901,93.29,0.994,0.912
24,0.137964635019234,0.127,95.99,0.998,0.961,0.3297,88.66,0.986,0.854
25,0.13625907757082506,0.1114,96.24,0.999,0.962,0.217,92.06,0.995,0.895
26,0.1297308393890926,0.1094,96.48,0.999,0.964,0.3174,89.22,0.99,0.859
27,0.12458851028861324,0.0867,97.31,0.999,0.973,0.255,90.68,0.992,0.878
28,0.12132815460550957,0.1198,96.11,0.999,0.96,0.3506,86.82,0.99,0.822
29,0.11619032754506048,0.1702,94.41,0.998,0.943,0.6668,81.02,0.983,0.8
30,0.11425161290593365,0.1049,96.69,0.999,0.967,0.3482,86.97,0.988,0.833
31,0.11308230600556805,0.0835,97.3,0.999,0.973,0.1838,93.08,0.994,0.899
32,0.10705445920147243,0.0926,97.01,0.999,0.97,0.3598,88.09,0.989,0.859
33,0.1046474905898227,0.0794,97.36,0.999,0.973,0.2922,89.85,0.992,0.866
34,0.09886231626580906,0.0811,97.47,0.999,0.974,0.2309,92.45,0.994,0.908
35,0.0968884578555502,0.0653,97.89,0.999,0.979,0.2354,92.34,0.994,0.901
36,0.0900749818815793,0.0647,98.01,0.999,0.98,0.3068,90.59,0.991,0.885
37,0.08990572920356173,0.0585,98.21,1.0,0.982,0.2118,92.15,0.995,0.897
38,0.08479842812316926,0.0611,98.05,1.0,0.98,0.2401,91.95,0.994,0.897
39,0.08172799492301586,0.0601,98.12,1.0,0.981,0.1877,93.94,0.995,0.919
40,0.07808111482850646,0.0524,98.34,1.0,0.983,0.2663,89.97,0.992,0.859
41,0.07498904800970495,0.0483,98.51,1.0,0.985,0.2472,91.44,0.994,0.888
42,0.072634172684256,0.0458,98.61,1.0,0.986,0.1965,93.08,0.994,0.914
43,0.07009513284276676,0.0454,98.6,1.0,0.986,0.2215,92.22,0.994,0.898
44,0.06848864927787775,0.044,98.66,1.0,0.986,0.2034,92.56,0.995,0.904
45,0.06612713072669282,0.0434,98.67,1.0,0.986,0.2075,92.89,0.995,0.911
46,0.06517079351369733,0.0419,98.71,1.0,0.987,0.2042,92.94,0.995,0.907
47,0.06356087195149566,0.0412,98.73,1.0,0.987,0.2108,92.26,0.995,0.898
48,0.0639277021467392,0.0411,98.71,1.0,0.987,0.2074,92.67,0.995,0.904
49,0.0643569101065424,0.041,98.73,1.0,0.987,0.2048,92.75,0.995,0.905
