epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.070073910511523,2.0689,16.01,0.622,0.034,2.0819,19.47,0.589,0.041
1,1.3797569355016113,1.1533,58.46,0.907,0.543,1.0569,61.01,0.909,0.543
2,0.7433084726440436,0.6344,76.57,0.965,0.764,0.6506,74.37,0.971,0.695
3,0.5631423588828801,0.7048,77.16,0.972,0.736,1.0679,72.56,0.948,0.669
4,0.44799559315045673,0.5768,78.81,0.973,0.798,0.6208,78.04,0.965,0.741
5,0.3964447423441863,0.3773,87.37,0.988,0.869,0.5701,81.16,0.977,0.763
6,0.3601888212572289,0.4038,86.33,0.989,0.858,0.4647,83.93,0.98,0.807
7,0.3348203966641084,0.2819,90.36,0.992,0.902,0.4697,81.76,0.975,0.771
8,0.31613261071050464,0.3303,88.97,0.992,0.889,0.5534,79.14,0.972,0.775
9,0.29782913072455314,0.4347,83.62,0.987,0.825,0.8118,71.18,0.958,0.704
10,0.290617165572968,0.3949,86.65,0.989,0.863,0.8432,70.85,0.97,0.631
11,0.27989482676683786,0.2334,91.54,0.994,0.916,0.3829,86.99,0.984,0.824
12,0.2693461033659169,0.2765,90.44,0.994,0.903,0.5478,80.21,0.973,0.768
13,0.25556918189570466,0.3189,89.44,0.993,0.893,0.423,86.15,0.983,0.836
14,0.2553034821077914,0.2611,91.16,0.994,0.913,0.4449,83.47,0.979,0.782
15,0.24363532419379894,0.2421,91.86,0.995,0.919,0.5138,83.53,0.979,0.794
16,0.23570776833588505,0.1681,94.38,0.997,0.943,0.2996,89.23,0.989,0.858
17,0.22797400277361649,0.1833,94.11,0.997,0.942,0.3855,87.02,0.982,0.833
18,0.22380000984423049,0.2045,93.67,0.996,0.937,0.2991,89.39,0.99,0.86
19,0.22200510600134463,0.2313,92.13,0.995,0.921,0.665,77.18,0.964,0.698
20,0.212901798681119,0.2586,90.99,0.996,0.908,0.3786,87.07,0.985,0.832
21,0.2076539187475131,0.2812,90.72,0.995,0.905,0.3953,85.96,0.984,0.823
22,0.19919682583875126,0.1554,94.84,0.998,0.95,0.3152,88.84,0.989,0.849
23,0.1956773455051111,0.1537,94.87,0.998,0.948,0.3669,87.95,0.984,0.853
24,0.18968130419811896,0.1649,94.58,0.997,0.945,0.3478,87.7,0.984,0.844
25,0.18538739739192855,0.1935,93.56,0.997,0.935,0.3391,87.12,0.987,0.836
26,0.18127758521920465,0.1406,95.44,0.998,0.954,0.4716,82.93,0.976,0.782
27,0.17584428829424698,0.1807,93.84,0.997,0.938,0.3392,87.45,0.99,0.844
28,0.16945870646599373,0.1498,95.21,0.998,0.951,0.4699,84.92,0.984,0.819
29,0.16559795789607537,0.2378,91.71,0.997,0.914,0.4315,85.57,0.983,0.8
30,0.1601918851456014,0.1394,95.69,0.998,0.956,0.3793,88.08,0.986,0.847
31,0.15537928413319332,0.1483,95.03,0.998,0.95,0.3071,88.95,0.987,0.858
32,0.1527054980597509,0.1345,95.57,0.998,0.956,0.4154,84.65,0.982,0.818
33,0.14719720700201594,0.1051,96.56,0.999,0.966,0.3264,88.68,0.988,0.838
34,0.14344257564287247,0.1102,96.47,0.999,0.965,0.3298,88.17,0.988,0.838
35,0.13691986845572576,0.1467,95.17,0.998,0.951,0.3568,88.24,0.986,0.843
36,0.13312039335381814,0.1128,96.28,0.999,0.963,0.3252,89.09,0.988,0.858
37,0.12980119867991374,0.1086,96.54,0.999,0.965,0.4192,85.82,0.984,0.814
38,0.12346325910860492,0.1074,96.67,0.999,0.967,0.313,89.7,0.989,0.868
39,0.1198067743878638,0.0977,96.76,0.999,0.968,0.3154,89.56,0.988,0.867
40,0.11651273452306307,0.0912,97.08,0.999,0.971,0.3246,88.85,0.988,0.851
41,0.11402131665137506,0.0874,97.06,0.999,0.971,0.3055,89.88,0.988,0.862
42,0.1091763764339429,0.0854,97.25,0.999,0.972,0.3176,89.1,0.989,0.861
43,0.10421653137305305,0.0811,97.55,0.999,0.975,0.302,89.99,0.989,0.872
44,0.1036602409963753,0.0733,97.69,0.999,0.977,0.277,90.56,0.99,0.876
45,0.10196866785045913,0.0756,97.69,0.999,0.977,0.297,89.99,0.99,0.871
46,0.0995573709855744,0.0731,97.7,0.999,0.977,0.2995,89.93,0.989,0.867
47,0.09748434578819622,0.0744,97.72,0.999,0.977,0.3113,89.5,0.989,0.862
48,0.0985049316626189,0.0728,97.69,0.999,0.977,0.2966,90.04,0.989,0.868
49,0.09779210726139687,0.0725,97.73,0.999,0.977,0.2977,90.05,0.989,0.868
