epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.02179377288374,2.0326,24.22,0.74,0.147,2.0423,21.76,0.717,0.079
1,1.1890581941305522,1.2653,58.36,0.928,0.558,1.2877,55.17,0.906,0.479
2,0.6815064561730217,0.5228,81.0,0.981,0.793,0.643,77.74,0.972,0.703
3,0.5171578668031214,0.5285,81.72,0.984,0.823,0.9626,68.66,0.938,0.632
4,0.4000678401320211,0.7313,77.12,0.98,0.774,1.5447,59.29,0.928,0.519
5,0.3447097285406991,0.4252,85.14,0.989,0.853,0.7742,71.25,0.966,0.687
6,0.3205862703823274,0.2819,90.86,0.993,0.91,0.5053,82.06,0.979,0.771
7,0.2922918381282933,0.2757,90.37,0.993,0.903,0.5048,81.16,0.982,0.785
8,0.2792452600347312,0.3552,87.39,0.989,0.878,0.5992,75.15,0.971,0.684
9,0.2623311400039649,0.2112,93.08,0.996,0.931,0.5217,82.01,0.973,0.768
10,0.2543011301974883,0.2288,92.04,0.996,0.919,0.5382,79.54,0.978,0.74
11,0.2435260533779112,0.2063,93.46,0.996,0.933,0.4894,82.49,0.978,0.791
12,0.24013036343946678,0.2155,93.18,0.996,0.933,0.678,77.89,0.973,0.729
13,0.22869737810825788,0.2341,92.23,0.995,0.924,0.3644,86.15,0.985,0.82
14,0.22112558783435907,0.1699,94.51,0.997,0.946,0.5019,80.85,0.977,0.746
15,0.21488307206808024,0.1619,95.0,0.998,0.949,0.4348,85.44,0.982,0.821
16,0.20884579062248215,0.1767,94.31,0.997,0.944,0.3877,86.29,0.987,0.817
17,0.20449785306034976,0.1249,96.21,0.998,0.962,0.2886,90.04,0.989,0.863
18,0.19596567812732898,0.1959,93.45,0.996,0.934,0.3571,87.42,0.986,0.844
19,0.19643743569865876,0.1844,94.43,0.997,0.942,0.4078,85.46,0.986,0.827
20,0.18660343153983033,0.2165,93.35,0.996,0.933,0.8728,72.18,0.956,0.702
21,0.1851552665954636,0.2079,93.14,0.997,0.931,0.3334,87.81,0.987,0.834
22,0.1821444598443833,0.1814,94.11,0.997,0.941,0.5501,82.99,0.98,0.75
23,0.17797087942747447,0.1594,94.73,0.997,0.948,0.295,89.23,0.988,0.866
24,0.17188197336957445,0.1561,94.76,0.998,0.947,0.2682,89.78,0.991,0.872
25,0.16684755791766456,0.118,96.3,0.998,0.963,0.3488,88.27,0.984,0.855
26,0.16170306340874738,0.1155,96.49,0.998,0.965,0.3348,87.78,0.988,0.832
27,0.15730291918774658,0.1384,95.42,0.998,0.955,0.324,88.36,0.99,0.845
28,0.15529329308365408,0.1143,96.28,0.999,0.963,0.3064,88.05,0.988,0.841
29,0.1460799938702028,0.112,96.35,0.999,0.963,0.2569,90.6,0.991,0.864
30,0.14507983673671027,0.1054,96.73,0.999,0.968,0.3986,87.15,0.985,0.832
31,0.14068139700960086,0.0931,97.04,0.999,0.97,0.2734,89.75,0.993,0.865
32,0.13442995413924202,0.0986,96.94,0.999,0.969,0.3361,88.69,0.988,0.852
33,0.1334537052512703,0.0773,97.59,0.999,0.975,0.2372,91.58,0.992,0.889
34,0.12674888989497576,0.1043,96.69,0.999,0.967,0.2183,92.42,0.994,0.898
35,0.12663247855880888,0.076,97.66,0.999,0.976,0.2556,91.41,0.992,0.891
36,0.11627437767495925,0.089,97.28,0.999,0.972,0.2877,89.64,0.991,0.863
37,0.11311785044569161,0.0707,97.76,0.999,0.977,0.2534,91.36,0.992,0.888
38,0.11178190257453684,0.0761,97.55,0.999,0.975,0.2814,89.93,0.99,0.865
39,0.10440277187387362,0.0648,97.96,0.999,0.979,0.2712,90.42,0.991,0.865
40,0.10058342810973898,0.0614,98.09,0.999,0.981,0.2431,91.24,0.992,0.88
41,0.10001887192141838,0.0639,98.05,0.999,0.98,0.2342,91.73,0.993,0.889
42,0.09645307169873334,0.0542,98.33,1.0,0.983,0.272,90.38,0.991,0.871
43,0.09433127451007084,0.0552,98.28,1.0,0.983,0.2362,91.5,0.992,0.883
44,0.08954006137399798,0.054,98.35,1.0,0.983,0.2744,90.49,0.991,0.873
45,0.08894766192202286,0.0522,98.32,1.0,0.983,0.2567,91.2,0.991,0.887
46,0.08646305463039801,0.0525,98.31,1.0,0.983,0.235,91.38,0.992,0.883
47,0.08562406455750801,0.0519,98.4,1.0,0.984,0.2523,91.0,0.992,0.88
48,0.0848951274512409,0.0512,98.4,1.0,0.984,0.2423,91.32,0.992,0.884
49,0.08554930005749975,0.0513,98.41,1.0,0.984,0.2384,91.43,0.992,0.885
