epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.070641192911346,2.0689,16.01,0.607,0.034,2.0815,19.47,0.581,0.041
1,1.4082736267197518,1.5671,50.67,0.884,0.462,1.326,57.95,0.897,0.493
2,0.8451675282904751,0.891,68.76,0.95,0.672,0.6658,74.36,0.96,0.682
3,0.6478215655759244,0.6457,76.2,0.971,0.754,0.9342,68.83,0.951,0.633
4,0.5223046924691901,0.4932,82.9,0.982,0.835,0.6815,75.62,0.966,0.705
5,0.4673125208171892,0.3542,87.75,0.988,0.88,0.5079,82.0,0.97,0.778
6,0.41827728003797565,0.4936,82.54,0.984,0.833,0.6729,77.51,0.963,0.713
7,0.39165016677644515,0.3674,86.82,0.991,0.871,0.5151,82.68,0.977,0.784
8,0.36841712320577286,0.4375,83.94,0.988,0.838,0.5663,79.49,0.968,0.74
9,0.34512414225113436,0.4533,83.99,0.985,0.838,0.6578,74.83,0.966,0.714
10,0.3295687858990016,0.3223,88.7,0.991,0.885,0.6322,76.82,0.969,0.745
11,0.3181993340185466,0.4558,83.75,0.987,0.838,0.5943,78.24,0.967,0.756
12,0.3107835742574866,0.4139,85.74,0.988,0.854,0.8055,71.77,0.953,0.704
13,0.3022665775591327,0.2605,91.16,0.994,0.913,0.407,84.48,0.979,0.814
14,0.2895029677632248,0.3685,87.07,0.991,0.872,0.6549,77.77,0.96,0.703
15,0.28315280345819327,0.2623,91.43,0.994,0.91,0.4592,82.87,0.981,0.792
16,0.27384248574841835,0.2507,91.75,0.994,0.919,0.4254,84.37,0.983,0.804
17,0.2662795995859476,0.3138,89.14,0.994,0.89,0.3765,86.96,0.983,0.823
18,0.25882980613351725,0.2135,92.89,0.996,0.928,0.5287,81.92,0.978,0.791
19,0.25453467504204813,0.2471,91.66,0.995,0.917,0.4564,84.26,0.982,0.802
20,0.2489774384298846,0.1989,93.24,0.996,0.932,0.4786,84.95,0.979,0.804
21,0.24317122091903054,0.1775,93.94,0.997,0.94,0.4015,86.52,0.983,0.826
22,0.23579025276566065,0.2455,91.67,0.995,0.917,0.4232,85.57,0.98,0.813
23,0.234178096349735,0.1775,94.21,0.997,0.942,0.3186,88.52,0.988,0.846
24,0.22520627514008554,0.2075,92.92,0.996,0.926,0.3809,85.24,0.985,0.816
25,0.22086465326688623,0.1993,93.49,0.996,0.934,0.4192,85.8,0.982,0.833
26,0.21625426296798986,0.1752,94.31,0.997,0.943,0.432,84.3,0.984,0.795
27,0.20843737571096335,0.1567,94.9,0.997,0.95,0.3335,88.66,0.989,0.86
28,0.20616599442070102,0.2461,91.67,0.995,0.913,0.7598,76.71,0.972,0.727
29,0.20226188587512167,0.2033,93.03,0.996,0.931,0.4781,83.21,0.981,0.786
30,0.19292173955229022,0.1195,96.07,0.998,0.961,0.3448,88.14,0.987,0.85
31,0.18782060670809933,0.1552,94.82,0.998,0.947,0.3564,87.15,0.987,0.835
32,0.1841930458489071,0.1294,95.79,0.998,0.958,0.3889,86.42,0.984,0.813
33,0.1772063374786394,0.1497,95.1,0.998,0.948,0.4039,85.9,0.985,0.832
34,0.1740343446666408,0.1094,96.55,0.999,0.965,0.3799,87.75,0.984,0.843
35,0.1659716635902402,0.1255,95.99,0.998,0.96,0.3193,89.42,0.987,0.851
36,0.16222303545629893,0.1491,95.09,0.998,0.949,0.3792,87.29,0.984,0.841
37,0.15788525199404113,0.1177,96.08,0.999,0.959,0.3706,86.99,0.987,0.841
38,0.15186498075136148,0.1173,96.06,0.999,0.96,0.3807,88.46,0.987,0.853
39,0.1507030431528352,0.1099,96.35,0.999,0.963,0.323,88.87,0.988,0.855
40,0.1444263328334123,0.106,96.46,0.999,0.964,0.3378,88.54,0.988,0.85
41,0.14034274771916397,0.0956,96.82,0.999,0.968,0.3599,88.35,0.986,0.849
42,0.1337857024016453,0.0977,96.78,0.999,0.968,0.2997,90.12,0.989,0.872
43,0.13204152311956155,0.0886,97.09,0.999,0.971,0.3203,89.2,0.988,0.861
44,0.12884586105810805,0.0833,97.22,0.999,0.972,0.344,88.58,0.987,0.853
45,0.12884083905634486,0.0871,97.23,0.999,0.972,0.3528,88.66,0.986,0.855
46,0.1254200374901188,0.0858,97.24,0.999,0.972,0.3455,88.63,0.987,0.851
