epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0114452695761105,2.0578,23.55,0.723,0.142,2.0534,11.51,0.653,0.045
1,1.360116925931746,1.8335,50.87,0.891,0.458,1.3833,61.82,0.885,0.489
2,0.7001311024884597,0.8087,76.42,0.976,0.766,1.0725,67.69,0.949,0.63
3,0.46821234474045403,0.3982,86.8,0.989,0.863,0.7429,74.02,0.969,0.691
4,0.36251520768715917,1.0078,68.28,0.967,0.663,1.2125,61.11,0.912,0.552
5,0.3065845594344173,0.2629,91.65,0.995,0.917,0.4244,82.77,0.979,0.764
6,0.2850958960511351,0.2542,91.49,0.995,0.912,0.6317,78.9,0.965,0.737
7,0.2647476221658423,0.2885,89.39,0.995,0.895,0.6166,77.26,0.975,0.715
8,0.2543981925561009,0.2445,91.59,0.996,0.919,0.5627,81.57,0.976,0.781
9,0.2374565941565353,0.7461,75.92,0.985,0.746,0.9069,71.67,0.972,0.631
10,0.23237327699913346,0.2486,91.5,0.995,0.911,0.7316,78.27,0.978,0.747
11,0.2245416773156026,0.1629,94.91,0.997,0.948,0.3714,85.02,0.986,0.815
12,0.2209264077246189,0.3947,86.75,0.996,0.843,0.9068,72.89,0.967,0.63
13,0.2088898054213934,0.2562,91.07,0.994,0.913,0.2817,88.79,0.99,0.842
14,0.20344847600947144,0.1741,93.88,0.998,0.941,0.5076,85.3,0.979,0.814
15,0.2006576131481851,0.704,77.84,0.981,0.78,1.6275,58.85,0.913,0.554
16,0.19338887598779467,0.1232,96.09,0.998,0.961,0.4544,83.34,0.983,0.791
17,0.18815936918594076,0.3164,89.15,0.996,0.888,0.472,82.71,0.977,0.782
18,0.18575872973568977,0.1811,93.78,0.997,0.936,0.5069,82.13,0.979,0.799
19,0.18102396147385721,0.1995,93.15,0.997,0.931,0.5991,81.67,0.977,0.749
20,0.17524444020109578,0.1777,93.96,0.998,0.939,0.4903,81.18,0.981,0.789
21,0.16732715925462144,0.1179,96.36,0.999,0.963,0.322,88.73,0.988,0.854
22,0.16934307089148884,0.1273,95.83,0.999,0.958,0.3869,87.54,0.986,0.836
23,0.16230827317603172,0.1079,96.63,0.999,0.967,0.4491,86.29,0.977,0.81
24,0.15787663171234737,0.1787,94.17,0.998,0.942,0.4458,83.81,0.979,0.818
25,0.15244901950694753,0.1197,96.11,0.999,0.962,0.2757,89.82,0.99,0.859
26,0.15042534821055908,0.1317,95.54,0.999,0.955,0.4372,83.93,0.984,0.775
27,0.14889491386177506,0.0985,96.8,0.999,0.968,0.2801,91.63,0.991,0.888
28,0.14301421084044014,0.084,97.39,0.999,0.974,0.3266,89.4,0.988,0.867
29,0.1373940183443942,0.0989,96.86,0.999,0.968,0.3922,88.92,0.988,0.858
30,0.1330013723850357,0.0839,97.37,0.999,0.973,0.3249,88.55,0.989,0.848
31,0.13074514987514652,0.1403,95.07,0.999,0.945,0.4678,81.95,0.983,0.772
32,0.12759701505063042,0.1093,96.5,0.999,0.963,0.5071,85.62,0.987,0.823
33,0.12261737186101175,0.0842,97.2,0.999,0.972,0.3079,89.45,0.988,0.85
34,0.11843804499354735,0.0773,97.51,0.999,0.974,0.3677,88.22,0.986,0.84
35,0.11434947843846989,0.0732,97.74,0.999,0.977,0.3302,90.32,0.989,0.875
36,0.10898091123642994,0.0786,97.52,0.999,0.974,0.4431,88.46,0.986,0.863
37,0.10853642582439393,0.07,97.73,0.999,0.977,0.2835,90.02,0.989,0.863
38,0.10159666248426963,0.0639,98.03,1.0,0.98,0.3844,87.04,0.987,0.841
39,0.09940187635040411,0.0583,98.19,1.0,0.982,0.3844,88.38,0.986,0.837
40,0.09829504878717511,0.0544,98.14,1.0,0.981,0.3363,89.91,0.988,0.871
41,0.09376094502306753,0.0473,98.52,1.0,0.985,0.3427,90.07,0.988,0.865
42,0.0894755396531314,0.0492,98.47,1.0,0.985,0.3234,90.68,0.989,0.875
43,0.08748163809285475,0.0452,98.62,1.0,0.986,0.3471,89.88,0.987,0.859
44,0.0853125852178849,0.0443,98.62,1.0,0.986,0.3059,91.3,0.989,0.88
45,0.08641279582434924,0.0447,98.57,1.0,0.986,0.3185,90.45,0.988,0.868
46,0.08270714802193492,0.0438,98.64,1.0,0.986,0.3145,90.51,0.988,0.871
47,0.07891311682426908,0.0427,98.6,1.0,0.986,0.3215,90.3,0.988,0.867
48,0.08244771189073027,0.0424,98.64,1.0,0.986,0.3281,90.05,0.988,0.864
49,0.08010543370619416,0.0426,98.64,1.0,0.986,0.3285,90.12,0.988,0.864
