epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.061304263316602,2.0701,16.01,0.638,0.034,2.068,19.47,0.615,0.041
1,1.3106576033390551,1.7417,51.99,0.879,0.513,1.8536,55.38,0.888,0.484
2,0.6962693571830736,1.1179,65.99,0.946,0.656,0.9386,70.27,0.952,0.66
3,0.5025842805596663,0.558,81.05,0.984,0.804,0.8942,70.49,0.968,0.705
4,0.39444959930087503,0.6337,79.39,0.979,0.795,0.8265,71.29,0.953,0.679
5,0.3438098306457202,0.2804,90.32,0.993,0.905,0.434,82.58,0.98,0.784
6,0.31903844345427756,0.3008,89.51,0.992,0.896,0.4167,84.86,0.986,0.793
7,0.29329704859137107,0.245,91.8,0.995,0.918,0.3337,86.91,0.988,0.825
8,0.28096907540461497,0.4135,84.69,0.989,0.851,0.6173,77.69,0.967,0.743
9,0.263301736591751,0.2456,91.89,0.994,0.918,0.4052,84.59,0.983,0.815
10,0.256876781929992,0.2635,90.67,0.995,0.901,0.4297,82.5,0.984,0.795
11,0.24841413923328923,0.3376,88.39,0.99,0.882,0.9323,69.6,0.947,0.674
12,0.23872304337907008,0.2542,91.74,0.995,0.917,0.4962,82.25,0.977,0.787
13,0.23310543696886749,0.2008,93.3,0.996,0.933,0.2414,90.97,0.992,0.865
14,0.22440132082149547,0.185,93.91,0.997,0.938,0.3738,86.86,0.989,0.83
15,0.21906913523178373,0.1909,93.56,0.997,0.933,0.5444,82.61,0.975,0.796
16,0.21211581256601117,0.1494,95.1,0.998,0.951,0.3037,89.58,0.989,0.865
17,0.20621209005461372,0.1437,95.34,0.998,0.954,0.3586,88.11,0.985,0.84
18,0.20329344390781337,0.2109,93.0,0.997,0.929,0.4046,86.47,0.987,0.83
19,0.19747912186768748,0.1681,94.46,0.998,0.944,0.4548,84.05,0.983,0.81
20,0.19482354273665764,0.27,90.68,0.996,0.905,0.5613,82.95,0.973,0.795
21,0.18662481245628182,0.1689,94.71,0.997,0.947,0.4115,86.93,0.982,0.821
22,0.18375952979115817,0.1759,94.12,0.998,0.941,0.4883,84.35,0.979,0.797
23,0.1782307333870387,0.149,95.07,0.997,0.952,0.3928,87.49,0.983,0.843
24,0.17057497425532256,0.1898,93.69,0.998,0.933,0.493,84.0,0.982,0.825
25,0.1662545136733508,0.1343,95.6,0.998,0.954,0.3704,87.34,0.986,0.848
26,0.16278154987801788,0.1597,94.78,0.998,0.947,0.3085,89.42,0.99,0.85
27,0.16189671238370265,0.1611,94.43,0.998,0.945,0.3495,89.15,0.985,0.864
28,0.15287456692173063,0.1356,95.67,0.998,0.956,0.3544,88.68,0.988,0.859
29,0.1513159267911454,0.0989,96.85,0.999,0.968,0.2557,91.06,0.992,0.876
30,0.14611512311069982,0.108,96.7,0.999,0.966,0.3587,89.07,0.987,0.857
31,0.14221605273651286,0.1097,96.59,0.999,0.966,0.3357,88.43,0.989,0.855
32,0.1375420853549007,0.0965,96.98,0.999,0.969,0.3423,89.77,0.99,0.872
33,0.13404934323896858,0.0915,97.06,0.999,0.971,0.2822,90.32,0.99,0.876
34,0.1289569313127187,0.0943,96.94,0.999,0.969,0.2727,90.3,0.991,0.873
35,0.12645579578428393,0.0977,96.82,0.999,0.968,0.2859,90.87,0.991,0.878
36,0.12020696435243852,0.0889,97.2,0.999,0.972,0.4193,87.49,0.985,0.847
37,0.11817836724755798,0.0811,97.41,0.999,0.974,0.2535,91.46,0.991,0.887
38,0.11358565666235476,0.0761,97.7,0.999,0.977,0.2396,92.03,0.992,0.897
39,0.11008051340217873,0.0701,97.88,0.999,0.979,0.2747,91.62,0.99,0.892
40,0.10484017306558227,0.0608,98.14,0.999,0.981,0.2914,91.66,0.99,0.89
41,0.10312857179765633,0.0644,97.91,0.999,0.979,0.2421,91.79,0.993,0.893
42,0.09950361656205307,0.06,98.17,0.999,0.981,0.2458,92.75,0.993,0.903
43,0.09515670935980522,0.0595,98.11,1.0,0.981,0.2555,91.71,0.992,0.892
44,0.09293137626275152,0.058,98.18,1.0,0.982,0.233,92.42,0.993,0.899
45,0.09034660502293525,0.0542,98.33,1.0,0.983,0.2705,91.74,0.991,0.895
46,0.09216547463970479,0.0553,98.22,1.0,0.982,0.2446,92.4,0.992,0.9
47,0.09092042031347432,0.054,98.34,1.0,0.983,0.2463,92.44,0.992,0.9
48,0.0885190988947574,0.0531,98.4,1.0,0.984,0.2481,92.5,0.992,0.901
49,0.08719890506931424,0.0532,98.36,1.0,0.983,0.2478,92.53,0.992,0.902
