epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0649796079136564,2.0698,16.01,0.612,0.034,2.0727,19.47,0.591,0.041
1,1.4806515955796806,3.2058,34.16,0.799,0.272,3.7143,25.74,0.759,0.218
2,0.9760101922524018,1.1867,55.54,0.949,0.513,0.9729,65.15,0.96,0.534
3,0.7402458714327932,0.483,82.15,0.981,0.82,0.528,80.34,0.971,0.738
4,0.5923037003445369,0.3542,87.09,0.988,0.874,0.5096,79.8,0.977,0.766
5,0.5270534646981079,0.3233,88.97,0.991,0.891,0.5322,79.52,0.975,0.757
6,0.48647291659240655,0.536,81.71,0.978,0.819,0.6321,77.66,0.962,0.713
7,0.4619608228779181,0.3097,88.62,0.992,0.891,0.4901,80.77,0.98,0.769
8,0.44062404334545135,0.3279,89.07,0.991,0.89,0.4908,82.3,0.978,0.797
9,0.41368861237413995,0.3017,89.42,0.992,0.894,0.4115,84.04,0.982,0.8
10,0.4036402865496588,0.277,90.56,0.994,0.906,0.5185,78.27,0.979,0.715
11,0.39331638559325194,0.1865,94.19,0.996,0.941,0.3835,87.04,0.984,0.839
12,0.37672738760282487,0.2937,89.53,0.993,0.895,0.449,83.63,0.981,0.802
13,0.3710771031597609,0.2669,90.94,0.994,0.913,0.5188,81.84,0.976,0.777
14,0.3556796284025288,0.2629,90.84,0.995,0.907,0.5724,79.43,0.973,0.741
15,0.3469886098016975,0.2164,92.68,0.996,0.927,0.4255,85.52,0.981,0.821
16,0.3428939500002451,0.2252,92.6,0.995,0.926,0.6252,80.5,0.975,0.766
17,0.3343634802487589,0.3368,89.0,0.993,0.889,0.7536,74.61,0.974,0.7
18,0.3262772612193579,0.436,85.04,0.988,0.85,0.6624,77.01,0.967,0.719
19,0.32347012530197805,0.1727,94.6,0.997,0.946,0.5274,81.81,0.977,0.787
20,0.31424233424193543,0.1975,93.13,0.997,0.93,0.433,85.06,0.985,0.805
21,0.3063464601888024,0.1911,93.5,0.997,0.935,0.4745,85.6,0.979,0.814
22,0.30170828293621754,0.1631,94.54,0.997,0.946,0.4222,85.82,0.981,0.822
23,0.3027445702249431,0.168,94.48,0.997,0.945,0.3664,87.87,0.986,0.847
24,0.2901826537744973,0.1814,93.95,0.997,0.938,0.3965,84.79,0.983,0.818
25,0.2849447243850291,0.1506,94.81,0.997,0.948,0.2958,89.42,0.989,0.862
26,0.2779622848769884,0.1799,94.12,0.997,0.942,0.4465,85.41,0.978,0.812
27,0.2706769408931869,0.1682,94.23,0.998,0.943,0.2618,89.83,0.991,0.86
28,0.2663141345625283,0.1689,94.57,0.998,0.945,0.4358,85.5,0.983,0.82
29,0.2609384121326563,0.1693,94.49,0.997,0.944,0.5467,80.55,0.975,0.767
30,0.25744023268848765,0.14,95.47,0.998,0.954,0.4388,86.85,0.983,0.834
31,0.25163791488896137,0.1383,95.66,0.998,0.956,0.3843,86.33,0.986,0.833
32,0.24709291633311992,0.1284,96.02,0.998,0.96,0.3732,87.73,0.982,0.847
33,0.23921378733970786,0.1131,96.34,0.998,0.963,0.3917,88.41,0.983,0.855
34,0.23223460174589602,0.1166,96.2,0.998,0.962,0.4243,86.74,0.986,0.837
35,0.23077950936384953,0.126,95.87,0.998,0.959,0.3229,89.12,0.988,0.859
36,0.22330629359596946,0.1236,96.06,0.998,0.961,0.3212,89.47,0.989,0.863
37,0.21857928782434446,0.1037,96.71,0.999,0.967,0.2951,89.53,0.99,0.868
38,0.21388141633308488,0.1046,96.61,0.999,0.966,0.3421,88.11,0.987,0.854
39,0.2067588463318818,0.0978,96.86,0.999,0.968,0.3185,89.42,0.988,0.864
40,0.20211771298800746,0.0897,97.2,0.999,0.972,0.3221,89.47,0.988,0.862
41,0.19843607640234373,0.0935,96.96,0.999,0.97,0.4211,86.34,0.985,0.84
42,0.1928361708358411,0.0847,97.39,0.999,0.974,0.3641,88.49,0.986,0.859
43,0.18813648030135152,0.0871,97.3,0.999,0.973,0.3301,88.95,0.987,0.861
44,0.1876696820193935,0.0825,97.35,0.999,0.974,0.3567,88.92,0.986,0.86
45,0.18291989007570839,0.0804,97.48,0.999,0.975,0.3368,89.26,0.987,0.866
46,0.18345236719509178,0.0778,97.56,0.999,0.976,0.3223,89.44,0.988,0.864
47,0.18200905597017658,0.0779,97.66,0.999,0.977,0.3411,88.99,0.987,0.86
48,0.1827898633108878,0.0769,97.65,0.999,0.977,0.3301,89.28,0.987,0.863
49,0.17990320684608593,0.0768,97.64,0.999,0.976,0.3303,89.26,0.987,0.862
